timestamp,a_right_backPose,b_right_backPose,c_right_backPose, HANDOVER_LEFT
1.6455436058769385e+18,-7993.0,2532.0,-418.0,1
1.645543605918881e+18,-8025.0,2463.0,-246.0,1
1.64554360597293e+18,-8025.0,2574.0,-198.0,1
1.6455436060186127e+18,-7952.0,2546.0,-169.0,1
1.6455436060720591e+18,-7937.0,2706.0,-319.0,1
1.6455436061186857e+18,-7768.0,2661.0,-343.0,1
1.6455436061710623e+18,-7766.0,2686.0,-421.0,1
1.6455436062237263e+18,-7771.0,2640.0,-592.0,1
1.6455436062728768e+18,-7776.0,2626.0,-683.0,1
1.645543606324557e+18,-7844.0,2657.0,-632.0,1
1.645543606370442e+18,-7820.0,2563.0,-506.0,1
1.645543606423152e+18,-7810.0,2557.0,-457.0,1
1.6455436064714895e+18,-7965.0,2659.0,-517.0,1
1.6455436065198254e+18,-7940.0,2705.0,-457.0,1
1.6455436065711772e+18,-7892.0,2656.0,-435.0,1
1.645543606625211e+18,-7782.0,2628.0,-460.0,1
1.6455436066671654e+18,-7767.0,2692.0,-332.0,1
1.6455436067222792e+18,-7912.0,2617.0,-73.0,1
1.6455436067769426e+18,-7994.0,2643.0,-83.0,1
1.6455436068257444e+18,-7994.0,2685.0,-213.0,1
1.6455436068835308e+18,-8028.0,2747.0,-324.0,1
1.645543606926575e+18,-7879.0,2791.0,-383.0,1
1.6455436069718676e+18,-7740.0,2713.0,-417.0,1
1.6455436070275679e+18,-7768.0,2839.0,-579.0,1
1.645543607074932e+18,-7789.0,2922.0,-666.0,1
1.6455436071237496e+18,-7732.0,2915.0,-698.0,1
1.6455436071758513e+18,-7656.0,2822.0,-735.0,1
1.6455436072254287e+18,-7654.0,2816.0,-725.0,1
1.645543607271955e+18,-7746.0,2906.0,-723.0,1
1.6455436073253084e+18,-7791.0,2953.0,-639.0,1
1.645543607374816e+18,-7792.0,2944.0,-582.0,1
1.6455436074257966e+18,-7760.0,2979.0,-620.0,1
1.645543607474002e+18,-7800.0,2947.0,-546.0,1
1.6455436075255053e+18,-7722.0,2962.0,-541.0,1
1.6455436075706173e+18,-7797.0,3011.0,-598.0,1
1.6455436076256264e+18,-7792.0,2984.0,-576.0,1
1.6455436076759918e+18,-7809.0,3040.0,-655.0,1
1.6455436077262676e+18,-7688.0,3101.0,-816.0,1
1.6455436077728625e+18,-7291.0,3203.0,-660.0,1
1.645543607826707e+18,-7401.0,2836.0,-227.0,1
1.6455436078736197e+18,-7881.0,2882.0,-69.0,1
1.6455436079276728e+18,-8219.0,2865.0,-46.0,1
1.6455436079754614e+18,-8416.0,2874.0,70.0,1
1.645543608025907e+18,-9144.0,3167.0,177.0,1
1.645543608073007e+18,-9264.0,3082.0,117.0,1
1.6455436081273275e+18,-9785.0,3029.0,85.0,1
1.6455436081728855e+18,-10086.0,3266.0,16.0,1
