timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.646150821890215e+18,3178.0,1337.0,5319.0,1
1.646150821937557e+18,2127.0,415.0,5740.0,1
1.646150821987795e+18,34.0,704.0,7017.0,1
1.646150822037581e+18,-402.0,1890.0,8846.0,1
1.646150822088141e+18,-196.0,1079.0,8983.0,1
1.6461508221364854e+18,913.0,1548.0,8621.0,1
1.646150822188471e+18,1795.0,-657.0,7888.0,1
1.646150822238107e+18,1971.0,1632.0,7616.0,1
1.6461508222879557e+18,2180.0,-653.0,8195.0,1
1.646150822336644e+18,2489.0,688.0,7771.0,1
1.646150822387954e+18,2199.0,498.0,7919.0,1
1.646150822436168e+18,1989.0,-39.0,8250.0,1
1.646150822484707e+18,2033.0,1225.0,7673.0,1
1.6461508225391757e+18,1991.0,821.0,7427.0,1
1.6461508225869478e+18,1209.0,347.0,8536.0,1
1.6461508226415974e+18,1664.0,973.0,8296.0,1
1.6461508226878633e+18,2080.0,2177.0,8205.0,1
1.6461508227385805e+18,1994.0,2029.0,7827.0,1
1.646150822784525e+18,2118.0,2091.0,7334.0,1
1.646150822839182e+18,1809.0,3821.0,7069.0,1
1.6461508228929866e+18,2402.0,2185.0,8147.0,1
1.646150822925518e+18,2485.0,828.0,7502.0,1
1.6461508229865341e+18,2480.0,1531.0,7248.0,1
1.646150823041865e+18,1743.0,2162.0,8199.0,1
1.646150823084292e+18,2042.0,1461.0,7860.0,1
1.6461508231365696e+18,2066.0,1523.0,7805.0,1
1.6461508231874394e+18,1864.0,1666.0,7695.0,1
1.6461508232420106e+18,1307.0,2640.0,7733.0,1
1.6461508232874365e+18,2613.0,1679.0,7489.0,1
1.646150823339509e+18,3868.0,1067.0,6810.0,1
1.6461508233873912e+18,3758.0,942.0,7782.0,1
1.6461508234371927e+18,3133.0,1818.0,8805.0,1
1.6461508234870625e+18,2728.0,-3320.0,9210.0,1
1.6461508235437402e+18,3644.0,-2961.0,7483.0,1
1.6461508235868285e+18,3012.0,-904.0,6472.0,1
1.6461508236374167e+18,2709.0,-1245.0,7185.0,1
1.6461508236881242e+18,2880.0,-1943.0,8646.0,1
1.6461508237378499e+18,3216.0,-2322.0,8021.0,1
1.6461508237865344e+18,3278.0,139.0,8113.0,1
1.6461508238391642e+18,4336.0,525.0,7640.0,1
1.6461508238867464e+18,3389.0,840.0,6181.0,1
1.6461508239417114e+18,2697.0,2492.0,7065.0,1
1.6461508239875308e+18,3231.0,-378.0,7275.0,1
1.6461508240383885e+18,2756.0,-1153.0,7728.0,1
1.6461508240948524e+18,2712.0,-688.0,8391.0,1
1.6461508241398758e+18,3073.0,-456.0,7764.0,1
1.646150824190512e+18,2986.0,-1515.0,7773.0,1
1.6461508242419195e+18,2333.0,-13.0,7813.0,1
1.6461508242927357e+18,2406.0,-295.0,8042.0,1
1.646150824338716e+18,3253.0,-2199.0,6881.0,1
1.6461508243936266e+18,2769.0,-937.0,7600.0,1
1.6461508244396554e+18,2692.0,-1382.0,8180.0,1
1.646150824491358e+18,2343.0,1504.0,7712.0,1
1.6461508245391337e+18,2467.0,511.0,7981.0,1
1.6461508245939676e+18,2835.0,5.0,7939.0,1
1.646150824641711e+18,2502.0,1273.0,8422.0,1
1.646150824690822e+18,2625.0,4091.0,7888.0,1
1.646150824734056e+18,2841.0,2162.0,7761.0,1
1.6461508247633357e+18,3029.0,1508.0,7481.0,1
1.6461508248556257e+18,3067.0,1438.0,7580.0,1
1.6461508248556257e+18,3067.0,1438.0,7580.0,1
1.6461508250028984e+18,3102.0,1416.0,7713.0,1
1.6461508250028984e+18,3102.0,1416.0,7713.0,1
1.6461508250500797e+18,3128.0,1475.0,7888.0,1
1.6461508250500797e+18,3128.0,1475.0,7888.0,1
1.6461508251677955e+18,3161.0,1573.0,8026.0,1
