timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463893253184233e+18,-2200.0,7811.0,995.0,frame_100.jpeg
1.6463893701816105e+18,-7151.0,-513.0,-3206.0,frame_1000.jpeg
1.6463893702272517e+18,-7607.0,234.0,-2570.0,frame_1001.jpeg
1.6463893702813366e+18,-8218.0,1033.0,-1296.0,frame_1002.jpeg
1.646389370326449e+18,-7631.0,1568.0,-600.0,frame_1003.jpeg
1.6463893703787223e+18,-7655.0,1823.0,-843.0,frame_1004.jpeg
1.646389370424017e+18,-7545.0,2430.0,-1778.0,frame_1005.jpeg
1.646389370476057e+18,-7638.0,2779.0,-2627.0,frame_1006.jpeg
1.646389370527624e+18,-8055.0,3150.0,-4080.0,frame_1007.jpeg
1.646389824250006e+18,-651.0,-51.0,-8650.0,frame_10070.jpeg
1.6463898242935895e+18,-260.0,-372.0,-8045.0,frame_10071.jpeg
1.6463898243492385e+18,-9815.0,4881.0,-4910.0,frame_10072.jpeg
1.6463898243771466e+18,-7655.0,4208.0,-5410.0,frame_10073.jpeg
1.6463898244536312e+18,-6595.0,3340.0,-5759.0,frame_10074.jpeg
1.6463898244974e+18,-4892.0,2511.0,-4927.0,frame_10075.jpeg
1.6463898245510876e+18,1511.0,-615.0,-7299.0,frame_10076.jpeg
1.646389824598548e+18,-2588.0,-628.0,-8490.0,frame_10077.jpeg
1.646389824673684e+18,316.0,-1325.0,-7704.0,frame_10078.jpeg
1.6463898246979917e+18,1359.0,-1504.0,-7227.0,frame_10079.jpeg
1.646389370574267e+18,-7484.0,2769.0,-4527.0,frame_1008.jpeg
1.6463898247547581e+18,-984.0,260.0,-6595.0,frame_10080.jpeg
1.6463898247777582e+18,-6750.0,421.0,-7120.0,frame_10081.jpeg
1.646389824852311e+18,-6473.0,508.0,-6949.0,frame_10082.jpeg
1.6463898248980744e+18,-5106.0,1162.0,-6155.0,frame_10083.jpeg
1.6463898249518572e+18,-7455.0,445.0,-7066.0,frame_10084.jpeg
1.646389824997961e+18,-6719.0,186.0,-6771.0,frame_10085.jpeg
1.646389825050851e+18,-3311.0,79.0,-6169.0,frame_10086.jpeg
1.646389825097571e+18,-1801.0,872.0,-6632.0,frame_10087.jpeg
1.646389825153014e+18,-3622.0,1951.0,-7183.0,frame_10088.jpeg
1.6463898251965082e+18,-2439.0,1752.0,-6916.0,frame_10089.jpeg
1.6463893706255928e+18,-6397.0,3281.0,-4596.0,frame_1009.jpeg
1.6463898252513787e+18,-779.0,925.0,-7143.0,frame_10090.jpeg
1.6463898252991672e+18,-2480.0,1849.0,-7582.0,frame_10091.jpeg
1.6463898253504525e+18,-3502.0,3472.0,-7634.0,frame_10092.jpeg
1.6463898253960146e+18,-4445.0,5711.0,-9272.0,frame_10093.jpeg
1.646389825450413e+18,-4635.0,3657.0,-7580.0,frame_10094.jpeg
1.6463898254974241e+18,-2288.0,1892.0,-6258.0,frame_10095.jpeg
1.6463898255550336e+18,-1688.0,2084.0,-6044.0,frame_10096.jpeg
1.6463898255977393e+18,-1746.0,1105.0,-7546.0,frame_10097.jpeg
1.6463898256492216e+18,461.0,637.0,-7714.0,frame_10098.jpeg
1.6463898256992635e+18,2420.0,795.0,-7040.0,frame_10099.jpeg
1.6463893253184233e+18,-2200.0,7811.0,995.0,frame_101.jpeg
1.6463893706796434e+18,-6339.0,4232.0,-4155.0,frame_1010.jpeg
1.6463898257389627e+18,3176.0,1446.0,-7082.0,frame_10100.jpeg
1.6463898257986227e+18,2428.0,1054.0,-7744.0,frame_10101.jpeg
1.6463898258505306e+18,2638.0,879.0,-8302.0,frame_10102.jpeg
1.646389825899549e+18,1832.0,558.0,-7852.0,frame_10103.jpeg
1.6463898259703086e+18,1723.0,470.0,-7816.0,frame_10104.jpeg
1.6463898259996188e+18,1701.0,363.0,-7760.0,frame_10105.jpeg
1.646389826018551e+18,2300.0,246.0,-7701.0,frame_10106.jpeg
1.646389826018551e+18,2300.0,246.0,-7701.0,frame_10107.jpeg
1.646389826213853e+18,2369.0,138.0,-7609.0,frame_10108.jpeg
1.646389826213853e+18,2369.0,138.0,-7609.0,frame_10109.jpeg
1.6463893707247572e+18,-6059.0,4192.0,-4265.0,frame_1011.jpeg
1.646389826238542e+18,2208.0,55.0,-7606.0,frame_10110.jpeg
1.6463898262998615e+18,2511.0,315.0,-7609.0,frame_10111.jpeg
1.6463898263555994e+18,927.0,3002.0,-7510.0,frame_10112.jpeg
1.646389826379511e+18,2155.0,2810.0,-8173.0,frame_10113.jpeg
1.646389826451737e+18,2373.0,2161.0,-7650.0,frame_10114.jpeg
1.6463898264790008e+18,873.0,799.0,-7245.0,frame_10115.jpeg
1.6463898265966316e+18,916.0,832.0,-7241.0,frame_10116.jpeg
1.6463898265995067e+18,907.0,1066.0,-7218.0,frame_10117.jpeg
1.646389826638774e+18,-44.0,2687.0,-8411.0,frame_10118.jpeg
1.6463898266995523e+18,-568.0,2613.0,-8205.0,frame_10119.jpeg
1.6463893707766636e+18,-5895.0,4075.0,-4435.0,frame_1012.jpeg
1.646389826752069e+18,-328.0,3127.0,-8589.0,frame_10120.jpeg
