timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.646389325122962e+18,3580.0,7153.0,1512.0,frame_100.jpeg
1.6463893701783158e+18,7464.0,2100.0,1047.0,frame_1000.jpeg
1.6463893702233746e+18,7503.0,2302.0,955.0,frame_1001.jpeg
1.6463893702789786e+18,6915.0,2252.0,851.0,frame_1002.jpeg
1.6463893703275768e+18,7473.0,2412.0,881.0,frame_1003.jpeg
1.6463893703794929e+18,7131.0,2379.0,1234.0,frame_1004.jpeg
1.6463893704293243e+18,6998.0,2813.0,1642.0,frame_1005.jpeg
1.646389370479393e+18,6696.0,2915.0,1759.0,frame_1006.jpeg
1.646389370529492e+18,7035.0,3450.0,1186.0,frame_1007.jpeg
1.6463898242394831e+18,5830.0,498.0,-5112.0,frame_10070.jpeg
1.6463898242737677e+18,5842.0,510.0,-5466.0,frame_10071.jpeg
1.646389824390059e+18,5746.0,467.0,-5529.0,frame_10072.jpeg
1.646389824397409e+18,5633.0,405.0,-5602.0,frame_10073.jpeg
1.6463898244569329e+18,6388.0,564.0,-5525.0,frame_10074.jpeg
1.6463898244763533e+18,5754.0,562.0,-5438.0,frame_10075.jpeg
1.6463898245518958e+18,5618.0,555.0,-5923.0,frame_10076.jpeg
1.6463898245793866e+18,5797.0,202.0,-5748.0,frame_10077.jpeg
1.6463898246509092e+18,5918.0,326.0,-5365.0,frame_10078.jpeg
1.6463898246982515e+18,5167.0,598.0,-5654.0,frame_10079.jpeg
1.646389370579839e+18,6675.0,3227.0,1129.0,frame_1008.jpeg
1.6463898247515128e+18,5457.0,626.0,-5430.0,frame_10080.jpeg
1.6463898247983526e+18,6085.0,818.0,-5104.0,frame_10081.jpeg
1.6463898248518945e+18,6567.0,411.0,-5091.0,frame_10082.jpeg
1.6463898249129725e+18,6018.0,468.0,-5301.0,frame_10083.jpeg
1.6463898249593244e+18,5477.0,704.0,-5383.0,frame_10084.jpeg
1.646389824996179e+18,6149.0,748.0,-5275.0,frame_10085.jpeg
1.6463898250557007e+18,6468.0,533.0,-5071.0,frame_10086.jpeg
1.646389825097452e+18,6225.0,499.0,-4954.0,frame_10087.jpeg
1.6463898251514455e+18,5741.0,383.0,-5139.0,frame_10088.jpeg
