timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6455431049966828e+18,-1519.0,8882.0,-2828.0,1
1.645543105046553e+18,-1283.0,7835.0,-3038.0,1
1.6455431050961992e+18,-2144.0,5901.0,-184.0,1
1.645543105143496e+18,-3754.0,-523.0,3883.0,1
1.645543105196635e+18,-5871.0,2120.0,5885.0,1
1.6455431052439642e+18,-6725.0,2187.0,6210.0,1
1.6455431052962647e+18,-6173.0,1222.0,5527.0,1
1.6455431053453763e+18,-5681.0,210.0,5429.0,1
1.6455431053943327e+18,-6228.0,-134.0,6302.0,1
1.6455431054426995e+18,-5986.0,48.0,5746.0,1
1.6455431054944312e+18,-6001.0,578.0,5573.0,1
1.6455431055459904e+18,-5855.0,644.0,5769.0,1
1.64554310559213e+18,-5429.0,544.0,5465.0,1
1.645543105651676e+18,-5519.0,404.0,5360.0,1
1.6455431056960074e+18,-5507.0,758.0,5656.0,1
1.6455431057481318e+18,-5485.0,681.0,5730.0,1
1.6455431057964314e+18,-5564.0,636.0,5615.0,1
1.6455431058481526e+18,-5533.0,438.0,5586.0,1
1.6455431058964646e+18,-5549.0,812.0,5947.0,1
1.645543105945216e+18,-5496.0,427.0,5630.0,1
1.6455431059960799e+18,-5683.0,867.0,5942.0,1
1.6455431060468925e+18,-5793.0,1348.0,6229.0,1
1.645543106097408e+18,-5190.0,2065.0,6756.0,1
1.645543106145033e+18,-5224.0,2805.0,6644.0,1
1.6455431061959427e+18,-4704.0,4688.0,6811.0,1
1.6455431062496927e+18,-3863.0,7188.0,5885.0,1
1.6455431062949325e+18,-2708.0,5739.0,5560.0,1
1.6455431063493637e+18,-1783.0,8864.0,2974.0,1
1.6455431063956984e+18,-720.0,5860.0,2128.0,1
1.6455431064479117e+18,-268.0,6727.0,889.0,1
1.6455431064943393e+18,-461.0,6159.0,-696.0,1
1.645543106543463e+18,-1870.0,8074.0,-2118.0,1
1.645543106591156e+18,-1940.0,6638.0,-4002.0,1
1.6455431066514176e+18,-503.0,6329.0,-5199.0,1
1.6455431066966405e+18,840.0,5182.0,-6152.0,1
1.645543106750735e+18,1277.0,5969.0,-6130.0,1
1.6455431067962158e+18,1147.0,6161.0,-5145.0,1
1.645543106847954e+18,1058.0,6807.0,-5482.0,1
1.645543106896556e+18,358.0,9376.0,-5151.0,1
1.6455431069479447e+18,66.0,8582.0,-3979.0,1
1.6455431070985014e+18,2712.0,9979.0,-2072.0,1
1.6455431071476488e+18,3108.0,7393.0,-879.0,1
1.6455431071978035e+18,3491.0,6742.0,307.0,1
