timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, ASSEMBLY2_RIGHT
1.6461450086006252e+18,frame_2350.jpeg,2847.0,2673.0,-13182.0,1
1.6461450086516854e+18,frame_2351.jpeg,1410.0,-1578.0,-9467.0,1
1.646145008700247e+18,frame_2352.jpeg,2516.0,-1057.0,-7895.0,1
1.6461450087464988e+18,frame_2353.jpeg,1769.0,-1158.0,-8303.0,1
1.6461450088022198e+18,frame_2354.jpeg,2484.0,-1399.0,-7660.0,1
1.6461450088519066e+18,frame_2355.jpeg,2288.0,-1307.0,-7867.0,1
1.6461450089038664e+18,frame_2356.jpeg,2401.0,-1269.0,-7425.0,1
1.6461450089590162e+18,frame_2357.jpeg,1903.0,-1258.0,-7488.0,1
1.6461450090007153e+18,frame_2358.jpeg,2619.0,-1337.0,-7613.0,1
1.6461450090484495e+18,frame_2359.jpeg,2240.0,-1493.0,-7504.0,1
1.646145009103618e+18,frame_2360.jpeg,2382.0,-1614.0,-7329.0,1
1.646145009151912e+18,frame_2361.jpeg,2452.0,-1416.0,-7489.0,1
1.6461450092019282e+18,frame_2362.jpeg,2155.0,-1428.0,-7497.0,1
1.6461450092476296e+18,frame_2363.jpeg,2252.0,-1385.0,-7665.0,1
1.6461450093012196e+18,frame_2364.jpeg,2325.0,-1336.0,-7352.0,1
1.6461450093495754e+18,frame_2365.jpeg,2248.0,-1355.0,-7687.0,1
1.6461450094048804e+18,frame_2366.jpeg,2276.0,-1434.0,-7477.0,1
1.646145009449523e+18,frame_2367.jpeg,2239.0,-1327.0,-7350.0,1
1.6461450095031864e+18,frame_2368.jpeg,2360.0,-1513.0,-7638.0,1
1.6461450095662054e+18,frame_2369.jpeg,2228.0,-1402.0,-7444.0,1
1.646145009600757e+18,frame_2370.jpeg,2334.0,-1463.0,-7610.0,1
1.6461450096560883e+18,frame_2371.jpeg,2285.0,-1576.0,-7471.0,1
1.6461450097015575e+18,frame_2372.jpeg,2258.0,-1497.0,-7596.0,1
1.646145009753977e+18,frame_2373.jpeg,2201.0,-1571.0,-7588.0,1
1.6461450098054277e+18,frame_2374.jpeg,2308.0,-1455.0,-7504.0,1
1.646145009854736e+18,frame_2375.jpeg,2241.0,-1477.0,-7617.0,1
1.6461450099042186e+18,frame_2376.jpeg,2186.0,-1318.0,-7504.0,1
1.6461450099563878e+18,frame_2377.jpeg,2448.0,-1272.0,-7648.0,1
1.6461450100042557e+18,frame_2378.jpeg,1971.0,-1197.0,-7416.0,1
1.646145010055634e+18,frame_2379.jpeg,2260.0,-1192.0,-7520.0,1
1.6461450101065544e+18,frame_2380.jpeg,2431.0,-1317.0,-7642.0,1
1.6461450101497743e+18,frame_2381.jpeg,2447.0,-1468.0,-7758.0,1
1.6461450101996204e+18,frame_2382.jpeg,2204.0,-1416.0,-7655.0,1
1.6461450102535826e+18,frame_2383.jpeg,4065.0,2024.0,-14547.0,1
1.646145010299992e+18,frame_2384.jpeg,3859.0,693.0,-14122.0,1
1.64614501035512e+18,frame_2385.jpeg,-1376.0,-2734.0,-8838.0,1
1.6461450104040566e+18,frame_2386.jpeg,-3384.0,-2967.0,-6291.0,1
1.6461450104462835e+18,frame_2387.jpeg,-7079.0,-4022.0,103.0,1
1.6461450105032407e+18,frame_2388.jpeg,-7193.0,-4358.0,1510.0,1
1.646145010552941e+18,frame_2389.jpeg,-4831.0,73.0,11592.0,1
1.6461450106029955e+18,frame_2390.jpeg,165.0,1730.0,5054.0,1
1.6461450106547182e+18,frame_2391.jpeg,11671.0,9708.0,-662.0,1
1.6461450107025347e+18,frame_2392.jpeg,13849.0,7667.0,-3865.0,1
1.6461450107530847e+18,frame_2393.jpeg,10774.0,4373.0,-5582.0,1
1.6461450107618693e+18,frame_2394.jpeg,10349.0,4117.0,-5143.0,1
1.6461450108548175e+18,frame_2395.jpeg,9864.0,4403.0,-5084.0,1
1.646145010903762e+18,frame_2396.jpeg,2278.0,1343.0,-10312.0,1
1.6461450109545277e+18,frame_2397.jpeg,-1011.0,263.0,-9027.0,1
1.6461450109545277e+18,frame_2398.jpeg,-1011.0,263.0,-9027.0,1
1.6461450111086208e+18,frame_2399.jpeg,-1401.0,165.0,-8790.0,1
1.6461450111086208e+18,frame_2400.jpeg,-1401.0,165.0,-8790.0,1
1.6461450111702536e+18,frame_2401.jpeg,-1659.0,50.0,-8549.0,1
1.6461450112053937e+18,frame_2402.jpeg,-1300.0,-378.0,-7590.0,1
1.6461450112538022e+18,frame_2403.jpeg,1355.0,91.0,-10088.0,1
1.6461450113032312e+18,frame_2404.jpeg,-822.0,-1358.0,-8084.0,1
1.6461450113535332e+18,frame_2405.jpeg,-619.0,-2113.0,-7337.0,1
1.6461450114082532e+18,frame_2406.jpeg,-316.0,-2402.0,-7780.0,1
1.6461450114533245e+18,frame_2407.jpeg,117.0,-2284.0,-7619.0,1
1.6461450115081871e+18,frame_2408.jpeg,-304.0,-2201.0,-7583.0,1
1.6461450115537784e+18,frame_2409.jpeg,-442.0,-2307.0,-7607.0,1
1.6461450116090596e+18,frame_2410.jpeg,-527.0,-2445.0,-7665.0,1
1.6461450116529062e+18,frame_2411.jpeg,-830.0,-2315.0,-7636.0,1
1.6461450117083924e+18,frame_2412.jpeg,-1130.0,-1551.0,-8575.0,1
1.6461450117535857e+18,frame_2413.jpeg,-799.0,-1366.0,-7965.0,1
1.6461450118069443e+18,frame_2414.jpeg,-1870.0,-1113.0,-7990.0,1
1.6461450118527347e+18,frame_2415.jpeg,-1382.0,-1583.0,-7630.0,1
1.6461450119079665e+18,frame_2416.jpeg,-1082.0,-1668.0,-7976.0,1
1.6461450119547233e+18,frame_2417.jpeg,-1200.0,-1871.0,-7825.0,1
1.646145012001493e+18,frame_2418.jpeg,-928.0,-1197.0,-7713.0,1
1.6461450120560323e+18,frame_2419.jpeg,-1083.0,-1331.0,-7696.0,1
1.6461450121064768e+18,frame_2420.jpeg,-434.0,-1918.0,-8080.0,1
1.6461450121531878e+18,frame_2421.jpeg,-783.0,-2019.0,-7890.0,1
1.6461450122061327e+18,frame_2422.jpeg,-495.0,-2004.0,-7733.0,1
1.6461450122533676e+18,frame_2423.jpeg,-145.0,-1673.0,-8012.0,1
1.646145012306454e+18,frame_2424.jpeg,-152.0,-1422.0,-7822.0,1
