timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.64554511271962e+18,2864.0,5796.0,-5346.0,1
1.6455451127682253e+18,2677.0,5300.0,-5221.0,1
1.6455451128190031e+18,2662.0,5581.0,-5282.0,1
1.6455451128689206e+18,2907.0,5689.0,-4673.0,1
1.6455451129194422e+18,3070.0,5442.0,-3536.0,1
1.6455451129651095e+18,3660.0,5419.0,-4151.0,1
1.6455451130160484e+18,2990.0,6420.0,-5702.0,1
1.6455451130695334e+18,3606.0,6333.0,-5224.0,1
1.6455451131188403e+18,1452.0,7046.0,-4921.0,1
1.6455451131693363e+18,2493.0,5379.0,-3767.0,1
1.6455451132159278e+18,3050.0,6717.0,-5630.0,1
1.6455451132683953e+18,2248.0,6836.0,-4146.0,1
1.6455451133138058e+18,4243.0,5580.0,-3075.0,1
1.645545113365389e+18,4028.0,5042.0,-3332.0,1
1.6455451134196826e+18,4616.0,5907.0,-4116.0,1
1.6455451134694077e+18,4212.0,6243.0,-3181.0,1
1.6455451135167654e+18,4144.0,6599.0,-5368.0,1
1.6455451135742628e+18,3880.0,5501.0,-4073.0,1
1.645545113619673e+18,3221.0,5389.0,-4754.0,1
1.6455451136720714e+18,3180.0,5320.0,-4047.0,1
1.6455451137239227e+18,3371.0,5556.0,-3396.0,1
1.645545113771933e+18,4842.0,6284.0,-2941.0,1
1.6455451138160906e+18,3723.0,6153.0,-2706.0,1
1.6455451138671608e+18,3728.0,7517.0,-4067.0,1
1.645545113918581e+18,6397.0,5093.0,-3974.0,1
1.6455451139730975e+18,5242.0,5302.0,-2701.0,1
1.6455451140225823e+18,3962.0,4902.0,-1837.0,1
1.6455451140678625e+18,4782.0,7037.0,-4987.0,1
1.6455451141219246e+18,5060.0,4900.0,-3066.0,1
1.6455451141690816e+18,3600.0,5266.0,-2830.0,1
1.6455451142223427e+18,4490.0,4920.0,-3999.0,1
1.645545114269761e+18,7016.0,4850.0,-4712.0,1
1.6455451143179814e+18,2978.0,5886.0,-1539.0,1
1.6455451143273782e+18,2653.0,6729.0,-1571.0,1
1.6455451144646316e+18,2528.0,7179.0,-1896.0,1
1.6455451144685809e+18,4358.0,7456.0,-3785.0,1
1.645545114500056e+18,4543.0,6659.0,-3719.0,1
1.6455451145698552e+18,5225.0,4710.0,-3013.0,1
1.645545114614388e+18,5142.0,5099.0,-2867.0,1
1.645545114668562e+18,5084.0,5369.0,-3187.0,1
1.6455451147193725e+18,5554.0,5777.0,-4326.0,1
1.645545114769254e+18,4788.0,5699.0,-3766.0,1
1.6455451148193725e+18,3790.0,6490.0,-3145.0,1
1.6455451148711255e+18,5956.0,5073.0,-2502.0,1
1.6455451149186176e+18,6818.0,4300.0,-2618.0,1
1.6455451149701903e+18,4530.0,6059.0,-3659.0,1
1.645545115018889e+18,4408.0,5674.0,-3181.0,1
1.6455451150697905e+18,4188.0,5578.0,-4908.0,1
1.6455451151242898e+18,3091.0,5917.0,-3162.0,1
1.6455451151754225e+18,7947.0,4790.0,-3858.0,1
1.6455451152229765e+18,6132.0,4369.0,-2060.0,1
1.6455451152712312e+18,5994.0,3839.0,-3549.0,1
1.6455451153198167e+18,8979.0,2127.0,-2511.0,1
1.6455451153704863e+18,733.0,4869.0,-4231.0,1
1.6455451154259876e+18,3757.0,7049.0,-3321.0,1
1.6455451154702705e+18,6419.0,5919.0,-1022.0,1
1.645545115523039e+18,6470.0,4953.0,-1503.0,1
1.645545115568074e+18,5233.0,6328.0,-2427.0,1
1.6455451156192236e+18,3875.0,7045.0,-2879.0,1
1.6455451156707482e+18,6519.0,5514.0,-2339.0,1
1.645545115720179e+18,6191.0,3429.0,-3208.0,1
1.64554511576666e+18,4904.0,3511.0,-3585.0,1
1.6455451158156024e+18,6097.0,3180.0,-4552.0,1
1.6455451158741207e+18,5214.0,5577.0,-2509.0,1
1.6455451159192297e+18,879.0,7959.0,-3870.0,1
1.6455451159623885e+18,5790.0,5219.0,-4145.0,1
1.6455451160193746e+18,7837.0,4939.0,-1093.0,1
1.645545116067299e+18,6384.0,6274.0,-2165.0,1
1.6455451161243794e+18,4646.0,6025.0,-2760.0,1
1.645545116167364e+18,5386.0,4770.0,-2864.0,1
1.6455451162243517e+18,4757.0,3983.0,-3727.0,1
1.645545116267728e+18,4637.0,3897.0,-3761.0,1
1.6455451163241114e+18,7318.0,5626.0,-689.0,1
1.6455451163666112e+18,1434.0,9368.0,-1441.0,1
1.6455451164268846e+18,4633.0,6045.0,-3001.0,1
1.645545116470012e+18,2795.0,7129.0,-2305.0,1
1.6455451165221727e+18,5901.0,5201.0,-3760.0,1
1.645545116571287e+18,5603.0,5493.0,-2344.0,1
1.6455451166199636e+18,5371.0,5580.0,-2180.0,1
1.6455451166719795e+18,6854.0,4187.0,-2808.0,1
1.645545116722559e+18,8703.0,2439.0,-4012.0,1
1.645545116776806e+18,4298.0,5958.0,-2977.0,1
1.64554511682391e+18,1742.0,9060.0,-3067.0,1
1.6455451168743104e+18,4766.0,7885.0,-2389.0,1
1.6455451169226865e+18,6382.0,3354.0,-676.0,1
1.6455451169727547e+18,6108.0,4450.0,-2797.0,1
1.6455451170226342e+18,5050.0,4971.0,-3492.0,1
1.6455451170748065e+18,7998.0,2396.0,-2877.0,1
1.6455451171236995e+18,9418.0,2994.0,-835.0,1
1.6455451171717627e+18,3575.0,7373.0,-2732.0,1
1.6455451172222413e+18,6862.0,4719.0,-3162.0,1
1.645545117277257e+18,5246.0,6636.0,-1031.0,1
1.6455451173201613e+18,3955.0,6531.0,-3551.0,1
1.645545117377133e+18,4192.0,6988.0,-2100.0,1
1.6455451174205076e+18,4336.0,7832.0,-640.0,1
1.6455451174729004e+18,8149.0,3710.0,-587.0,1
1.6455451175234217e+18,4944.0,3048.0,-5961.0,1
1.64554511757432e+18,8584.0,4011.0,-4469.0,1
1.6455451176206991e+18,6283.0,6681.0,-1533.0,1
1.6455451176765512e+18,2524.0,7415.0,-2365.0,1
1.6455451177279818e+18,4236.0,5974.0,-3214.0,1
1.6455451177736876e+18,5020.0,6359.0,-3631.0,1
1.6455451178242263e+18,2980.0,6646.0,-1954.0,1
1.645545117875015e+18,7933.0,4325.0,-375.0,1
1.6455451179242132e+18,4626.0,5389.0,-1878.0,1
1.645545117972564e+18,7177.0,3630.0,-1592.0,1
1.6455451180250056e+18,7341.0,3519.0,-3934.0,1
1.6455451180776e+18,2119.0,8391.0,-2011.0,1
1.645545118125939e+18,7490.0,5615.0,-1322.0,1
1.6455451181727716e+18,4961.0,6433.0,-130.0,1
1.6455451182205655e+18,4517.0,7078.0,-618.0,1
1.6455451182748163e+18,5076.0,5413.0,-2265.0,1
1.6455451183253998e+18,6461.0,5898.0,-946.0,1
1.645545118374891e+18,5535.0,2535.0,-4576.0,1
