timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_RIGHT
1.645021741042428e+18,-4491.0,-6198.0,231.0,1
1.6450217411381972e+18,-4539.0,-6503.0,461.0,1
1.6450217411718088e+18,-4560.0,-6822.0,686.0,1
1.6450217412153636e+18,-4484.0,-6863.0,1160.0,1
1.6450217412708787e+18,-5110.0,-5687.0,2162.0,1
1.645021741318671e+18,-5809.0,-6092.0,3475.0,1
1.6450217413671928e+18,-5555.0,-6083.0,2823.0,1
1.6450217414198177e+18,-5727.0,-7080.0,3096.0,1
1.64502174146822e+18,-5420.0,-8266.0,2629.0,1
1.6450217415165652e+18,-4794.0,-9547.0,1900.0,1
1.6450217415713408e+18,-3891.0,-10203.0,587.0,1
1.6450217416200297e+18,-2813.0,-8225.0,81.0,1
1.645021741673356e+18,-1165.0,-6681.0,-424.0,1
1.6450217417227359e+18,-551.0,-6405.0,82.0,1
1.6450217417675146e+18,-242.0,-5861.0,-333.0,1
1.6450217418262618e+18,-464.0,-6691.0,-1248.0,1
1.645021741867842e+18,-853.0,-8481.0,-1020.0,1
