timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6450217276970941e+18,2488.0,-5253.0,8029.0,1
1.6450217277517158e+18,2586.0,-4497.0,7359.0,1
1.645021727800148e+18,2731.0,-2676.0,6857.0,1
1.6450217278672722e+18,2799.0,-1915.0,6532.0,1
1.6450217279055647e+18,2889.0,-1689.0,6311.0,1
1.6450217279387587e+18,2947.0,-1480.0,6150.0,1
1.6450217279978394e+18,2927.0,-1397.0,6131.0,1
1.6450217279978394e+18,2927.0,-1397.0,6131.0,1
1.6450217281196818e+18,2893.0,-1291.0,6128.0,1
1.6450217281601e+18,2663.0,-896.0,6293.0,1
1.6450217282011722e+18,2259.0,-367.0,6352.0,1
1.6450217282527516e+18,2438.0,2426.0,8045.0,1
1.6450217282997934e+18,2392.0,2882.0,7311.0,1
1.6450217283560143e+18,2143.0,2679.0,7915.0,1
1.6450217283995382e+18,1953.0,2898.0,8052.0,1
1.6450217284555108e+18,2010.0,3404.0,7731.0,1
1.6450217285025807e+18,2217.0,3600.0,7409.0,1
1.6450217285546724e+18,2077.0,3274.0,7736.0,1
1.645021728602449e+18,2081.0,3662.0,7432.0,1
1.6450217286543928e+18,1874.0,3736.0,7716.0,1
1.6450217287066688e+18,1898.0,3919.0,7859.0,1
1.645021728754051e+18,2147.0,2240.0,7874.0,1
1.645021728810696e+18,2225.0,2362.0,7847.0,1
1.6450217288535767e+18,2289.0,1470.0,8091.0,1
1.645021728903704e+18,2237.0,2218.0,8113.0,1
1.6450217289534618e+18,2128.0,2490.0,8023.0,1
1.6450217290043292e+18,1956.0,2740.0,7946.0,1
1.6450217290545974e+18,1714.0,4073.0,7241.0,1
1.64502172910997e+18,1615.0,4299.0,7434.0,1
1.6450217291540803e+18,1715.0,4483.0,7104.0,1
1.6450217292049188e+18,1646.0,4647.0,6732.0,1
1.6450217292550244e+18,1318.0,4401.0,7112.0,1
1.6450217293102246e+18,1527.0,4064.0,6862.0,1
1.645021729354218e+18,1462.0,2861.0,6982.0,1
1.6450217294063875e+18,1403.0,3069.0,7749.0,1
1.6450217294529815e+18,1426.0,3538.0,7387.0,1
1.645021729508085e+18,1258.0,3682.0,7909.0,1
1.6450217295520655e+18,993.0,4137.0,7838.0,1
1.6450217296044488e+18,1401.0,2546.0,7991.0,1
1.6450217296556708e+18,1739.0,3201.0,7582.0,1
1.6450217297063342e+18,1526.0,3004.0,7994.0,1
1.645021729755032e+18,1403.0,3151.0,7955.0,1
1.6450217298039503e+18,1628.0,3075.0,8158.0,1
1.6450217298563745e+18,1597.0,3325.0,8013.0,1
1.6450217299093404e+18,1484.0,1832.0,8687.0,1
1.6450217299543247e+18,1418.0,1943.0,8004.0,1
1.6450217300078423e+18,1305.0,1992.0,8286.0,1
1.6450217300549962e+18,1401.0,1374.0,8162.0,1
1.6450217301047537e+18,1580.0,507.0,8681.0,1
1.6450217301547471e+18,1535.0,-35.0,8135.0,1
1.645021730204011e+18,1547.0,-61.0,8603.0,1
1.6450217302553636e+18,1708.0,719.0,8326.0,1
1.6450217303089682e+18,1709.0,-180.0,8496.0,1
1.645021730354946e+18,1532.0,275.0,8487.0,1
1.6450217304075607e+18,1605.0,320.0,8296.0,1
1.6450217304614994e+18,1642.0,347.0,8283.0,1
1.6450217305096044e+18,1821.0,213.0,7812.0,1
1.6450217305560538e+18,1672.0,289.0,8010.0,1
1.6450217306067917e+18,1472.0,-231.0,7968.0,1
1.6450217306588915e+18,1620.0,-121.0,8267.0,1
1.6450217307096632e+18,1121.0,-161.0,8193.0,1
1.6450217307574403e+18,572.0,-303.0,8426.0,1
1.6450217308054228e+18,642.0,-1016.0,8134.0,1
1.6450217308588365e+18,1997.0,-2079.0,5629.0,1
1.6450217309066632e+18,2914.0,-3569.0,5161.0,1
1.6450217309570232e+18,3966.0,-4264.0,3938.0,1
1.645021731007609e+18,4122.0,-5923.0,4337.0,1
1.6450217310539924e+18,4232.0,-6777.0,4448.0,1
1.6450217311033288e+18,4013.0,-7054.0,4210.0,1
1.6450217311569219e+18,3778.0,-7369.0,3874.0,1
1.6450217312037302e+18,3742.0,-7797.0,3881.0,1
1.645021731258663e+18,3847.0,-7911.0,3312.0,1
1.6450217313057795e+18,3802.0,-7743.0,3233.0,1
1.6450217313565207e+18,3586.0,-7643.0,3027.0,1
1.6450217314078953e+18,3382.0,-7257.0,2897.0,1
1.6450217314564723e+18,3240.0,-7228.0,2972.0,1
1.645021731506509e+18,3161.0,-7078.0,2965.0,1
1.6450217315570977e+18,3071.0,-7100.0,3006.0,1
1.645021731603448e+18,3030.0,-7134.0,2980.0,1
1.6450217316563965e+18,2992.0,-7066.0,3115.0,1
1.6450217317068877e+18,2991.0,-7002.0,3346.0,1
1.645021731757161e+18,3080.0,-6756.0,3354.0,1
1.6450217318073037e+18,3242.0,-6695.0,3260.0,1
1.645021731859227e+18,3228.0,-6828.0,3212.0,1
1.6450217319034819e+18,3218.0,-6809.0,3186.0,1
1.6450217319608753e+18,3278.0,-6839.0,3216.0,1
1.6450217320121462e+18,3386.0,-6850.0,3221.0,1
1.6450217320620037e+18,3463.0,-6818.0,3213.0,1
1.6450217321129318e+18,3535.0,-6904.0,3114.0,1
1.6450217321583826e+18,3484.0,-6876.0,3155.0,1
1.645021732212966e+18,3472.0,-6733.0,3095.0,1
1.6450217322563538e+18,3506.0,-6629.0,3167.0,1
1.6450217323083151e+18,3449.0,-6613.0,3217.0,1
1.6450217323608637e+18,3448.0,-6622.0,3217.0,1
1.645021732412429e+18,3507.0,-6629.0,3145.0,1
1.6450217324559434e+18,3581.0,-6578.0,2960.0,1
1.6450217325051566e+18,3687.0,-6517.0,2746.0,1
1.6450217325559918e+18,3688.0,-6790.0,2797.0,1
1.6450217326034222e+18,3780.0,-6806.0,2655.0,1
1.6450217326581435e+18,3846.0,-7083.0,2713.0,1
1.6450217327117906e+18,3885.0,-7062.0,2793.0,1
1.6450217327611254e+18,3735.0,-6943.0,2674.0,1
1.645021732814292e+18,3718.0,-6733.0,2562.0,1
1.6450217328607846e+18,3752.0,-6449.0,2441.0,1
1.6450217329079104e+18,3774.0,-6463.0,2353.0,1
1.645021732958061e+18,3676.0,-6611.0,2220.0,1
1.6450217330099405e+18,3730.0,-6838.0,1923.0,1
1.6450217330575404e+18,3892.0,-6860.0,1489.0,1
1.6450217331097e+18,3919.0,-7167.0,959.0,1
1.6450217331576238e+18,3986.0,-7120.0,443.0,1
1.645021733210016e+18,3948.0,-7067.0,114.0,1
1.6450217332595438e+18,3993.0,-6935.0,-279.0,1
