timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6461453736543752e+18,-896.0,-6830.0,4551.0,1
1.6461453737096765e+18,-833.0,-6943.0,4458.0,1
1.646145373756668e+18,-762.0,-6885.0,4366.0,1
1.646145373811138e+18,-907.0,-6930.0,4394.0,1
1.6461453738544197e+18,-1062.0,-7081.0,4559.0,1
1.6461453739115576e+18,-815.0,-7018.0,4295.0,1
1.6461453739576727e+18,-715.0,-7126.0,4196.0,1
1.6461453740037814e+18,-796.0,-7097.0,4389.0,1
1.6461453740588216e+18,-877.0,-7180.0,3937.0,1
1.6461453741130888e+18,-668.0,-7224.0,4136.0,1
1.646145374157385e+18,-754.0,-7129.0,4095.0,1
1.6461453742091812e+18,-693.0,-7388.0,4097.0,1
1.646145374260499e+18,-741.0,-7195.0,3948.0,1
1.646145374309903e+18,-544.0,-7186.0,3826.0,1
1.6461453743600143e+18,-736.0,-7307.0,4004.0,1
1.6461453744104205e+18,-642.0,-7217.0,3960.0,1
1.6461453744640753e+18,-632.0,-7315.0,3899.0,1
1.6461453745117594e+18,-532.0,-7255.0,3970.0,1
1.6461453745608381e+18,-712.0,-7215.0,3950.0,1
1.6461453746084657e+18,-718.0,-7347.0,3916.0,1
1.6461453746603203e+18,-594.0,-7134.0,3974.0,1
1.6461453747094177e+18,-608.0,-7366.0,3853.0,1
1.6461453747592612e+18,-447.0,-7264.0,3868.0,1
1.646145374808715e+18,-730.0,-7260.0,3975.0,1
1.6461453748589893e+18,-779.0,-7352.0,3899.0,1
1.6461453749089846e+18,-593.0,-7175.0,3727.0,1
1.6461453749480852e+18,-519.0,-7457.0,3867.0,1
1.6461453750102758e+18,-585.0,-7431.0,3991.0,1
1.6461453750604137e+18,-698.0,-7344.0,3846.0,1
1.6461453751107735e+18,-518.0,-7363.0,3788.0,1
1.646145375164008e+18,-450.0,-7257.0,3683.0,1
1.646145375197675e+18,-630.0,-7370.0,3788.0,1
1.6461453752597714e+18,-592.0,-7437.0,3900.0,1
1.6461453752873787e+18,-467.0,-7226.0,3723.0,1
