timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_RIGHT
1.64614491618846e+18,-4806.0,-4680.0,5550.0,1
1.6461449162363228e+18,-4757.0,-4237.0,5304.0,1
1.6461449162867026e+18,-4688.0,-3890.0,5615.0,1
1.6461449163339195e+18,-5111.0,-3804.0,6317.0,1
1.6461449163889495e+18,-4474.0,-4184.0,5630.0,1
1.6461449164335613e+18,-4247.0,-3178.0,5853.0,1
1.6461449164877996e+18,-4319.0,-3639.0,6271.0,1
1.6461449165330563e+18,-4897.0,-2502.0,7149.0,1
1.6461449165866138e+18,-5171.0,-2404.0,7019.0,1
1.6461449166361219e+18,-4400.0,-1490.0,6869.0,1
1.6461449166865108e+18,-4679.0,-1948.0,7280.0,1
1.6461449167359898e+18,-4406.0,-1989.0,7541.0,1
1.6461449167861463e+18,-4400.0,-1596.0,7461.0,1
1.646144916833026e+18,-4620.0,-2620.0,7723.0,1
1.646144916888203e+18,-3951.0,-3549.0,7989.0,1
1.6461449169352381e+18,-3492.0,-5098.0,7730.0,1
1.6461449175325235e+18,2324.0,-4609.0,6380.0,1
1.6461449175325235e+18,2324.0,-4609.0,6380.0,1
1.6461449175325235e+18,2324.0,-4609.0,6380.0,1
1.6461449178393743e+18,2306.0,-4680.0,6547.0,1
1.6461449178393743e+18,2306.0,-4680.0,6547.0,1
1.6461449178393743e+18,2306.0,-4680.0,6547.0,1
1.6461449178393743e+18,2306.0,-4680.0,6547.0,1
1.6461449178866427e+18,2528.0,-4479.0,6625.0,1
1.6461449179377206e+18,1942.0,-1415.0,7916.0,1
1.6461449179844442e+18,2323.0,-1708.0,7081.0,1
1.646144918039286e+18,2401.0,-929.0,7253.0,1
1.6461449180864837e+18,2185.0,-1269.0,7968.0,1
1.6461449181338762e+18,1825.0,-116.0,8479.0,1
1.6461449181848955e+18,1802.0,244.0,8901.0,1
1.6461449182346227e+18,1341.0,-280.0,8563.0,1
1.646144918288667e+18,1651.0,-3920.0,7352.0,1
1.646144918341007e+18,1920.0,-5195.0,5825.0,1
1.6461449183866744e+18,1595.0,-4166.0,6254.0,1
1.6461449184396746e+18,1544.0,-5816.0,6124.0,1
1.6461449184877878e+18,1878.0,-6160.0,5637.0,1
1.64614491854456e+18,1809.0,-5356.0,5883.0,1
1.6461449186000655e+18,1711.0,-5124.0,5804.0,1
1.6461449186343388e+18,1534.0,-5120.0,5416.0,1
1.6461449187195986e+18,1515.0,-5718.0,5146.0,1
1.6461449187195986e+18,1515.0,-5718.0,5146.0,1
1.6461449187956733e+18,1548.0,-6127.0,5057.0,1
1.646144918844784e+18,1576.0,-6549.0,4994.0,1
1.6461449188779292e+18,1620.0,-6922.0,4903.0,1
1.6461449189406323e+18,1655.0,-7231.0,4776.0,1
1.6461449189406323e+18,1655.0,-7231.0,4776.0,1
1.646144919041588e+18,1679.0,-7484.0,4590.0,1
1.646144919095822e+18,1677.0,-7715.0,4360.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449191507615e+18,1634.0,-7962.0,4159.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200603812e+18,1394.0,-8005.0,3552.0,1
1.6461449200768005e+18,1367.0,-7516.0,3683.0,1
1.6461449201136297e+18,1358.0,-7226.0,3728.0,1
1.646144920188786e+18,1345.0,-6900.0,3748.0,1
1.6461449202220447e+18,942.0,-6067.0,4041.0,1
1.6461449202995768e+18,1731.0,-7137.0,5321.0,1
1.6461449203365112e+18,-2200.0,-4663.0,2837.0,1
1.646144920389144e+18,-2881.0,-7908.0,332.0,1
1.646144920437773e+18,-2745.0,-9991.0,1.0,1
1.646144920491281e+18,-2481.0,-9297.0,-1265.0,1
1.6461449205376115e+18,-3152.0,-7691.0,-352.0,1
1.6461449205762908e+18,-2874.0,-7829.0,-1372.0,1
1.6461449206376525e+18,-3372.0,-8031.0,-2602.0,1
1.6461449207170307e+18,-3444.0,-7917.0,-2932.0,1
1.646144920746461e+18,-3402.0,-7478.0,-3108.0,1
1.6461449207907187e+18,-3366.0,-7190.0,-3150.0,1
1.6461449208365965e+18,-3339.0,-6907.0,-3140.0,1
1.6461449209088443e+18,-3317.0,-6657.0,-3090.0,1
1.646144920962759e+18,-3292.0,-6447.0,-3031.0,1
1.646144920997835e+18,-3265.0,-6309.0,-2957.0,1
1.6461449210368e+18,-2851.0,-6950.0,-2845.0,1
1.6461449210905505e+18,-2107.0,-7245.0,-3872.0,1
1.646144921140342e+18,-2327.0,-7222.0,-3256.0,1
1.6461449211913137e+18,-2245.0,-7097.0,-3148.0,1
1.646144921240508e+18,-2280.0,-6928.0,-3156.0,1
1.6461449212913802e+18,-2273.0,-7092.0,-3109.0,1
1.6461449213396498e+18,-2272.0,-7038.0,-2964.0,1
1.6461449213855926e+18,-2197.0,-6557.0,-2894.0,1
1.646144921442348e+18,-2469.0,-6342.0,-2470.0,1
1.646144921510705e+18,-2600.0,-6587.0,-2737.0,1
1.6461449215311176e+18,-2622.0,-6741.0,-2823.0,1
1.646144921636929e+18,-2650.0,-6900.0,-2936.0,1
1.646144921636929e+18,-2650.0,-6900.0,-2936.0,1
1.6461449216900664e+18,-2822.0,-7504.0,-3726.0,1
1.646144921734956e+18,-2102.0,-6880.0,-4406.0,1
1.6461449217857116e+18,-2017.0,-6625.0,-4390.0,1
1.6461449218609513e+18,-2003.0,-6613.0,-4361.0,1
1.6461449219022866e+18,-1974.0,-6589.0,-4330.0,1
1.6461449219022866e+18,-1974.0,-6589.0,-4330.0,1
1.6461449219876367e+18,-1939.0,-6562.0,-4319.0,1
1.6461449220126108e+18,-1895.0,-6555.0,-4314.0,1
