timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.646145087010254e+18,2156.0,-2180.0,7931.0,1
1.6461450871135608e+18,2143.0,-2159.0,7952.0,1
1.6461450871406065e+18,2251.0,-2076.0,7863.0,1
1.6461450871989317e+18,2297.0,-2235.0,7815.0,1
1.6461450872524303e+18,2314.0,-2271.0,7804.0,1
1.646145087311346e+18,2333.0,-2255.0,7822.0,1
1.6461450873311089e+18,2333.0,-2242.0,7831.0,1
1.6461450874104187e+18,2347.0,-2262.0,7825.0,1
1.6461450874760896e+18,2365.0,-2263.0,7822.0,1
1.6461450874760896e+18,2365.0,-2263.0,7822.0,1
1.6461450875557128e+18,2394.0,-2229.0,7829.0,1
1.6461450876158254e+18,2397.0,-2223.0,7830.0,1
1.6461450876660198e+18,2396.0,-2217.0,7838.0,1
1.6461450877022467e+18,2330.0,-2161.0,7869.0,1
1.6461450877400074e+18,2388.0,-2237.0,7913.0,1
1.6461450877982543e+18,3047.0,-2561.0,7531.0,1
1.6461450878504049e+18,2882.0,-1855.0,7705.0,1
1.6461450879021102e+18,2776.0,-1585.0,8070.0,1
1.646145087939944e+18,2751.0,-1673.0,7993.0,1
1.6461450880098432e+18,2721.0,-1817.0,7911.0,1
1.6461450880484065e+18,2686.0,-2115.0,7705.0,1
1.6461450881032666e+18,2894.0,-1683.0,7581.0,1
1.6461450881512978e+18,2437.0,-1845.0,7729.0,1
1.6461450881996654e+18,2567.0,-1879.0,7740.0,1
1.6461450882077356e+18,2676.0,-1791.0,7654.0,1
1.6461450882999324e+18,2747.0,-1750.0,7623.0,1
1.6461450883471793e+18,2840.0,-1687.0,7632.0,1
1.6461450884152876e+18,2841.0,-1609.0,7613.0,1
1.646145088475728e+18,2813.0,-1621.0,7591.0,1
1.646145088475728e+18,2813.0,-1621.0,7591.0,1
1.646145088580934e+18,2817.0,-1677.0,7541.0,1
1.646145088580934e+18,2817.0,-1677.0,7541.0,1
1.646145088652007e+18,2836.0,-1804.0,7485.0,1
1.646145088652007e+18,2836.0,-1804.0,7485.0,1
1.6461450887838825e+18,2845.0,-2058.0,7485.0,1
1.6461450887880975e+18,2907.0,-2969.0,7513.0,1
1.6461450888368415e+18,3018.0,-3754.0,7555.0,1
1.6461450889167813e+18,3040.0,-3884.0,7609.0,1
1.6461450889326428e+18,3020.0,-3724.0,7642.0,1
1.6461450889326428e+18,3020.0,-3724.0,7642.0,1
1.6461450889326428e+18,3020.0,-3724.0,7642.0,1
1.6461450892344934e+18,3008.0,-3355.0,7596.0,1
1.6461450892344934e+18,3008.0,-3355.0,7596.0,1
1.6461450892344934e+18,3008.0,-3355.0,7596.0,1
1.6461450892364155e+18,2988.0,-3179.0,7499.0,1
1.6461450893015066e+18,2945.0,-3023.0,7405.0,1
1.6461450893015066e+18,2945.0,-3023.0,7405.0,1
1.646145089409371e+18,2907.0,-2916.0,7319.0,1
1.6461450894309256e+18,2758.0,-3751.0,7375.0,1
1.6461450894309256e+18,2758.0,-3751.0,7375.0,1
1.6461450895911974e+18,2945.0,-3835.0,7112.0,1
1.6461450896033231e+18,2784.0,-4000.0,7007.0,1
1.6461450896572946e+18,2949.0,-3390.0,6718.0,1
1.6461450897035804e+18,2939.0,-3555.0,7096.0,1
1.6461450897544655e+18,2941.0,-3706.0,7188.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450897865644e+18,2959.0,-3661.0,6813.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450905974758e+18,3093.0,-3647.0,6753.0,1
1.6461450906445164e+18,3130.0,-3663.0,6743.0,1
1.6461450906445164e+18,3130.0,-3663.0,6743.0,1
1.6461450906445164e+18,3130.0,-3663.0,6743.0,1
1.6461450906445164e+18,3130.0,-3663.0,6743.0,1
1.6461450906445164e+18,3130.0,-3663.0,6743.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450911660818e+18,3207.0,-3484.0,6753.0,1
1.6461450912064154e+18,3187.0,-3431.0,7049.0,1
1.6461450912525896e+18,3093.0,-2934.0,6726.0,1
1.6461450913041416e+18,2979.0,-3792.0,7048.0,1
1.6461450913533158e+18,2965.0,-3595.0,7188.0,1
1.646145091408384e+18,3407.0,-3863.0,6219.0,1
1.6461450914530744e+18,3325.0,-3945.0,6419.0,1
1.6461450915088474e+18,3587.0,-3954.0,6659.0,1
1.646145091557617e+18,3879.0,-4234.0,6189.0,1
1.6461450915994237e+18,3467.0,-3734.0,6140.0,1
1.6461450916543206e+18,3545.0,-4097.0,6425.0,1
1.6461450916969354e+18,3300.0,-3512.0,6468.0,1
1.6461450917311288e+18,3397.0,-3770.0,6442.0,1
1.646145091808134e+18,2979.0,-3385.0,6764.0,1
1.6461450918527864e+18,3998.0,-4363.0,6255.0,1
1.6461450918579868e+18,3977.0,-4375.0,6287.0,1
1.6461450918579868e+18,3977.0,-4375.0,6287.0,1
1.6461450921390213e+18,3847.0,-4281.0,6356.0,1
1.6461450921390213e+18,3847.0,-4281.0,6356.0,1
1.6461450921390213e+18,3847.0,-4281.0,6356.0,1
1.646145092144924e+18,3459.0,-3922.0,6425.0,1
1.6461450922057121e+18,3798.0,-4027.0,6525.0,1
