timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY1_BIMANUAL
1.6450229518990572e+18,-7004.0,-171.0,-4212.0,1
1.6450229519513439e+18,-7043.0,456.0,-4248.0,1
1.6450229520034158e+18,-9359.0,1399.0,-3686.0,1
1.6450229520525545e+18,-8971.0,-72.0,-2379.0,1
1.6450229521035848e+18,-9072.0,-1040.0,10.0,1
1.6450229521530668e+18,-7111.0,-2409.0,78.0,1
1.645022952201877e+18,-6348.0,-2230.0,-981.0,1
1.645022952259109e+18,-6128.0,-2217.0,-2284.0,1
1.645022952301158e+18,-8758.0,-2183.0,-3033.0,1
1.6450229523533396e+18,-8286.0,-2316.0,-2019.0,1
1.6450229524030449e+18,-7251.0,-2240.0,-2342.0,1
1.6450229524533138e+18,-7033.0,-2407.0,-2714.0,1
1.6450229525021919e+18,-8161.0,-2139.0,-2496.0,1
1.6450229525521044e+18,-7986.0,-2013.0,-2541.0,1
1.6450229526042153e+18,-7078.0,-2000.0,-2876.0,1
1.645022952652878e+18,-8687.0,-2121.0,-2369.0,1
1.6450229527019968e+18,-8241.0,-1977.0,-3437.0,1
1.6450229527518776e+18,-7205.0,-2334.0,-4014.0,1
1.645022952802507e+18,-5396.0,-1567.0,-4798.0,1
1.6450229528534318e+18,-5316.0,-1270.0,-4884.0,1
1.6450229528988175e+18,-5443.0,-962.0,-5648.0,1
1.6450229529537833e+18,-7002.0,-717.0,-5277.0,1
1.6450229530015933e+18,-6100.0,-759.0,-5248.0,1
1.6450229530541693e+18,-6154.0,-473.0,-5640.0,1
1.6450229530984348e+18,-6818.0,-13.0,-4916.0,1
1.6450229531533146e+18,-6952.0,120.0,-5371.0,1
1.6450229532023265e+18,-5548.0,348.0,-5785.0,1
1.6450229532539727e+18,-5086.0,425.0,-5187.0,1
1.6450229533033318e+18,-5647.0,-714.0,-3745.0,1
1.645022953353357e+18,-6364.0,-1590.0,-2747.0,1
1.645022953403053e+18,-9055.0,-1624.0,-292.0,1
1.6450229534562153e+18,-10317.0,-1530.0,-188.0,1
1.6450229535029583e+18,-9196.0,-1765.0,-1647.0,1
1.645022953565164e+18,-8765.0,-1733.0,-2727.0,1
1.6450229536069356e+18,-7611.0,-819.0,-3202.0,1
1.6450229536539638e+18,-6832.0,-716.0,-3058.0,1
1.6450229537048591e+18,-6660.0,1353.0,-4014.0,1
1.6450229537547423e+18,-7520.0,803.0,-3326.0,1
1.6450229538017495e+18,-8321.0,1317.0,-2337.0,1
1.6450229538543583e+18,-7195.0,961.0,-2201.0,1
1.6450229539036902e+18,-7368.0,551.0,-2941.0,1
1.6450229539531604e+18,-8045.0,7.0,-2048.0,1
1.6450229540021732e+18,-6678.0,705.0,87.0,1
1.6450229540519137e+18,-7319.0,838.0,1683.0,1
1.6450229541032594e+18,-7955.0,457.0,2320.0,1
1.6450229541473587e+18,-9213.0,85.0,2347.0,1
1.6450229542054403e+18,-9549.0,-907.0,3013.0,1
1.6450229542508626e+18,-9797.0,-908.0,4169.0,1
1.6450229543031337e+18,-7142.0,-2036.0,4417.0,1
1.6450229543531594e+18,-6672.0,-1190.0,4656.0,1
1.6450229544064507e+18,-6623.0,-1125.0,4521.0,1
1.6450229544472492e+18,-6793.0,-1076.0,4452.0,1
1.6450229545032271e+18,-6553.0,-1414.0,4742.0,1
1.645022954552579e+18,-6696.0,-1557.0,4522.0,1
1.6450229546032788e+18,-6693.0,-1537.0,4749.0,1
1.645022954652463e+18,-6373.0,-1300.0,5195.0,1
1.645022954705415e+18,-6484.0,-1336.0,5001.0,1
1.645022954753449e+18,-6691.0,-1588.0,4673.0,1
1.6450229548026854e+18,-7220.0,-1685.0,4967.0,1
1.6450229548584253e+18,-7097.0,-1800.0,4532.0,1
1.6450229549053576e+18,-7975.0,-1614.0,4032.0,1
1.6450229549528886e+18,-7573.0,-2757.0,4681.0,1
1.64502295500574e+18,-7141.0,-823.0,1462.0,1
1.645022955054906e+18,-6685.0,-1906.0,1253.0,1
1.64502295510635e+18,-7556.0,-1685.0,1468.0,1
1.6450229551555825e+18,-8566.0,-1704.0,2515.0,1
1.6450229552059018e+18,-7405.0,-1709.0,2864.0,1
1.6450229552553487e+18,-7698.0,-1441.0,2318.0,1
1.6450229553033887e+18,-7667.0,-1776.0,2074.0,1
1.645022955356302e+18,-7945.0,-1630.0,2429.0,1
1.6450229554064087e+18,-8183.0,-1568.0,2770.0,1
1.6450229554563085e+18,-7938.0,-1835.0,2880.0,1
1.6450229554990602e+18,-7487.0,-1913.0,2680.0,1
1.6450229555584381e+18,-7534.0,-1731.0,2192.0,1
1.6450229556062623e+18,-7844.0,-1883.0,1859.0,1
1.6450229556554573e+18,-7998.0,-2153.0,1542.0,1
1.6450229557033784e+18,-7748.0,-2264.0,1590.0,1
1.6450229557560182e+18,-8368.0,-2099.0,1589.0,1
1.6450229558064061e+18,-8135.0,-2048.0,1519.0,1
1.645022955855866e+18,-7729.0,-2030.0,1547.0,1
1.6450229559069796e+18,-7304.0,-2191.0,1848.0,1
1.6450229559557952e+18,-8727.0,-2040.0,2491.0,1
1.6450229560026176e+18,-8448.0,-2376.0,2339.0,1
1.6450229560564065e+18,-7355.0,-3049.0,1823.0,1
1.6450229561045898e+18,-7004.0,-2971.0,811.0,1
1.6450229561569336e+18,-6471.0,-2475.0,-136.0,1
1.6450229562110213e+18,-6657.0,-2812.0,-327.0,1
1.6450229562553078e+18,-6826.0,-2325.0,341.0,1
1.6450229563071037e+18,-6651.0,-1797.0,498.0,1
1.645022956361439e+18,-7936.0,-991.0,1931.0,1
1.6450229564063114e+18,-8624.0,-1130.0,2805.0,1
1.6450229564548332e+18,-7541.0,-1353.0,2081.0,1
1.6450229565092915e+18,-6983.0,-978.0,2065.0,1
1.645022956554563e+18,-7857.0,-624.0,2694.0,1
1.6450229566086108e+18,-7275.0,-587.0,2184.0,1
1.645022956655772e+18,-8460.0,-299.0,2154.0,1
1.6450229567046996e+18,-8448.0,-458.0,1320.0,1
1.645022956758539e+18,-9076.0,540.0,75.0,1
1.6450229568101501e+18,-8864.0,1744.0,-1753.0,1
1.6450229568582303e+18,-7590.0,2673.0,-3452.0,1
1.6450229569068303e+18,-7357.0,2304.0,-4007.0,1
1.645022956955407e+18,-6030.0,1882.0,-3844.0,1
1.6450229570093422e+18,-5957.0,3985.0,-5198.0,1
1.6450229596370706e+18,-9511.0,-1151.0,2190.0,1
1.6450229597139727e+18,-8908.0,-1438.0,1744.0,1
1.64502295975915e+18,-7056.0,-2084.0,36.0,1
1.6450229598136038e+18,-5799.0,-2625.0,-650.0,1
1.6450229598625403e+18,-5652.0,-2647.0,-1169.0,1
1.6450229599113682e+18,-5392.0,-3551.0,-1657.0,1
1.6450229599629857e+18,-5177.0,-3564.0,-2441.0,1
1.6450229600144292e+18,-5804.0,-4038.0,-2662.0,1
1.6450229600611635e+18,-7190.0,-4044.0,-2739.0,1
1.6450229601133297e+18,-6334.0,-4376.0,-2919.0,1
1.6450229601627318e+18,-6732.0,-4281.0,-3413.0,1
1.6450229602102825e+18,-6007.0,-4248.0,-3776.0,1
1.6450229602584328e+18,-5983.0,-4068.0,-3785.0,1
1.6450229603139428e+18,-7509.0,-3602.0,-4051.0,1
1.6450229603583734e+18,-6880.0,-3367.0,-4557.0,1
1.6450229604149023e+18,-5394.0,-3980.0,-5621.0,1
1.6450229604586836e+18,-3972.0,-3435.0,-5624.0,1
1.645022960510351e+18,-2347.0,-2107.0,-6249.0,1
1.6450229605633134e+18,-1551.0,-2046.0,-6844.0,1
1.645022960620243e+18,-2082.0,-1320.0,-7299.0,1
1.6450229606551933e+18,-4200.0,-1076.0,-7169.0,1
1.645022960716234e+18,-3708.0,-1593.0,-5570.0,1
1.645022960764347e+18,-6888.0,44.0,-5210.0,1
1.645022960815214e+18,-7241.0,638.0,-4879.0,1
1.6450229608595064e+18,-6926.0,1201.0,-5387.0,1
1.6450229609153155e+18,-5231.0,1397.0,-5788.0,1
1.6450229609589652e+18,-5601.0,1484.0,-5517.0,1
1.645022961010017e+18,-6441.0,454.0,-3676.0,1
1.6450229610646884e+18,-6165.0,-416.0,-1526.0,1
1.6450229611175447e+18,-8049.0,-316.0,571.0,1
1.645022961159233e+18,-9837.0,-577.0,1999.0,1
1.6450229612162368e+18,-8903.0,-1189.0,1041.0,1
1.645022961262103e+18,-8440.0,-310.0,-986.0,1
1.6450229613079706e+18,-9042.0,-173.0,-2385.0,1
1.6450229613636997e+18,-9886.0,246.0,-1908.0,1
1.6450229614131254e+18,-8156.0,-247.0,-774.0,1
1.645022961467921e+18,-9855.0,676.0,1132.0,1
