timestamp,a_right_backPose,b_right_backPose,c_right_backPose, PICKUP_LEFT
1.645022980136036e+18,-6648.0,2496.0,-3895.0,1
1.6450229801908626e+18,-6554.0,2396.0,-4187.0,1
1.6450229802342776e+18,-6538.0,2339.0,-4351.0,1
1.6450229802902653e+18,-6436.0,2296.0,-4329.0,1
1.645022980340216e+18,-6404.0,2250.0,-4234.0,1
1.645022980390725e+18,-6621.0,2142.0,-4168.0,1
1.645022980434641e+18,-6860.0,2197.0,-4088.0,1
1.6450229804909202e+18,-6926.0,2149.0,-4059.0,1
1.64502298053908e+18,-7189.0,2098.0,-3896.0,1
1.6450229805908457e+18,-7497.0,1987.0,-4067.0,1
1.6450229806392783e+18,-7482.0,2003.0,-4108.0,1
1.6450229806947192e+18,-7477.0,1881.0,-4032.0,1
1.6450229807407286e+18,-7077.0,1806.0,-3786.0,1
1.6450229807903237e+18,-6654.0,1849.0,-3534.0,1
1.6450229808393114e+18,-6355.0,2022.0,-3515.0,1
1.6450229808908004e+18,-6478.0,2484.0,-3374.0,1
1.6450229809391268e+18,-7274.0,3112.0,-2824.0,1
1.6450229809916716e+18,-7499.0,3237.0,-2733.0,1
1.6450229810359524e+18,-7778.0,2934.0,-2892.0,1
1.6450229810906033e+18,-8174.0,2714.0,-3371.0,1
1.645022981139017e+18,-7414.0,2925.0,-2591.0,1
1.6450229811909501e+18,-7379.0,3804.0,6.0,1
1.6450229812345178e+18,-6212.0,5195.0,819.0,1
1.6450229812840658e+18,-5622.0,5741.0,1747.0,1
1.645022981332321e+18,-5140.0,6412.0,1408.0,1
1.6450229813894013e+18,-4580.0,6391.0,369.0,1
1.6450229814391724e+18,-4320.0,6710.0,535.0,1
1.6450229814897108e+18,-4468.0,6656.0,1080.0,1
1.6450229815389012e+18,-4754.0,6826.0,1263.0,1
1.6450229815872264e+18,-5165.0,7398.0,1465.0,1
1.6450229816390428e+18,-5155.0,7025.0,1421.0,1
1.6450229816873126e+18,-5080.0,6988.0,2086.0,1
1.645022981742094e+18,-5213.0,6373.0,1883.0,1
1.6450229817902584e+18,-5235.0,6008.0,1999.0,1
1.6450229818442148e+18,-5638.0,5995.0,2223.0,1
1.6450229818893036e+18,-5705.0,5817.0,2268.0,1
1.6450229819427223e+18,-5775.0,5765.0,2255.0,1
1.6450229819885601e+18,-5523.0,5631.0,2088.0,1
1.6450229820402125e+18,-5593.0,5725.0,2321.0,1
1.6450229820898988e+18,-5632.0,5704.0,2372.0,1
1.6450229821447516e+18,-5490.0,5657.0,2189.0,1
1.6450229821895677e+18,-5593.0,5667.0,2119.0,1
1.6450229822421883e+18,-5721.0,5779.0,2315.0,1
1.6450229822882212e+18,-5708.0,5707.0,2338.0,1
1.645022982342247e+18,-5576.0,5617.0,2242.0,1
1.645022982390121e+18,-5623.0,5574.0,2372.0,1
1.6450229824423956e+18,-5755.0,5571.0,2450.0,1
1.6450229824878449e+18,-5685.0,5610.0,2413.0,1
1.6450229825376842e+18,-5525.0,5582.0,2156.0,1
1.6450229825901276e+18,-5036.0,5619.0,2151.0,1
1.6450229826419295e+18,-4940.0,5681.0,2066.0,1
1.6450229826848507e+18,-5115.0,5775.0,2451.0,1
1.6450229827429816e+18,-5636.0,6066.0,2565.0,1
1.6450229827872125e+18,-5719.0,6160.0,2614.0,1
1.6450229828427953e+18,-5431.0,6121.0,2502.0,1
1.6450229828872435e+18,-5023.0,6057.0,2275.0,1
1.645022982941072e+18,-4913.0,6155.0,2153.0,1
1.6450229829898652e+18,-4779.0,5976.0,2100.0,1
1.6450229830432067e+18,-5092.0,5924.0,1911.0,1
1.6450229830926802e+18,-5197.0,5953.0,1978.0,1
1.6450229831441715e+18,-5683.0,6029.0,2104.0,1
1.6450229831926098e+18,-5734.0,6008.0,2045.0,1
1.6450229832388244e+18,-5814.0,5904.0,2233.0,1
1.64502298329364e+18,-5996.0,5946.0,2234.0,1
1.6450229833444483e+18,-5598.0,5847.0,2168.0,1
1.645022983392532e+18,-5537.0,5865.0,2208.0,1
1.6450229834392097e+18,-5421.0,5930.0,2136.0,1
1.6450229834935112e+18,-5351.0,6063.0,2175.0,1
1.6450229835400847e+18,-5235.0,5971.0,2206.0,1
1.6450229835951846e+18,-5415.0,5796.0,2098.0,1
1.6450229836378757e+18,-5551.0,5798.0,2135.0,1
1.6450229836900334e+18,-5525.0,5952.0,2082.0,1
1.6450229837424814e+18,-5329.0,6251.0,1969.0,1
1.6450229837918036e+18,-4942.0,6566.0,1661.0,1
1.6450229838425592e+18,-4640.0,6662.0,1504.0,1
1.6450229838897787e+18,-4595.0,6722.0,1640.0,1
1.64502298394647e+18,-4848.0,6405.0,1202.0,1
1.645022983993959e+18,-5435.0,6218.0,1221.0,1
1.6450229840416922e+18,-5834.0,5393.0,1007.0,1
1.6450229840923284e+18,-6391.0,5357.0,695.0,1
1.6450229841400394e+18,-6986.0,5258.0,716.0,1
1.645022984194467e+18,-6887.0,4772.0,508.0,1
1.64502298424155e+18,-7258.0,4757.0,-97.0,1
1.6450229842933555e+18,-7155.0,4616.0,-329.0,1
1.6450229843418417e+18,-6811.0,4632.0,-109.0,1
1.6450229843933676e+18,-6659.0,5179.0,35.0,1
1.6450229844429407e+18,-6121.0,5836.0,-1203.0,1
1.6450229844916913e+18,-5281.0,5663.0,-1937.0,1
