timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.645023230952072e+18,-7044.0,-4118.0,-2367.0,1
1.6450232309992192e+18,-5632.0,-4265.0,-2342.0,1
1.6450232310510825e+18,-5942.0,-4447.0,-2201.0,1
1.64502323110055e+18,-6633.0,-4069.0,-2677.0,1
1.645023231153259e+18,-8152.0,-2828.0,-216.0,1
1.6450232312000197e+18,-7821.0,-2557.0,1038.0,1
1.6450232312521475e+18,-8435.0,-1571.0,2273.0,1
1.6450232312996982e+18,-9229.0,-977.0,2729.0,1
1.6450232313534003e+18,-9945.0,-487.0,2384.0,1
1.6450232314009633e+18,-9037.0,-449.0,1235.0,1
1.645023231458781e+18,-7834.0,-404.0,846.0,1
1.6450232315006986e+18,-4714.0,-5720.0,-2324.0,1
1.6450232315517878e+18,-5019.0,-5353.0,-4226.0,1
1.6450232316002227e+18,-4251.0,-6641.0,-5216.0,1
1.6450232316507955e+18,-2478.0,-7285.0,-5273.0,1
1.645023231704194e+18,-167.0,-6618.0,-7036.0,1
1.6450232317373312e+18,-423.0,-7131.0,-6575.0,1
1.645023231801569e+18,-1464.0,-7764.0,-3658.0,1
1.6450232318502116e+18,-2640.0,-6900.0,-2583.0,1
1.645023231905282e+18,-3967.0,-5644.0,-1851.0,1
1.6450232319514401e+18,-4150.0,-3752.0,-1532.0,1
1.6450232320066895e+18,-4128.0,-1918.0,-1340.0,1
1.6450232320507581e+18,-6270.0,-728.0,-973.0,1
1.6450232321108861e+18,-7210.0,719.0,-959.0,1
1.6450232321496602e+18,-8600.0,822.0,-888.0,1
1.645023232205168e+18,-8767.0,149.0,-133.0,1
1.6450232322523013e+18,-9179.0,-375.0,136.0,1
1.6450232323056673e+18,-10178.0,-1190.0,-582.0,1
1.6450232323551273e+18,-10287.0,-1949.0,-719.0,1
1.6450232324067515e+18,-9445.0,-2969.0,-486.0,1
1.6450232324511864e+18,-9208.0,-3016.0,-630.0,1
1.6450232325071227e+18,-8590.0,-3748.0,-1052.0,1
1.6450232325512038e+18,-9019.0,-3869.0,-1503.0,1
1.6450232326030436e+18,-9121.0,-4656.0,-1824.0,1
1.6450232326511324e+18,-7800.0,-4717.0,-1598.0,1
1.6450232327028664e+18,-6942.0,-5116.0,-1504.0,1
1.6450232327521838e+18,-6230.0,-5345.0,-1749.0,1
1.6450232328036355e+18,-4567.0,-4803.0,-2116.0,1
1.645023232851574e+18,-4499.0,-4409.0,-1483.0,1
1.6450232329073736e+18,-4293.0,-3564.0,-919.0,1
1.6450232329510525e+18,-5196.0,-2401.0,350.0,1
1.6450232330058596e+18,-7221.0,-1045.0,1240.0,1
1.6450232330533368e+18,-6488.0,-142.0,346.0,1
1.6450232331010954e+18,-7853.0,249.0,-268.0,1
1.6450232331501094e+18,-9061.0,-94.0,-1133.0,1
1.6450232332044713e+18,-9466.0,-326.0,-1237.0,1
1.6450232332560893e+18,-9991.0,-1120.0,-1048.0,1
1.64502323330331e+18,-8771.0,-1778.0,-1543.0,1
1.6450232333562504e+18,-9401.0,-1385.0,-1067.0,1
1.6450232334058514e+18,-9231.0,-2038.0,-1346.0,1
1.645023233456366e+18,-10142.0,-2608.0,-1199.0,1
1.6450232335060367e+18,-9783.0,-3405.0,-815.0,1
1.6450232335572237e+18,-8895.0,-4401.0,-944.0,1
1.6450232336056494e+18,-7881.0,-4636.0,-926.0,1
1.645023233655051e+18,-6871.0,-4579.0,-945.0,1
1.6450232337018785e+18,-5654.0,-4295.0,-1279.0,1
1.6450232337588585e+18,-5162.0,-3576.0,-587.0,1
1.645023233801637e+18,-5678.0,-3152.0,-190.0,1
1.6450232338555197e+18,-4617.0,-2108.0,-257.0,1
1.6450232339065654e+18,-6332.0,-1192.0,358.0,1
1.6450232339584847e+18,-6839.0,-392.0,827.0,1
1.6450232340061809e+18,-7805.0,805.0,584.0,1
1.6450232340552236e+18,-8745.0,521.0,227.0,1
1.6450232341067092e+18,-9346.0,747.0,240.0,1
1.645023234154246e+18,-9127.0,438.0,383.0,1
1.6450232342066058e+18,-10326.0,-283.0,473.0,1
1.6450232342538406e+18,-10461.0,-608.0,198.0,1
1.645023234306524e+18,-10421.0,-1791.0,578.0,1
1.6450232343589637e+18,-9908.0,-2688.0,478.0,1
1.6450232344063214e+18,-9766.0,-3339.0,96.0,1
1.6450232344568704e+18,-8997.0,-3735.0,272.0,1
1.6450232345061578e+18,-8018.0,-4041.0,213.0,1
1.6450232345547384e+18,-6754.0,-4213.0,-276.0,1
1.6450232346014543e+18,-4815.0,-4348.0,-337.0,1
1.6450232346546394e+18,-5016.0,-3345.0,284.0,1
1.6450232347042893e+18,-5653.0,-2450.0,747.0,1
