timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.646392956459708e+18,14849.0,-155.0,11023.0,frame_10000.jpeg
1.6463929565117468e+18,2191.0,2942.0,11904.0,frame_10001.jpeg
1.6463929565613993e+18,-10497.0,2771.0,10339.0,frame_10002.jpeg
1.6463929566091459e+18,-15312.0,8560.0,10530.0,frame_10003.jpeg
1.646392956661207e+18,-2880.0,11120.0,2629.0,frame_10004.jpeg
1.6463929567140664e+18,12228.0,8840.0,-1937.0,frame_10005.jpeg
1.6463929567623158e+18,14132.0,298.0,11439.0,frame_10006.jpeg
1.6463929568124347e+18,4454.0,3289.0,13630.0,frame_10007.jpeg
1.6463929568645617e+18,-7158.0,-3340.0,8269.0,frame_10008.jpeg
1.6463929569069903e+18,-14566.0,-250.0,13477.0,frame_10009.jpeg
1.646392956963921e+18,-4623.0,13739.0,870.0,frame_10010.jpeg
1.6463929570092116e+18,5964.0,9998.0,1178.0,frame_10011.jpeg
1.6463929570584387e+18,14057.0,-108.0,5095.0,frame_10012.jpeg
1.6463929571146335e+18,12336.0,-2888.0,7820.0,frame_10013.jpeg
1.646392957162806e+18,3909.0,-4442.0,11809.0,frame_10014.jpeg
1.646392957207787e+18,1062.0,8241.0,8043.0,frame_10015.jpeg
1.6463929572658143e+18,-2341.0,-6871.0,10078.0,frame_10016.jpeg
1.6463929573081795e+18,-7270.0,7775.0,6937.0,frame_10017.jpeg
1.6463929573602053e+18,-6076.0,9373.0,6721.0,frame_10018.jpeg
1.6463929574113562e+18,410.0,5232.0,6395.0,frame_10019.jpeg
1.6463929574632835e+18,8835.0,512.0,1607.0,frame_10020.jpeg
1.6463929575103572e+18,11420.0,-1113.0,1174.0,frame_10021.jpeg
1.6463929575586934e+18,6936.0,5533.0,8959.0,frame_10022.jpeg
1.6463929576060938e+18,2728.0,-2735.0,13030.0,frame_10023.jpeg
1.6463929576625953e+18,-3167.0,4260.0,8625.0,frame_10024.jpeg
1.646392957712573e+18,-7195.0,1897.0,10768.0,frame_10025.jpeg
1.6463929577626924e+18,-9548.0,7750.0,7547.0,frame_10026.jpeg
1.6463929578182953e+18,-3411.0,9152.0,1715.0,frame_10027.jpeg
1.6463929578597445e+18,6809.0,9119.0,76.0,frame_10028.jpeg
1.6463929579171402e+18,12914.0,3483.0,6868.0,frame_10029.jpeg
1.646392957966271e+18,9692.0,-650.0,11653.0,frame_10030.jpeg
1.6463929580142725e+18,2357.0,7115.0,11635.0,frame_10031.jpeg
1.6463929580635044e+18,-7850.0,-2656.0,11177.0,frame_10032.jpeg
1.64639295811766e+18,-14005.0,8653.0,10438.0,frame_10033.jpeg
1.6463929581628344e+18,-1382.0,10777.0,4243.0,frame_10034.jpeg
1.6463929582151636e+18,11048.0,3711.0,2345.0,frame_10035.jpeg
1.6463929582625257e+18,13661.0,1170.0,4192.0,frame_10036.jpeg
1.64639295831419e+18,8714.0,784.0,8373.0,frame_10037.jpeg
1.646392958363689e+18,1330.0,2913.0,9124.0,frame_10038.jpeg
1.6463929584125084e+18,-4355.0,5596.0,10104.0,frame_10039.jpeg
1.6463929584767073e+18,-5987.0,4532.0,9535.0,frame_10040.jpeg
1.646392958513491e+18,-4384.0,5316.0,6519.0,frame_10041.jpeg
1.6463929585630147e+18,-1040.0,9101.0,3436.0,frame_10042.jpeg
1.64639295861738e+18,8518.0,7585.0,2934.0,frame_10043.jpeg
1.646392958662982e+18,11689.0,1570.0,8228.0,frame_10044.jpeg
1.6463929587133276e+18,8625.0,728.0,9355.0,frame_10045.jpeg
1.646392958763456e+18,290.0,3336.0,9216.0,frame_10046.jpeg
1.646392958814447e+18,-6811.0,8359.0,9634.0,frame_10047.jpeg
1.6463929588544812e+18,-7468.0,6877.0,8678.0,frame_10048.jpeg
1.646392958913386e+18,-3984.0,9015.0,4370.0,frame_10049.jpeg
1.6463929589618048e+18,8700.0,9901.0,993.0,frame_10050.jpeg
1.646392959015409e+18,13558.0,186.0,7093.0,frame_10051.jpeg
1.646392959062811e+18,8483.0,-1258.0,10275.0,frame_10052.jpeg
1.64639295911503e+18,-45.0,3921.0,8708.0,frame_10053.jpeg
1.6463929591704128e+18,-4648.0,4518.0,9868.0,frame_10054.jpeg
1.646392959214063e+18,-9917.0,6997.0,9398.0,frame_10055.jpeg
1.6463929592628378e+18,-6903.0,8170.0,4850.0,frame_10056.jpeg
1.646392959314644e+18,8434.0,8431.0,2437.0,frame_10057.jpeg
1.6463929593633231e+18,14176.0,3050.0,7786.0,frame_10058.jpeg
1.6463929594155538e+18,7495.0,-3419.0,11737.0,frame_10059.jpeg
1.6463929594664271e+18,-1188.0,4219.0,7163.0,frame_10060.jpeg
1.6463929595353915e+18,-4044.0,5183.0,7232.0,frame_10061.jpeg
1.6463929595635e+18,-10011.0,9945.0,8784.0,frame_10062.jpeg
1.6463929596152607e+18,-2440.0,8253.0,4181.0,frame_10063.jpeg
1.6463929596654275e+18,11491.0,6065.0,2339.0,frame_10064.jpeg
1.6463929597143327e+18,14192.0,-525.0,8785.0,frame_10065.jpeg
1.6463929597675686e+18,6108.0,940.0,10292.0,frame_10066.jpeg
1.6463929598135703e+18,-1999.0,2882.0,9138.0,frame_10067.jpeg
1.646392959866203e+18,-9302.0,6923.0,10033.0,frame_10068.jpeg
1.6463929599124436e+18,-8642.0,7939.0,8326.0,frame_10069.jpeg
1.6463929599656335e+18,2952.0,8179.0,2641.0,frame_10070.jpeg
1.6463929600148662e+18,12406.0,4438.0,5078.0,frame_10071.jpeg
1.6463929600680184e+18,11234.0,-2566.0,9024.0,frame_10072.jpeg
1.6463929601121902e+18,4457.0,452.0,8831.0,frame_10073.jpeg
1.646392960160633e+18,-2618.0,5749.0,8435.0,frame_10074.jpeg
1.6463929602128927e+18,-6822.0,6915.0,8451.0,frame_10075.jpeg
1.6463929602660462e+18,-5199.0,7047.0,6796.0,frame_10076.jpeg
1.64639296031309e+18,133.0,8262.0,4008.0,frame_10077.jpeg
1.6463929603669015e+18,8862.0,5620.0,5538.0,frame_10078.jpeg
1.6463929604161485e+18,10447.0,-620.0,8232.0,frame_10079.jpeg
1.646392960465778e+18,6423.0,-917.0,8928.0,frame_10080.jpeg
1.6463929605109025e+18,699.0,4716.0,7721.0,frame_10081.jpeg
1.6463929605712556e+18,-3361.0,4417.0,8230.0,frame_10082.jpeg
1.6463929606130614e+18,-2617.0,5163.0,5162.0,frame_10083.jpeg
1.6463929606660111e+18,1665.0,8174.0,4924.0,frame_10084.jpeg
1.6463929607140567e+18,3043.0,8324.0,5700.0,frame_10085.jpeg
1.6463929607664596e+18,2632.0,4301.0,6508.0,frame_10086.jpeg
1.64639296079949e+18,1052.0,730.0,8049.0,frame_10087.jpeg
