timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_RIGHT
1.6450229496315318e+18,1533.0,-5332.0,-4965.0,1
1.6450229497225748e+18,1522.0,-5384.0,-4984.0,1
1.6450229497746127e+18,1502.0,-5450.0,-5014.0,1
1.645022949793126e+18,1489.0,-5518.0,-5047.0,1
1.6450229498464123e+18,1471.0,-5621.0,-5151.0,1
1.6450229499009137e+18,1467.0,-5658.0,-5217.0,1
1.6450229499191247e+18,1460.0,-5681.0,-5308.0,1
1.6450229500227914e+18,1459.0,-5685.0,-5412.0,1
1.645022950037343e+18,1461.0,-5678.0,-5514.0,1
1.6450229500964626e+18,1527.0,-5698.0,-5830.0,1
1.6450229501495457e+18,259.0,-4887.0,-5031.0,1
1.6450229501992607e+18,-3582.0,-7570.0,-4402.0,1
1.645022950249276e+18,-4557.0,-6350.0,-1863.0,1
1.6450229503014505e+18,-4439.0,-5934.0,-1894.0,1
1.6450229503505475e+18,-4454.0,-6812.0,-1880.0,1
1.6450229504025293e+18,-4283.0,-6720.0,-1599.0,1
1.6450229504506785e+18,-3998.0,-7783.0,-1854.0,1
1.645022950501027e+18,-3760.0,-8272.0,-1713.0,1
1.64502295054984e+18,-3417.0,-8107.0,-1794.0,1
1.6450229506010737e+18,-3063.0,-8124.0,-1723.0,1
1.6450229506504614e+18,-2663.0,-8299.0,-1969.0,1
1.6450229506995878e+18,-2194.0,-7468.0,-2743.0,1
1.6450229507332506e+18,-2016.0,-7554.0,-2605.0,1
1.6450229508470264e+18,-2014.0,-7543.0,-2551.0,1
1.6450229508470264e+18,-2014.0,-7543.0,-2551.0,1
1.64502295088326e+18,-2012.0,-7472.0,-2515.0,1
1.6450229962080965e+18,-3060.0,-6611.0,4248.0,1
1.6450229962580708e+18,-3720.0,-6565.0,4603.0,1
1.6450229963131697e+18,-3822.0,-6128.0,4519.0,1
1.6450229963560312e+18,-4195.0,-6499.0,4486.0,1
1.6450229964080988e+18,-4700.0,-6224.0,4575.0,1
1.6450229964643443e+18,-4854.0,-7567.0,4692.0,1
1.6450229965107694e+18,-5170.0,-6533.0,5649.0,1
1.6450229965578335e+18,-4909.0,-4554.0,6530.0,1
1.645022996610474e+18,-4831.0,-2920.0,6712.0,1
1.6450229966705974e+18,-4778.0,-3266.0,7243.0,1
1.645022996725122e+18,-4712.0,-2977.0,7342.0,1
1.6450229967792998e+18,-4585.0,-2665.0,7281.0,1
1.6450229968278638e+18,-4504.0,-2572.0,7223.0,1
1.6450229968278638e+18,-4504.0,-2572.0,7223.0,1
1.6450229968278638e+18,-4504.0,-2572.0,7223.0,1
1.6450229968278638e+18,-4504.0,-2572.0,7223.0,1
1.6450229971651786e+18,-4288.0,-2550.0,7041.0,1
1.6450229971651786e+18,-4288.0,-2550.0,7041.0,1
1.6450232294107274e+18,-1695.0,-636.0,8416.0,1
1.6450232294541117e+18,-1664.0,-692.0,8396.0,1
1.6450232294541117e+18,-1664.0,-692.0,8396.0,1
1.6450232295575073e+18,-1623.0,-734.0,8377.0,1
1.6450232296166515e+18,-1582.0,-760.0,8365.0,1
1.6450232296166515e+18,-1582.0,-760.0,8365.0,1
1.6450232297429852e+18,-1540.0,-778.0,8374.0,1
1.6450232297429852e+18,-1540.0,-778.0,8374.0,1
1.645023229820357e+18,-1484.0,-773.0,8401.0,1
1.6450232298498726e+18,-909.0,-487.0,8651.0,1
1.6450232299012104e+18,-479.0,2131.0,9263.0,1
1.645023229943112e+18,125.0,3166.0,9081.0,1
