timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, HANDOVER_RIGHT
1.6450233824415473e+18,1776.0,-7232.0,3566.0,1
1.645023382488435e+18,1728.0,-7195.0,3554.0,1
1.645023382539248e+18,1706.0,-7195.0,3536.0,1
1.645023382589149e+18,1650.0,-7196.0,3558.0,1
1.6450233826398843e+18,1672.0,-7157.0,3556.0,1
1.6450233826908278e+18,1686.0,-7221.0,3538.0,1
1.645023382738239e+18,1602.0,-7233.0,3534.0,1
1.6450233827941875e+18,1637.0,-7184.0,3545.0,1
1.6450233828394598e+18,1765.0,-7208.0,3611.0,1
1.6450233828942991e+18,1718.0,-7196.0,3630.0,1
1.6450233829429578e+18,1629.0,-7190.0,3575.0,1
1.6450233829947686e+18,1711.0,-7244.0,3602.0,1
1.6450233830428716e+18,1658.0,-7191.0,3657.0,1
1.6450233830940603e+18,1628.0,-7178.0,3621.0,1
1.6450233831443612e+18,1658.0,-7199.0,3624.0,1
1.6450233831902124e+18,1641.0,-7163.0,3633.0,1
1.645023383244429e+18,1628.0,-7177.0,3655.0,1
1.6450233832904387e+18,1644.0,-7200.0,3658.0,1
1.6450233833439404e+18,1652.0,-7171.0,3669.0,1
1.6450233833916785e+18,1629.0,-7169.0,3692.0,1
1.6450233834438828e+18,1621.0,-7182.0,3657.0,1
1.645023383487158e+18,1607.0,-7178.0,3635.0,1
1.6450233835432742e+18,1656.0,-7176.0,3670.0,1
1.6450233835928694e+18,1683.0,-7176.0,3665.0,1
1.6450233836443896e+18,1646.0,-7185.0,3660.0,1
1.64502338369243e+18,1677.0,-7177.0,3687.0,1
1.6450233837446172e+18,1701.0,-7177.0,3658.0,1
1.6450233837875704e+18,1666.0,-7181.0,3655.0,1
1.6450233838443574e+18,1697.0,-7167.0,3656.0,1
1.6450233838925635e+18,1701.0,-7177.0,3644.0,1
1.645023383941806e+18,1697.0,-7164.0,3632.0,1
1.6450233839928942e+18,1699.0,-7165.0,3661.0,1
1.6450233840440102e+18,1713.0,-7172.0,3649.0,1
1.6450233840942164e+18,1708.0,-7162.0,3672.0,1
1.645023384144688e+18,1667.0,-7158.0,3675.0,1
1.6450233841912904e+18,1724.0,-7133.0,3638.0,1
1.645023384245297e+18,1769.0,-7177.0,3686.0,1
1.6450233842876995e+18,1655.0,-7162.0,3699.0,1
1.6450233843413463e+18,1657.0,-7128.0,3590.0,1
1.6450233843916895e+18,1772.0,-7153.0,3715.0,1
1.6450233844469599e+18,1712.0,-7207.0,3651.0,1
1.6450233844927634e+18,1744.0,-7203.0,3681.0,1
1.6450233845429878e+18,1766.0,-7215.0,3746.0,1
1.6450233845964334e+18,1696.0,-7155.0,3829.0,1
1.6450233846427948e+18,1573.0,-7168.0,3757.0,1
1.645023384697797e+18,1459.0,-7164.0,3788.0,1
1.6450233847417344e+18,1370.0,-7114.0,3799.0,1
1.6450233847977024e+18,1317.0,-7157.0,3787.0,1
