timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY1_BIMANUAL
1.6461449594884344e+18,-2135.0,597.0,-9803.0,1
1.646144959534024e+18,-1866.0,-187.0,-8181.0,1
1.6461449595898084e+18,-4140.0,281.0,-11477.0,1
1.6461449596366446e+18,-3802.0,106.0,-14825.0,1
1.646144959688556e+18,-5643.0,156.0,-8448.0,1
1.646144959739439e+18,-5842.0,435.0,-4527.0,1
1.6461449597869228e+18,-5050.0,-39.0,-2713.0,1
1.6461449598396956e+18,-4958.0,-1541.0,-991.0,1
1.6461449598919844e+18,-4264.0,-1221.0,-1856.0,1
1.6461449599374257e+18,-6671.0,-684.0,-2266.0,1
1.6461449599917955e+18,-6055.0,-908.0,-3507.0,1
1.646144960038019e+18,-7871.0,-855.0,-3394.0,1
1.64614496009008e+18,-6878.0,-438.0,-4473.0,1
1.6461449601352584e+18,-6315.0,-2589.0,-5335.0,1
1.6461449601893734e+18,-5450.0,-1363.0,-5021.0,1
1.646144960238196e+18,-4112.0,-1979.0,-5411.0,1
1.6461449602839035e+18,-5636.0,-957.0,-6400.0,1
1.6461449603342876e+18,-5140.0,-1399.0,-6678.0,1
1.6461449603927944e+18,-3477.0,-1655.0,-6372.0,1
1.6461449604433554e+18,-3524.0,-1229.0,-5490.0,1
1.6461449604894377e+18,-6768.0,484.0,-2852.0,1
1.6461449605435036e+18,-8517.0,73.0,-2869.0,1
1.646144960592392e+18,-7978.0,1101.0,-1960.0,1
1.6461449606440983e+18,-9039.0,2430.0,827.0,1
1.646144960690561e+18,-8597.0,5329.0,-2759.0,1
1.6461449607391647e+18,-7948.0,3677.0,-1233.0,1
1.6461449607927442e+18,-6730.0,3165.0,-1243.0,1
1.646144960844037e+18,-6959.0,3653.0,-2214.0,1
1.6461449608912195e+18,-8239.0,3928.0,-1779.0,1
1.6461449609448105e+18,-9622.0,4739.0,-1493.0,1
1.6461449609897876e+18,-4459.0,4536.0,-1903.0,1
1.6461449610450673e+18,-4409.0,4825.0,-3932.0,1
1.6461449610897928e+18,-6074.0,4896.0,-1348.0,1
1.6461449611424271e+18,-7225.0,4282.0,397.0,1
1.646144961191842e+18,-5397.0,3121.0,2980.0,1
1.6461449612411858e+18,-6134.0,2121.0,5191.0,1
1.6461449612882852e+18,-5802.0,2514.0,4807.0,1
1.646144961342827e+18,-6183.0,5573.0,1249.0,1
1.646144961387759e+18,-9749.0,4439.0,252.0,1
1.646144961441976e+18,-8646.0,3839.0,-276.0,1
1.6461449614910646e+18,-8787.0,4754.0,2373.0,1
1.646144961539617e+18,-6043.0,3731.0,3889.0,1
1.6461449615843697e+18,-6198.0,3775.0,4586.0,1
1.646144961641958e+18,-5666.0,3769.0,4360.0,1
1.646144961688355e+18,-5791.0,3702.0,3912.0,1
1.6461449617426286e+18,-5942.0,3389.0,3632.0,1
1.6461449617867935e+18,-5603.0,3924.0,3706.0,1
1.6461449618426895e+18,-5861.0,4079.0,3938.0,1
1.6461449618881528e+18,-6152.0,4172.0,4358.0,1
1.6461449619419466e+18,-6028.0,4373.0,4726.0,1
1.6461449619878438e+18,-5931.0,4367.0,4788.0,1
1.646144962042204e+18,-5905.0,4553.0,4674.0,1
1.646144962093588e+18,-5829.0,4544.0,4437.0,1
1.6461449621394004e+18,-5547.0,4534.0,4312.0,1
1.6461449621923827e+18,-5668.0,4396.0,4253.0,1
1.646144962246874e+18,-5531.0,4584.0,4340.0,1
1.6461449622925258e+18,-5726.0,4225.0,4017.0,1
1.6461449623396116e+18,-5334.0,3966.0,3825.0,1
1.6461449623941484e+18,-5086.0,3968.0,4010.0,1
1.646144962442676e+18,-5936.0,4514.0,4481.0,1
1.6461449624938647e+18,-6294.0,4369.0,4340.0,1
1.646144962551146e+18,-5737.0,4244.0,4349.0,1
1.646144962592804e+18,-5633.0,4129.0,4198.0,1
1.6461449626430356e+18,-6356.0,3754.0,3693.0,1
1.646144962693951e+18,-5744.0,4333.0,4104.0,1
1.6461449627414671e+18,-5310.0,4857.0,4915.0,1
1.6461449627931884e+18,-5410.0,4479.0,4429.0,1
1.646144962839713e+18,-5080.0,4725.0,4935.0,1
1.6461449628897487e+18,-5196.0,4621.0,4437.0,1
1.646144962942892e+18,-4714.0,4656.0,5093.0,1
1.6461449629945649e+18,-5549.0,4098.0,3940.0,1
1.6461449630416865e+18,-5007.0,4192.0,4084.0,1
1.6461449630925215e+18,-5871.0,4771.0,3741.0,1
1.6461449631423268e+18,-7216.0,4821.0,5122.0,1
1.6461449631910203e+18,-6031.0,4732.0,5043.0,1
1.6461449632424563e+18,-5536.0,3681.0,3228.0,1
1.6461449632908347e+18,-4389.0,3361.0,3366.0,1
1.6461449633425162e+18,-6224.0,4385.0,4441.0,1
1.6461449633908708e+18,-7430.0,4624.0,4251.0,1
1.6461449634427167e+18,-7439.0,3695.0,4600.0,1
1.6461449634919086e+18,-4417.0,4279.0,4622.0,1
1.646144963541951e+18,-3845.0,5434.0,4598.0,1
1.6461449635912e+18,-4746.0,4027.0,4281.0,1
1.646144963648023e+18,-6682.0,5439.0,584.0,1
1.6461449636929887e+18,-7034.0,3831.0,819.0,1
1.6461449637514222e+18,-7276.0,7697.0,305.0,1
1.6461449637915863e+18,-5116.0,7962.0,-656.0,1
1.6461449638437704e+18,-7342.0,6477.0,-285.0,1
1.6461449638933732e+18,-5674.0,1692.0,-3975.0,1
1.646144963947362e+18,-3569.0,471.0,-6725.0,1
1.6461449639932805e+18,-2008.0,-464.0,-7582.0,1
1.6461449640437734e+18,-2021.0,40.0,-7913.0,1
1.646144964092005e+18,-1021.0,525.0,-8363.0,1
1.6461449641474982e+18,-1174.0,712.0,-9213.0,1
1.6461449641971564e+18,-853.0,107.0,-9005.0,1
1.6461449642478784e+18,-739.0,292.0,-7934.0,1
1.6461449642920225e+18,-431.0,-248.0,-8372.0,1
1.6461449643482212e+18,-2233.0,-421.0,-8388.0,1
1.646144964392723e+18,-724.0,50.0,-7786.0,1
1.6461449644446072e+18,-208.0,663.0,-8215.0,1
1.646144964493679e+18,962.0,200.0,-10439.0,1
1.646144964543819e+18,1192.0,9.0,-11453.0,1
1.646144964593503e+18,612.0,1258.0,-10783.0,1
1.646144964645076e+18,-228.0,2282.0,-8659.0,1
