timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.6461489973269724e+18,2003.0,1887.0,-7441.0,1
1.6461489973747456e+18,3208.0,2355.0,-6084.0,1
1.6461489974320704e+18,4257.0,3035.0,-9161.0,1
1.6461489974767004e+18,4126.0,3297.0,-8855.0,1
1.646148997527626e+18,2498.0,2408.0,-7564.0,1
1.6461489975811523e+18,2019.0,728.0,-4801.0,1
1.646148997632068e+18,1773.0,1829.0,-7236.0,1
1.6461489976766019e+18,1013.0,1180.0,-6274.0,1
1.646148997732349e+18,3446.0,1828.0,-6675.0,1
1.6461489977815137e+18,2570.0,3934.0,-8230.0,1
1.6461489978346596e+18,5274.0,3508.0,-8966.0,1
1.6461489978762401e+18,3490.0,4043.0,-8241.0,1
1.6461489979292567e+18,1941.0,2129.0,-7642.0,1
1.6461489979770586e+18,1872.0,765.0,-4855.0,1
1.6461489980298017e+18,2312.0,713.0,-6389.0,1
1.6461489980798554e+18,3364.0,920.0,-6483.0,1
1.6461489981281656e+18,3946.0,2022.0,-5676.0,1
1.6461489981801843e+18,738.0,3573.0,-9377.0,1
1.646148998232709e+18,2082.0,3728.0,-10445.0,1
1.6461489982778957e+18,1558.0,4326.0,-8759.0,1
1.646148998330351e+18,1290.0,1703.0,-7076.0,1
1.646148998377253e+18,-338.0,742.0,-5248.0,1
1.646148998428717e+18,951.0,1431.0,-7860.0,1
1.6461489984773458e+18,548.0,1453.0,-6659.0,1
1.6461489985296596e+18,2184.0,2439.0,-6864.0,1
1.6461489985767324e+18,4046.0,3670.0,-7553.0,1
1.646148998628515e+18,4949.0,4032.0,-9845.0,1
1.6461489986777713e+18,2765.0,4268.0,-8961.0,1
1.6461489987290153e+18,1826.0,1692.0,-6739.0,1
1.6461489987767245e+18,1327.0,548.0,-3979.0,1
1.646148998831068e+18,2398.0,1720.0,-6770.0,1
1.6461489988778657e+18,3010.0,2267.0,-6925.0,1
1.6461489989287457e+18,3566.0,1465.0,-4987.0,1
1.6461489989785935e+18,3667.0,2529.0,-9887.0,1
1.6461489990293005e+18,2618.0,2379.0,-10324.0,1
1.646148999084661e+18,1855.0,4378.0,-8081.0,1
1.6461489991291866e+18,2413.0,2356.0,-6809.0,1
1.64614899918343e+18,1443.0,1352.0,-5016.0,1
1.6461489992278769e+18,2203.0,954.0,-6614.0,1
1.6461489992821594e+18,2907.0,1661.0,-7007.0,1
1.6461489993295176e+18,4372.0,2344.0,-6121.0,1
1.6461489993823816e+18,3386.0,3966.0,-9415.0,1
1.6461489994320504e+18,2254.0,5111.0,-9158.0,1
1.646148999482415e+18,1650.0,3130.0,-6796.0,1
1.6461489995319724e+18,1118.0,1139.0,-4628.0,1
1.6461489995843323e+18,2373.0,746.0,-5725.0,1
1.64614899962716e+18,2676.0,2022.0,-7832.0,1
1.6461489996822912e+18,3754.0,2775.0,-6918.0,1
1.646148999728765e+18,2963.0,3081.0,-8393.0,1
1.64614899978324e+18,1759.0,4930.0,-9250.0,1
1.6461489998323581e+18,1566.0,4435.0,-7429.0,1
1.6461489998828854e+18,1732.0,1467.0,-6122.0,1
1.6461489999322573e+18,3158.0,-560.0,-5429.0,1
1.6461489999830428e+18,3034.0,935.0,-7863.0,1
1.6461490000323553e+18,2928.0,2738.0,-6099.0,1
1.6461490000840812e+18,258.0,4254.0,-9721.0,1
1.646149000131434e+18,2144.0,4310.0,-8810.0,1
1.6461490001828933e+18,426.0,4233.0,-7166.0,1
1.6461490002273341e+18,1186.0,1568.0,-6197.0,1
1.646149000283964e+18,1905.0,284.0,-5550.0,1
1.6461490003280486e+18,2630.0,2160.0,-8526.0,1
