timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463875069924073e+18,-1517.0,7797.0,-1992.0,frame_100.jpeg
1.6463875070452224e+18,-1455.0,7812.0,-2026.0,frame_101.jpeg
1.646387507093433e+18,-1478.0,7790.0,-2026.0,frame_102.jpeg
1.6463875071463493e+18,-1466.0,7770.0,-2010.0,frame_103.jpeg
1.6463880204857385e+18,-10171.0,-137.0,2715.0,frame_10357.jpeg
1.6463880205320067e+18,-9457.0,68.0,3954.0,frame_10358.jpeg
1.6463880205952228e+18,-6442.0,163.0,1254.0,frame_10359.jpeg
1.6463880206347277e+18,-4096.0,-370.0,975.0,frame_10360.jpeg
1.6463880206854694e+18,-5344.0,-725.0,-652.0,frame_10361.jpeg
1.6463880207396465e+18,-8255.0,-1333.0,89.0,frame_10362.jpeg
1.6463880207856824e+18,-11962.0,-940.0,1696.0,frame_10363.jpeg
1.646388020832077e+18,-10432.0,-2154.0,169.0,frame_10364.jpeg
1.6463880208908198e+18,-7814.0,-2456.0,-784.0,frame_10365.jpeg
1.6463880209336904e+18,-7692.0,-1446.0,-2016.0,frame_10366.jpeg
1.6463880209874445e+18,-6850.0,-2137.0,-722.0,frame_10367.jpeg
1.6463880210391304e+18,-4993.0,-1071.0,-504.0,frame_10368.jpeg
1.6463880210878454e+18,-4602.0,2157.0,24.0,frame_10369.jpeg
1.646388021139325e+18,-11788.0,1845.0,964.0,frame_10370.jpeg
1.6463880211878072e+18,-10651.0,222.0,593.0,frame_10371.jpeg
1.646388021235669e+18,-8744.0,-817.0,-618.0,frame_10372.jpeg
1.646388021288597e+18,-7879.0,-1371.0,-896.0,frame_10373.jpeg
1.6463880213396244e+18,-5309.0,-974.0,-937.0,frame_10374.jpeg
1.6463880213888292e+18,-10543.0,-113.0,-2349.0,frame_10375.jpeg
1.646388021437827e+18,-9424.0,-2654.0,-3756.0,frame_10376.jpeg
1.6463880214846828e+18,-10432.0,-4242.0,-2483.0,frame_10377.jpeg
1.6463880215381222e+18,-7369.0,-7870.0,-718.0,frame_10378.jpeg
1.6463880215847135e+18,-6092.0,-7604.0,-881.0,frame_10379.jpeg
