timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.6449318944726577e+18,4194.0,11710.0,5422.0,1
1.6449318945237256e+18,4889.0,10911.0,5036.0,1
1.6449318945706993e+18,4892.0,8332.0,3485.0,1
1.6449318946214351e+18,4660.0,4172.0,2556.0,1
1.6449318946778076e+18,3692.0,1565.0,1958.0,1
1.64493189472188e+18,1408.0,1391.0,1994.0,1
1.6449318947759355e+18,390.0,3930.0,3604.0,1
1.6449318948223104e+18,1416.0,4510.0,5159.0,1
1.6449318948766426e+18,2910.0,2816.0,6111.0,1
1.6449318949209646e+18,2940.0,2923.0,6354.0,1
1.6449318949757266e+18,3351.0,2456.0,6417.0,1
1.6449318950216233e+18,3810.0,3351.0,6851.0,1
1.644931895072279e+18,3825.0,3297.0,7501.0,1
1.6449318951211976e+18,4000.0,3245.0,7342.0,1
1.6449318951760996e+18,4279.0,3352.0,6879.0,1
1.6449318952217224e+18,4442.0,3745.0,6446.0,1
1.644931895272197e+18,4888.0,3763.0,5989.0,1
1.6449318953268027e+18,5059.0,3516.0,6291.0,1
1.6449318953806715e+18,4823.0,3604.0,6492.0,1
1.6449318954244572e+18,4085.0,2988.0,6637.0,1
1.644931895472809e+18,3378.0,3358.0,6815.0,1
1.644931895526108e+18,3176.0,3544.0,7316.0,1
1.6449318955770473e+18,3288.0,2298.0,7048.0,1
1.6449318956265792e+18,3632.0,2536.0,7099.0,1
1.6449318956703232e+18,3720.0,2832.0,7147.0,1
1.6449318957278912e+18,3764.0,2858.0,7235.0,1
1.644931895771333e+18,3879.0,2706.0,7202.0,1
1.6449318958282916e+18,4063.0,3280.0,6878.0,1
1.644931895877209e+18,3941.0,2841.0,6825.0,1
1.6449318959259236e+18,3781.0,3679.0,6691.0,1
1.6449318959774336e+18,3972.0,2689.0,6933.0,1
1.6449318960212529e+18,3997.0,3197.0,6829.0,1
1.644931896070159e+18,4149.0,3260.0,6692.0,1
