timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_BIMANUAL
1.6449320204327327e+18,1430.0,9803.0,-2779.0,1
1.6449320204809677e+18,906.0,10662.0,-2180.0,1
1.6449320205301947e+18,765.0,9408.0,-2003.0,1
1.6449320205801733e+18,949.0,8742.0,-1850.0,1
1.6449320206311578e+18,1233.0,8262.0,-2152.0,1
1.6449320206811246e+18,1403.0,8027.0,-2487.0,1
1.6449320207281672e+18,1518.0,7773.0,-2476.0,1
1.64493202078043e+18,1550.0,7735.0,-2451.0,1
1.6449320208279836e+18,1614.0,7745.0,-1996.0,1
1.6449320208834893e+18,1686.0,8370.0,-1858.0,1
1.644932020930659e+18,1655.0,8281.0,-1712.0,1
1.6449320209827602e+18,1711.0,8427.0,-1745.0,1
1.6449320210303933e+18,1826.0,8340.0,-1730.0,1
1.644932021080691e+18,1831.0,8378.0,-1649.0,1
1.6449320211287534e+18,1886.0,8209.0,-1670.0,1
1.6449320211838966e+18,1844.0,8261.0,-1553.0,1
1.644932021229145e+18,1896.0,8056.0,-1433.0,1
1.6449320212784712e+18,1903.0,8265.0,-1495.0,1
1.6449320213293668e+18,1922.0,8306.0,-1235.0,1
1.6449320213813468e+18,2045.0,8196.0,-1092.0,1
1.6449320214287808e+18,2108.0,8272.0,-855.0,1
1.6449320214835387e+18,2203.0,8218.0,-897.0,1
1.644932021527717e+18,2204.0,8204.0,-970.0,1
1.6449320215830884e+18,2203.0,8087.0,-1080.0,1
1.6449320216334508e+18,2139.0,8154.0,-1141.0,1
1.6449320216797294e+18,2103.0,8262.0,-1230.0,1
1.6449320217349916e+18,2095.0,8434.0,-1182.0,1
1.6449320217796933e+18,2154.0,8598.0,-1166.0,1
1.6449320218317184e+18,2204.0,8510.0,-1053.0,1
1.644932021883017e+18,2249.0,8334.0,-1050.0,1
1.644932021939376e+18,2278.0,8392.0,-1126.0,1
1.6449320219826202e+18,2255.0,8138.0,-964.0,1
1.6449320220304264e+18,2295.0,8118.0,-884.0,1
1.6449320220841364e+18,2283.0,8220.0,-861.0,1
1.644932022134513e+18,2370.0,8225.0,-790.0,1
1.6449320221802532e+18,2430.0,8284.0,-765.0,1
1.644932022234639e+18,2468.0,8389.0,-638.0,1
1.6449320222819814e+18,2536.0,8340.0,-577.0,1
1.6449320223344868e+18,2613.0,8192.0,-348.0,1
1.6449320223839862e+18,2764.0,8153.0,-372.0,1
1.6449320224340467e+18,2639.0,8078.0,-320.0,1
1.6449320224810568e+18,2653.0,8336.0,-246.0,1
1.6449320225334198e+18,2635.0,8393.0,-158.0,1
1.644932022581404e+18,2720.0,8272.0,-33.0,1
1.6449320226345324e+18,2875.0,8064.0,106.0,1
1.6449320226848824e+18,3126.0,8053.0,294.0,1
1.6449320227342833e+18,2983.0,7653.0,583.0,1
1.6449320227845965e+18,2988.0,7994.0,534.0,1
1.6449320228336072e+18,3017.0,7941.0,348.0,1
1.6449320228793075e+18,2896.0,7881.0,559.0,1
1.6449320229343685e+18,2855.0,7793.0,838.0,1
1.644932022983002e+18,2951.0,8167.0,321.0,1
1.6449320230338135e+18,2888.0,8321.0,599.0,1
1.6449320230827822e+18,2951.0,8087.0,714.0,1
1.6449320231327852e+18,2964.0,8228.0,367.0,1
1.64493202317938e+18,2922.0,8424.0,117.0,1
1.6449320232338903e+18,2867.0,8286.0,179.0,1
1.6449320232836552e+18,2926.0,8249.0,143.0,1
1.6449320233401946e+18,2920.0,7908.0,409.0,1
1.6449320233838653e+18,2947.0,8042.0,370.0,1
1.644932023432952e+18,3011.0,8010.0,508.0,1
1.6449320234887918e+18,3171.0,8043.0,950.0,1
1.6449320235333642e+18,3066.0,8309.0,886.0,1
1.644932023584133e+18,3108.0,8288.0,554.0,1
1.6449320236335442e+18,3157.0,7813.0,1012.0,1
1.6449320236871393e+18,3266.0,7942.0,1454.0,1
1.6449320237351593e+18,3310.0,7654.0,1392.0,1
1.6449320237830282e+18,3046.0,7403.0,1329.0,1
1.6449320238349814e+18,3105.0,7385.0,1522.0,1
1.6449320238893453e+18,3030.0,8051.0,1317.0,1
1.6449320239344627e+18,2964.0,7932.0,1278.0,1
1.6449320239784788e+18,3016.0,8075.0,1287.0,1
1.6449320240347054e+18,2880.0,7733.0,1304.0,1
1.6449320240888934e+18,2689.0,8166.0,1701.0,1
1.6449320241353928e+18,2657.0,8574.0,1592.0,1
1.6449320241832348e+18,2856.0,8074.0,1493.0,1
1.64493202423408e+18,2856.0,8458.0,1663.0,1
1.6449320242858304e+18,2884.0,8205.0,2089.0,1
1.644932024336244e+18,3748.0,8221.0,2293.0,1
1.6449320243838922e+18,3357.0,7821.0,2434.0,1
1.6449320244396273e+18,3350.0,6770.0,2363.0,1
1.6449320244839455e+18,3251.0,7266.0,2239.0,1
1.6449320245350725e+18,3595.0,9136.0,4140.0,1
1.6449320245840136e+18,3844.0,6317.0,5259.0,1
1.6449320246334812e+18,4061.0,5148.0,5300.0,1
1.6449320246852785e+18,3913.0,3831.0,5673.0,1
1.6449320247310008e+18,4003.0,4953.0,4440.0,1
1.6449320247852708e+18,3587.0,4754.0,4827.0,1
1.6449320248368164e+18,3583.0,4500.0,5149.0,1
1.6449320248834726e+18,3660.0,2823.0,6710.0,1
1.644932024937514e+18,4163.0,3355.0,7206.0,1
1.644932024985543e+18,4335.0,2662.0,7159.0,1
1.6449320250367437e+18,4170.0,2015.0,6500.0,1
1.6449320250842982e+18,3954.0,2893.0,5749.0,1
1.644932025140988e+18,3814.0,2936.0,4761.0,1
1.6449320251837908e+18,4040.0,3789.0,4390.0,1
1.644932025235687e+18,4157.0,5995.0,3014.0,1
1.6449320252867003e+18,3901.0,7575.0,2305.0,1
1.6449320253357555e+18,6089.0,11940.0,21.0,1
1.6449320253833508e+18,1849.0,5863.0,1326.0,1
1.644932025436505e+18,642.0,9026.0,2406.0,1
1.644932025484152e+18,-3.0,7349.0,1946.0,1
1.6449320255367729e+18,-2685.0,7334.0,216.0,1
1.644932025586416e+18,-3669.0,9486.0,-1206.0,1
1.644932025638425e+18,-2998.0,6539.0,-1296.0,1
1.6449320256840207e+18,-3782.0,5478.0,136.0,1
1.6449320257403254e+18,-3601.0,7962.0,2096.0,1
1.6449320257843205e+18,-3876.0,2993.0,6439.0,1
1.6449320258400082e+18,-4775.0,7651.0,2930.0,1
1.644932025884574e+18,-4139.0,9355.0,1342.0,1
1.6449320259383537e+18,-3965.0,7441.0,2368.0,1
1.6449320259850324e+18,-4203.0,5317.0,4002.0,1
1.6449320260342835e+18,-4068.0,3078.0,5280.0,1
1.644932026085234e+18,-4744.0,5917.0,5166.0,1
1.6449320261392384e+18,-4754.0,4746.0,5441.0,1
1.6449320261858015e+18,-4815.0,4786.0,4543.0,1
1.644932026239739e+18,-5299.0,4846.0,5914.0,1
1.6449320262858307e+18,-4725.0,5167.0,5460.0,1
