timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_RIGHT
1.6449320316923922e+18,5869.0,2624.0,5181.0,1
1.6449320317493699e+18,6249.0,4693.0,3311.0,1
1.6449320317959e+18,5848.0,5427.0,1538.0,1
1.6449320318489928e+18,4872.0,6831.0,1716.0,1
1.644932031890826e+18,4222.0,7470.0,139.0,1
1.6449320319490388e+18,4545.0,7457.0,-1578.0,1
1.6449320319930673e+18,4523.0,7580.0,-1935.0,1
1.6449320320440228e+18,4415.0,5132.0,-1979.0,1
1.6449320320948342e+18,3823.0,6381.0,-2701.0,1
1.644932032144358e+18,3659.0,4747.0,-4185.0,1
1.6449320321967117e+18,3798.0,7148.0,-5855.0,1
1.6449320322477655e+18,3885.0,5886.0,-6227.0,1
1.6449320322934446e+18,3500.0,5988.0,-6202.0,1
1.6449320323466865e+18,3052.0,6064.0,-5982.0,1
1.64493203240192e+18,3041.0,5953.0,-6080.0,1
1.6449320324458163e+18,2604.0,6226.0,-5709.0,1
1.6449320324909786e+18,2770.0,7013.0,-5965.0,1
1.6449320325462226e+18,2514.0,7728.0,-5170.0,1
1.644932032594138e+18,2895.0,7673.0,-5453.0,1
1.6449320326466253e+18,3159.0,7495.0,-4013.0,1
1.644932032692317e+18,3155.0,6866.0,-1476.0,1
1.6449320327462702e+18,2201.0,7313.0,514.0,1
1.6449320327939425e+18,1514.0,6815.0,2077.0,1
1.644932032846848e+18,43.0,5625.0,3759.0,1
1.6449320328967183e+18,-1014.0,6025.0,5146.0,1
1.644932032945565e+18,-1623.0,6758.0,5665.0,1
1.6449320329978655e+18,-1825.0,7388.0,5937.0,1
1.644932033043087e+18,-1327.0,7049.0,5697.0,1
1.6449320347519526e+18,-3047.0,5078.0,4888.0,1
1.644932034798104e+18,-3325.0,5050.0,5227.0,1
1.6449320348472463e+18,-3376.0,5434.0,5662.0,1
1.6449320348979433e+18,-3527.0,5686.0,5704.0,1
1.6449320349505981e+18,-3239.0,5576.0,5731.0,1
1.6449320349942482e+18,-3122.0,6593.0,5334.0,1
1.6449320350467743e+18,-3288.0,5488.0,5937.0,1
1.6449320350975818e+18,-2783.0,6403.0,5473.0,1
1.644932035134917e+18,-2448.0,7288.0,5892.0,1
1.6449320351937656e+18,-2548.0,7028.0,5980.0,1
1.6449320352468288e+18,-2509.0,8665.0,5689.0,1
1.6449320352982748e+18,-297.0,8192.0,5135.0,1
1.6449320353510943e+18,1549.0,4395.0,5436.0,1
1.644932035396677e+18,3008.0,1312.0,4705.0,1
1.6449320354360952e+18,3481.0,-129.0,4490.0,1
1.6449320357977695e+18,3308.0,6601.0,3811.0,1
1.6449320358473984e+18,3710.0,8015.0,1796.0,1
1.644932035897384e+18,3841.0,8772.0,551.0,1
1.6449320359505413e+18,3144.0,8600.0,-2183.0,1
1.6449320359986885e+18,2520.0,7569.0,-4536.0,1
1.644932036064189e+18,2436.0,7454.0,-4756.0,1
1.64493203609988e+18,1799.0,4603.0,-7146.0,1
1.6449320361509435e+18,1334.0,3430.0,-8532.0,1
1.6449320361995715e+18,1341.0,3270.0,-9135.0,1
1.6449320362463516e+18,1683.0,3326.0,-8808.0,1
1.6449320363030518e+18,2024.0,3403.0,-8065.0,1
1.6449320363476844e+18,2194.0,3497.0,-7557.0,1
1.6449320364034045e+18,2110.0,4161.0,-7031.0,1
1.6449320364467366e+18,2056.0,4855.0,-6289.0,1
1.6449320365035356e+18,1606.0,5369.0,-5332.0,1
1.6449320365428813e+18,1708.0,6974.0,-5382.0,1
1.64493203659975e+18,1752.0,7087.0,-5284.0,1
1.6449320366473418e+18,587.0,6892.0,-2270.0,1
1.6449320367013468e+18,-983.0,7453.0,-2036.0,1
1.6449320367474924e+18,-1748.0,7868.0,-945.0,1
1.6449320368027425e+18,-2735.0,8904.0,-787.0,1
1.6449320368537536e+18,-2666.0,8527.0,-370.0,1
1.6449320369014216e+18,-2826.0,8598.0,-115.0,1
1.6449320369438874e+18,-2351.0,8378.0,168.0,1
1.6449320370039212e+18,-2340.0,8108.0,4.0,1
1.6449320370498596e+18,-2341.0,7989.0,321.0,1
1.6449320371026652e+18,-2264.0,8156.0,326.0,1
1.6449320371501535e+18,-2379.0,7709.0,-283.0,1
1.6449320371993257e+18,-2292.0,7995.0,-327.0,1
1.6449320372479862e+18,-1774.0,7971.0,216.0,1
1.6449320373020188e+18,-1341.0,8191.0,140.0,1
1.6449320373481585e+18,-1225.0,8732.0,-223.0,1
1.644932037403157e+18,-1280.0,8950.0,-652.0,1
1.6449320374529288e+18,-1788.0,7440.0,-204.0,1
1.644932037503186e+18,-2214.0,7387.0,712.0,1
1.644932037542832e+18,-2533.0,7529.0,1283.0,1
1.6449320376019804e+18,-1773.0,7748.0,1722.0,1
1.6449320376532383e+18,-997.0,8436.0,848.0,1
1.6449320377001887e+18,-322.0,8763.0,-384.0,1
1.6449320377508892e+18,-883.0,7858.0,-1276.0,1
1.6449320378023311e+18,-1868.0,8834.0,710.0,1
1.6449320378536627e+18,-1907.0,8909.0,-2381.0,1
1.6449320379039447e+18,-2116.0,8510.0,-4876.0,1
1.644932037954396e+18,-2655.0,8311.0,-5787.0,1
1.6449320380036127e+18,-2247.0,7485.0,-4024.0,1
1.644932038053332e+18,-2429.0,6285.0,-475.0,1
1.6449320381027569e+18,-2517.0,6237.0,2093.0,1
1.644932038155702e+18,-2630.0,6232.0,2780.0,1
1.6449320381990764e+18,-1159.0,7760.0,481.0,1
1.6449320382499968e+18,-13.0,11478.0,-2103.0,1
1.6449320383017487e+18,-1341.0,7845.0,-3411.0,1
1.6449320383562632e+18,-2100.0,8293.0,-2652.0,1
1.644932038400091e+18,-1947.0,6379.0,-1778.0,1
1.644932038452332e+18,-2170.0,8022.0,-440.0,1
1.6449320385030333e+18,-2263.0,8422.0,748.0,1
1.6449320385526036e+18,-1526.0,6881.0,1968.0,1
1.6449320386002068e+18,-1104.0,8484.0,777.0,1
1.644932038650363e+18,-2020.0,7669.0,-541.0,1
1.6449320387031946e+18,-2227.0,7664.0,-313.0,1
1.6449320387559247e+18,-2193.0,9255.0,811.0,1
1.644932038800792e+18,-2538.0,7587.0,816.0,1
1.644932038852258e+18,-2510.0,5889.0,1220.0,1
1.6449320389030572e+18,-3356.0,7711.0,1682.0,1
1.644932038950712e+18,-3057.0,8825.0,2038.0,1
1.6449320390029043e+18,-2740.0,9604.0,2043.0,1
1.6449320390500598e+18,-2278.0,9758.0,1990.0,1
1.6449320391006129e+18,-1871.0,8579.0,1907.0,1
1.6449320391525627e+18,-1765.0,8041.0,1765.0,1
