timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_BIMANUAL
1.6449319384274793e+18,2408.0,934.0,5355.0,1
1.6449319384779418e+18,1649.0,696.0,5958.0,1
1.6449319385277228e+18,2240.0,1139.0,4984.0,1
1.6449319385803113e+18,3634.0,1876.0,4694.0,1
1.6449319386288008e+18,4705.0,3070.0,4157.0,1
1.6449319386740954e+18,5697.0,4221.0,3749.0,1
1.6449319387295416e+18,6583.0,5788.0,3243.0,1
1.644931938778186e+18,6389.0,6669.0,3395.0,1
1.644931938828557e+18,6087.0,6692.0,3246.0,1
1.6449319388771474e+18,5826.0,6681.0,2795.0,1
1.6449319389282179e+18,5730.0,6969.0,2661.0,1
1.6449319389786883e+18,5937.0,7287.0,2291.0,1
1.6449319390307392e+18,6065.0,7483.0,1976.0,1
1.6449319390780608e+18,6611.0,6799.0,1206.0,1
1.6449319391296666e+18,6947.0,5651.0,256.0,1
1.6449319391773906e+18,6522.0,6459.0,-418.0,1
1.6449319392295713e+18,5917.0,6366.0,-1129.0,1
1.6449319392778255e+18,5377.0,7551.0,-1702.0,1
1.644931939327274e+18,5071.0,6764.0,-1689.0,1
1.6449319393770179e+18,4809.0,6891.0,-2467.0,1
1.6449319394311619e+18,4788.0,6831.0,-2907.0,1
1.6449319394783585e+18,4753.0,6856.0,-3640.0,1
1.644931939528936e+18,4669.0,6728.0,-3372.0,1
1.644931939577228e+18,4754.0,6446.0,-3358.0,1
1.644931939628024e+18,5256.0,5862.0,-3396.0,1
1.6449319396820516e+18,5616.0,5663.0,-3830.0,1
1.6449319397296822e+18,5723.0,5467.0,-4125.0,1
1.6449319397774684e+18,5677.0,5956.0,-4329.0,1
1.6449319398287695e+18,5638.0,6715.0,-4238.0,1
1.6449319398773942e+18,5928.0,7327.0,-3618.0,1
1.6449319399287168e+18,6390.0,8499.0,-2609.0,1
1.6449319399648164e+18,6670.0,8474.0,-1790.0,1
1.6449319400287547e+18,6712.0,6532.0,533.0,1
1.6449319400777155e+18,6684.0,6400.0,1153.0,1
1.6449319401281124e+18,5853.0,5447.0,986.0,1
1.644931940178229e+18,5277.0,3471.0,2522.0,1
1.644931940228382e+18,5324.0,4021.0,2942.0,1
1.6449319402785667e+18,4959.0,3393.0,3757.0,1
1.6449319403279913e+18,4591.0,3299.0,4534.0,1
1.6449319403828915e+18,4138.0,1390.0,5230.0,1
1.644931940429722e+18,5193.0,2278.0,6204.0,1
1.6449319404847933e+18,5129.0,2464.0,6663.0,1
1.64493194053004e+18,4792.0,2811.0,7130.0,1
1.6449319405796372e+18,4412.0,2330.0,7064.0,1
1.644931940634387e+18,4207.0,2041.0,7412.0,1
1.6449319406838953e+18,5257.0,1928.0,7722.0,1
1.644931940728185e+18,5503.0,822.0,7944.0,1
1.6449319407831583e+18,5555.0,2921.0,7105.0,1
1.644931940822325e+18,5570.0,2791.0,6486.0,1
1.644931940869356e+18,5493.0,4047.0,5988.0,1
1.6449319409299945e+18,4915.0,4072.0,5494.0,1
1.6449319409841452e+18,4077.0,3126.0,5886.0,1
1.6449319410274217e+18,3714.0,3116.0,6131.0,1
1.644931941084044e+18,3827.0,4478.0,5921.0,1
1.644931941132321e+18,3885.0,3822.0,5854.0,1
1.644931941179381e+18,4095.0,3774.0,5523.0,1
1.6449319412274586e+18,4213.0,3873.0,5904.0,1
1.6449319412839708e+18,4213.0,3419.0,6353.0,1
1.6449319413276337e+18,4007.0,3492.0,6435.0,1
1.6449319413813604e+18,3468.0,4182.0,6163.0,1
1.6449319414270364e+18,3145.0,4247.0,5702.0,1
1.6449319414839962e+18,1934.0,3588.0,5307.0,1
1.6449319415279657e+18,3035.0,3434.0,5083.0,1
1.644931941581844e+18,4612.0,-149.0,7014.0,1
1.644931941628758e+18,5781.0,559.0,8549.0,1
1.644931941679546e+18,5900.0,-411.0,9291.0,1
1.6449319417275556e+18,5239.0,806.0,9540.0,1
1.6449319417852675e+18,4901.0,2196.0,11075.0,1
1.644931941828909e+18,4858.0,286.0,10663.0,1
1.644931941879614e+18,4676.0,74.0,8520.0,1
1.6449319419329764e+18,4074.0,1864.0,6072.0,1
1.6449319419837256e+18,3085.0,1912.0,5777.0,1
1.6449319420343163e+18,1962.0,1715.0,6377.0,1
1.6449319420847368e+18,1439.0,432.0,6709.0,1
1.6449319421361958e+18,1675.0,-1860.0,7592.0,1
1.644931942184004e+18,2072.0,-2057.0,7602.0,1
1.644931942234246e+18,3165.0,-2072.0,8154.0,1
1.64493194228468e+18,3071.0,-1545.0,8706.0,1
1.6449319423330276e+18,1618.0,-1478.0,8317.0,1
1.6449319423833603e+18,802.0,-989.0,7533.0,1
1.6449319424339633e+18,326.0,-1051.0,7019.0,1
1.6449319424821545e+18,543.0,-1787.0,7287.0,1
1.644931942533733e+18,860.0,-3088.0,7279.0,1
1.644931942580972e+18,860.0,-3276.0,7283.0,1
1.644931942647475e+18,878.0,-3153.0,7243.0,1
1.644931942682017e+18,1127.0,-863.0,7962.0,1
1.6449319427341194e+18,3323.0,-1424.0,6029.0,1
1.644931942779696e+18,1702.0,-3402.0,7964.0,1
1.6449319428339953e+18,-1835.0,-4148.0,9704.0,1
1.6449319428821445e+18,-2396.0,-3820.0,9000.0,1
1.6449319429333228e+18,-639.0,-2487.0,8116.0,1
1.6449319429832515e+18,-188.0,-2891.0,7648.0,1
1.6449319430320202e+18,-851.0,-1840.0,7719.0,1
1.6449319430834468e+18,-1320.0,-2494.0,6830.0,1
1.6449319431355264e+18,-1162.0,-1882.0,6950.0,1
1.6449319431845757e+18,-886.0,-2489.0,6999.0,1
1.644931943233801e+18,-986.0,234.0,7523.0,1
1.6449319432812221e+18,-692.0,-2868.0,7836.0,1
1.6449319433321551e+18,-1310.0,-3060.0,8860.0,1
1.6449319433820393e+18,-789.0,-3155.0,8018.0,1
1.6449319434306547e+18,-776.0,-3608.0,7186.0,1
1.6449319434817492e+18,-1473.0,-4019.0,6864.0,1
1.6449319435355638e+18,-2494.0,-4052.0,6844.0,1
1.6449319435876385e+18,-3193.0,-3070.0,7090.0,1
1.6449319436299832e+18,-2968.0,-2235.0,6664.0,1
1.644931943684288e+18,-1945.0,-347.0,5034.0,1
1.6449319437342403e+18,236.0,951.0,4605.0,1
1.644931943788241e+18,1121.0,-1357.0,5783.0,1
1.6449319438344003e+18,427.0,-1591.0,7358.0,1
1.644931943885491e+18,-444.0,-1589.0,8445.0,1
1.6449319439369848e+18,-2560.0,-1298.0,10650.0,1
1.6449319439848197e+18,-3051.0,-3831.0,11596.0,1
1.6449319440316803e+18,-1514.0,-2689.0,9938.0,1
1.6449319440864586e+18,-292.0,-2148.0,9229.0,1
1.6449319441342392e+18,257.0,-2578.0,9881.0,1
1.6449319441838508e+18,850.0,-1511.0,9424.0,1
1.644931944244907e+18,703.0,246.0,7875.0,1
1.644931944286387e+18,-1149.0,3893.0,4538.0,1
1.6449319443322742e+18,-2695.0,3810.0,6182.0,1
