timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, BOLT_LEFT
1.6450220396905178e+18,frame_6626.jpeg,7829.0,362.0,215.0,1
1.6450220397427082e+18,frame_6627.jpeg,8586.0,705.0,-148.0,1
1.6450220397908764e+18,frame_6628.jpeg,7748.0,314.0,-368.0,1
1.6450220398467092e+18,frame_6629.jpeg,8573.0,196.0,-704.0,1
1.6450220398917944e+18,frame_6630.jpeg,7640.0,-270.0,-1407.0,1
1.6450220399459674e+18,frame_6631.jpeg,8132.0,185.0,-1059.0,1
1.6450220399928192e+18,frame_6632.jpeg,7327.0,-339.0,-1432.0,1
1.6450220400459717e+18,frame_6633.jpeg,6494.0,-867.0,-2267.0,1
1.645022040091057e+18,frame_6634.jpeg,7488.0,-515.0,-1977.0,1
1.6450220401464028e+18,frame_6635.jpeg,7266.0,-1135.0,-2232.0,1
1.6450220401896323e+18,frame_6636.jpeg,8756.0,-495.0,-3082.0,1
1.6450220402453688e+18,frame_6637.jpeg,7610.0,-994.0,-3331.0,1
1.6450220402934413e+18,frame_6638.jpeg,7532.0,-972.0,-3414.0,1
1.6450220403447347e+18,frame_6639.jpeg,7317.0,-1339.0,-3002.0,1
1.645022040394568e+18,frame_6640.jpeg,8595.0,-841.0,-3642.0,1
1.645022040444598e+18,frame_6641.jpeg,7222.0,-1162.0,-2011.0,1
1.6450220404907756e+18,frame_6642.jpeg,7749.0,-248.0,-578.0,1
1.6450220405453486e+18,frame_6643.jpeg,8428.0,55.0,624.0,1
1.6450220405960271e+18,frame_6644.jpeg,7405.0,32.0,1268.0,1
1.645022040646855e+18,frame_6645.jpeg,8366.0,1275.0,3464.0,1
1.6450220406904205e+18,frame_6646.jpeg,7345.0,1125.0,4401.0,1
1.6450220407464658e+18,frame_6647.jpeg,6493.0,1269.0,4886.0,1
1.6450220407905464e+18,frame_6648.jpeg,5742.0,1926.0,5463.0,1
1.645022040842504e+18,frame_6649.jpeg,3880.0,2342.0,5501.0,1
1.645022040895344e+18,frame_6650.jpeg,5362.0,2358.0,5603.0,1
1.6450220409473928e+18,frame_6651.jpeg,5519.0,1948.0,5369.0,1
1.6450220409937554e+18,frame_6652.jpeg,7438.0,2034.0,5018.0,1
1.645022041042997e+18,frame_6653.jpeg,6874.0,1600.0,3876.0,1
1.645022041097318e+18,frame_6654.jpeg,7434.0,1693.0,3256.0,1
1.6450220411470825e+18,frame_6655.jpeg,7009.0,1123.0,335.0,1
1.6450220411947464e+18,frame_6656.jpeg,6307.0,-970.0,-4520.0,1
1.645022041246892e+18,frame_6657.jpeg,5572.0,-2148.0,-5875.0,1
1.6450220412953016e+18,frame_6658.jpeg,3295.0,-2859.0,-6030.0,1
1.6450220413440988e+18,frame_6659.jpeg,2704.0,-4053.0,-6755.0,1
