timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, HANDOVER_RIGHT
1.6450233824419018e+18,frame_9183.jpeg,7089.0,-3915.0,1182.0,1
1.6450233824947246e+18,frame_9184.jpeg,7052.0,-3870.0,1160.0,1
1.6450233825396506e+18,frame_9185.jpeg,7060.0,-3870.0,1165.0,1
1.6450233825927657e+18,frame_9186.jpeg,7082.0,-3819.0,1178.0,1
1.6450233826402273e+18,frame_9187.jpeg,7060.0,-3868.0,1144.0,1
1.6450233826876813e+18,frame_9188.jpeg,7100.0,-3865.0,1187.0,1
1.6450233827388467e+18,frame_9189.jpeg,7110.0,-3812.0,1147.0,1
1.645023382789554e+18,frame_9190.jpeg,7071.0,-3784.0,1168.0,1
1.6450233828400023e+18,frame_9191.jpeg,7074.0,-3933.0,1187.0,1
1.6450233828946048e+18,frame_9192.jpeg,7082.0,-3912.0,1159.0,1
1.6450233829451146e+18,frame_9193.jpeg,7063.0,-3797.0,1158.0,1
1.645023382991441e+18,frame_9194.jpeg,7113.0,-3891.0,1193.0,1
1.6450233830434286e+18,frame_9195.jpeg,7061.0,-3922.0,1136.0,1
1.6450233830897042e+18,frame_9196.jpeg,7070.0,-3883.0,1146.0,1
1.6450233831446592e+18,frame_9197.jpeg,7079.0,-3900.0,1184.0,1
1.6450233831939267e+18,frame_9198.jpeg,7050.0,-3894.0,1174.0,1
1.6450233832446953e+18,frame_9199.jpeg,7060.0,-3888.0,1144.0,1
1.6450233832942356e+18,frame_9200.jpeg,7067.0,-3901.0,1200.0,1
1.6450233833443292e+18,frame_9201.jpeg,7056.0,-3917.0,1162.0,1
1.6450233833919777e+18,frame_9202.jpeg,7048.0,-3918.0,1154.0,1
1.6450233834442609e+18,frame_9203.jpeg,7059.0,-3903.0,1181.0,1
1.6450233834911383e+18,frame_9204.jpeg,7053.0,-3881.0,1183.0,1
1.6450233835436687e+18,frame_9205.jpeg,7054.0,-3927.0,1180.0,1
1.645023383593194e+18,frame_9206.jpeg,7056.0,-3940.0,1190.0,1
1.6450233836448663e+18,frame_9207.jpeg,7061.0,-3909.0,1185.0,1
1.645023383692782e+18,frame_9208.jpeg,7037.0,-3930.0,1192.0,1
1.6450233837449805e+18,frame_9209.jpeg,7051.0,-3935.0,1200.0,1
1.6450233837925632e+18,frame_9210.jpeg,7044.0,-3917.0,1194.0,1
1.6450233838447762e+18,frame_9211.jpeg,7039.0,-3942.0,1211.0,1
1.645023383892893e+18,frame_9212.jpeg,7044.0,-3951.0,1199.0,1
1.6450233839422298e+18,frame_9213.jpeg,7046.0,-3927.0,1207.0,1
1.645023383993177e+18,frame_9214.jpeg,7034.0,-3936.0,1195.0,1
1.645023384044422e+18,frame_9215.jpeg,7027.0,-3937.0,1218.0,1
1.6450233840945198e+18,frame_9216.jpeg,7042.0,-3941.0,1213.0,1
1.6450233841450852e+18,frame_9217.jpeg,7047.0,-3922.0,1191.0,1
1.64502338419411e+18,frame_9218.jpeg,7007.0,-3947.0,1225.0,1
1.6450233842457626e+18,frame_9219.jpeg,7040.0,-3994.0,1237.0,1
1.6450233842907162e+18,frame_9220.jpeg,7033.0,-3907.0,1178.0,1
1.6450233843417938e+18,frame_9221.jpeg,7014.0,-3843.0,1228.0,1
1.645023384392071e+18,frame_9222.jpeg,6990.0,-4036.0,1218.0,1
1.6450233844474675e+18,frame_9223.jpeg,7054.0,-3941.0,1204.0,1
1.6450233844930844e+18,frame_9224.jpeg,7053.0,-3955.0,1242.0,1
1.6450233845434609e+18,frame_9225.jpeg,7062.0,-3995.0,1232.0,1
1.6450233845967145e+18,frame_9226.jpeg,7035.0,-3992.0,1164.0,1
1.6450233846432256e+18,frame_9227.jpeg,7054.0,-3899.0,1168.0,1
1.6450233846944643e+18,frame_9228.jpeg,7079.0,-3877.0,1137.0,1
1.6450233847420278e+18,frame_9229.jpeg,7074.0,-3867.0,1086.0,1
1.6450233847980677e+18,frame_9230.jpeg,7073.0,-3872.0,1097.0,1
