timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.6461471238524221e+18,-2917.0,-8439.0,2140.0,1
1.646147123905132e+18,-2751.0,-6736.0,1668.0,1
1.6461471239509437e+18,-3386.0,-7913.0,1283.0,1
1.6461471240010145e+18,-4483.0,-7423.0,2212.0,1
1.646147124053063e+18,-4891.0,-9692.0,2031.0,1
1.6461471241009196e+18,-4939.0,-8228.0,2403.0,1
1.646147124149809e+18,-4605.0,-5870.0,4590.0,1
1.6461471241995581e+18,-3501.0,-3394.0,5681.0,1
1.6461471242512394e+18,-2891.0,-4278.0,6819.0,1
1.6461471242987405e+18,-2897.0,-3827.0,5981.0,1
1.6461471243506936e+18,-3407.0,-3130.0,5285.0,1
1.6461471243985554e+18,-4902.0,-1796.0,5382.0,1
1.646147124454541e+18,-7425.0,-988.0,5446.0,1
1.6461471247503347e+18,-5487.0,157.0,6987.0,1
1.6461471247990415e+18,-5143.0,-38.0,6662.0,1
1.6461471248524644e+18,-5788.0,-587.0,7128.0,1
1.6461471248982016e+18,-8105.0,-1734.0,8140.0,1
1.6461471249515584e+18,-8981.0,-2505.0,9590.0,1
1.646147125002955e+18,-6290.0,-3250.0,8675.0,1
1.6461471250532541e+18,-2478.0,-3902.0,6454.0,1
1.6461471251030144e+18,-201.0,-2744.0,5713.0,1
1.6461471251500913e+18,678.0,-2088.0,5030.0,1
1.646147125204547e+18,525.0,-2685.0,5145.0,1
1.6461471252532014e+18,270.0,-4397.0,5749.0,1
1.6461471253033846e+18,-208.0,-4310.0,7042.0,1
1.6461471253514278e+18,33.0,-5433.0,6910.0,1
1.6461471254058627e+18,87.0,-3975.0,6978.0,1
1.6461471254516713e+18,676.0,-4313.0,6497.0,1
1.6461471255043425e+18,301.0,-4159.0,7037.0,1
1.6461471255494382e+18,345.0,-3872.0,7031.0,1
1.64614712560473e+18,141.0,-3817.0,6879.0,1
1.6461471256515046e+18,338.0,-5938.0,6332.0,1
1.6461471257024271e+18,387.0,-4709.0,5417.0,1
1.6461471257516385e+18,447.0,-5410.0,3882.0,1
1.646147125823471e+18,0.0,-5230.0,3145.0,1
1.6461471258533512e+18,50.0,-6009.0,2494.0,1
1.6461471259014945e+18,-117.0,-10529.0,939.0,1
1.646147125952569e+18,254.0,-8377.0,1440.0,1
1.6461471259992525e+18,410.0,-7011.0,1434.0,1
1.6461471260537004e+18,-143.0,-7976.0,1501.0,1
1.6461471261025661e+18,-459.0,-8963.0,1094.0,1
1.6461471261528842e+18,-179.0,-8552.0,1302.0,1
1.6461471262215406e+18,-27.0,-7863.0,2075.0,1
1.6461471262540692e+18,-768.0,-7131.0,1806.0,1
1.646147126305411e+18,-820.0,-8051.0,2172.0,1
