timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6461471371180252e+18,-282.0,-4579.0,7998.0,1
1.6461471371660004e+18,1506.0,-3491.0,6461.0,1
1.6461471372138237e+18,1984.0,-3124.0,5966.0,1
1.646147137267213e+18,3175.0,-1520.0,4809.0,1
1.6461471373163715e+18,2726.0,-1975.0,5049.0,1
1.6461471373717092e+18,2625.0,-785.0,4955.0,1
1.646147137422119e+18,2814.0,-986.0,5859.0,1
1.6461471374663368e+18,2608.0,-419.0,6167.0,1
1.6461471375151772e+18,1728.0,-660.0,6783.0,1
1.6461471375689196e+18,1325.0,-779.0,8158.0,1
1.6461471376160812e+18,1200.0,791.0,8001.0,1
1.646147137666293e+18,1080.0,-543.0,8477.0,1
1.6461471377164452e+18,656.0,901.0,8803.0,1
1.6461471377708695e+18,381.0,-727.0,9142.0,1
1.646147137821613e+18,874.0,-327.0,8717.0,1
1.6461471378724204e+18,1563.0,131.0,8016.0,1
1.6461471379211098e+18,1615.0,-563.0,8110.0,1
1.6461471379720054e+18,1740.0,43.0,7906.0,1
1.646147138020429e+18,1818.0,-1183.0,7913.0,1
1.6461471380709604e+18,2068.0,-901.0,7748.0,1
1.6461471381216061e+18,2042.0,-1616.0,7703.0,1
1.646147138171417e+18,1853.0,-1730.0,7786.0,1
1.646147138221977e+18,1858.0,-2155.0,7293.0,1
1.646147138270043e+18,1096.0,-2773.0,8294.0,1
1.6461471383213002e+18,193.0,-2667.0,8360.0,1
1.6461471383658437e+18,252.0,-3311.0,8091.0,1
1.6461471384209958e+18,3813.0,-3524.0,5368.0,1
1.6461471384645773e+18,4919.0,-2973.0,4117.0,1
1.6461471385229018e+18,4794.0,-2741.0,6306.0,1
1.646147138564622e+18,3832.0,-3319.0,7794.0,1
1.6461471386226762e+18,3425.0,-4956.0,9293.0,1
1.6461471386705137e+18,3693.0,-4180.0,7790.0,1
1.6461471387209403e+18,4131.0,-5057.0,7001.0,1
1.6461471387710354e+18,4813.0,-4595.0,7030.0,1
1.6461471388178127e+18,4295.0,-604.0,6495.0,1
1.6461471388651594e+18,1547.0,-2580.0,7311.0,1
