timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.646385915536669e+18,-5545.0,-2183.0,6330.0,frame_100.jpeg
1.6463859155807834e+18,-5708.0,-2044.0,6001.0,frame_101.jpeg
1.6463859156373699e+18,-5832.0,-1850.0,5853.0,frame_102.jpeg
1.6463859156844472e+18,-5799.0,-1899.0,5908.0,frame_103.jpeg
1.6463859157339983e+18,-5724.0,-1906.0,6052.0,frame_104.jpeg
1.646385915784192e+18,-5684.0,-1986.0,6175.0,frame_105.jpeg
1.6463859158318707e+18,-5727.0,-1952.0,6080.0,frame_106.jpeg
1.6463859158823104e+18,-5855.0,-1872.0,5875.0,frame_107.jpeg
1.646385915935049e+18,-5847.0,-1836.0,5748.0,frame_108.jpeg
1.6463859159840896e+18,-5618.0,-2013.0,6062.0,frame_109.jpeg
1.646385965145241e+18,-3489.0,-5570.0,5096.0,frame_1091.jpeg
1.6463859651820024e+18,-3451.0,-5626.0,5090.0,frame_1092.jpeg
1.6463859652360492e+18,-3450.0,-5629.0,5091.0,frame_1093.jpeg
1.6463859652949443e+18,-3443.0,-5629.0,5090.0,frame_1094.jpeg
1.6463859653699072e+18,-3443.0,-5627.0,5079.0,frame_1095.jpeg
1.6463859653699072e+18,-3443.0,-5627.0,5079.0,frame_1096.jpeg
1.6463859654336335e+18,-3439.0,-5627.0,5087.0,frame_1097.jpeg
1.6463859654982984e+18,-3448.0,-5637.0,5081.0,frame_1098.jpeg
1.646385965567674e+18,-3468.0,-5648.0,5071.0,frame_1099.jpeg
1.6463859160339246e+18,-5534.0,-2114.0,6330.0,frame_110.jpeg
1.646385965567674e+18,-3468.0,-5648.0,5071.0,frame_1100.jpeg
1.6463859657191675e+18,-3479.0,-5649.0,5075.0,frame_1101.jpeg
1.6463859657191675e+18,-3479.0,-5649.0,5075.0,frame_1102.jpeg
1.6463859657469665e+18,-3520.0,-5651.0,5063.0,frame_1103.jpeg
1.6463859657987164e+18,-3319.0,-5916.0,4984.0,frame_1104.jpeg
1.6463859658509458e+18,-3142.0,-5989.0,4970.0,frame_1105.jpeg
1.6463859658996134e+18,-3250.0,-6117.0,5087.0,frame_1106.jpeg
1.6463859659450885e+18,-3325.0,-5960.0,5143.0,frame_1107.jpeg
1.6463859660003348e+18,-3171.0,-6010.0,5101.0,frame_1108.jpeg
1.6463859660490985e+18,-3413.0,-6079.0,5181.0,frame_1109.jpeg
1.646385916084e+18,-5638.0,-2130.0,6266.0,frame_111.jpeg
1.6463859660997192e+18,-3496.0,-5925.0,5041.0,frame_1110.jpeg
1.6463859661509217e+18,-3260.0,-5886.0,4873.0,frame_1111.jpeg
1.6463859661991951e+18,-3273.0,-5889.0,4858.0,frame_1112.jpeg
1.646385966251113e+18,-3237.0,-5906.0,4948.0,frame_1113.jpeg
1.646385966298574e+18,-3342.0,-5997.0,5059.0,frame_1114.jpeg
1.6463859663490266e+18,-3419.0,-5930.0,5110.0,frame_1115.jpeg
1.6463859663990715e+18,-3290.0,-5804.0,4950.0,frame_1116.jpeg
1.646385966458388e+18,-3189.0,-5898.0,4917.0,frame_1117.jpeg
1.646385966498327e+18,-3196.0,-5958.0,4924.0,frame_1118.jpeg
1.6463859665508375e+18,-3231.0,-5978.0,4956.0,frame_1119.jpeg
1.6463859161365622e+18,-5747.0,-2025.0,5866.0,frame_112.jpeg
1.6463859665830894e+18,-3437.0,-5999.0,5087.0,frame_1120.jpeg
1.6463859666542728e+18,-3498.0,-5991.0,5110.0,frame_1121.jpeg
