timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY1_BIMANUAL
1.646144959491803e+18,-3821.0,3961.0,7428.0,1
1.6461449595343237e+18,-4407.0,4373.0,7201.0,1
1.646144959590213e+18,-6505.0,6516.0,7743.0,1
1.6461449596370138e+18,-6981.0,6822.0,8682.0,1
1.646144959688842e+18,-4493.0,6506.0,6885.0,1
1.6461449597398418e+18,-993.0,6519.0,3033.0,1
1.6461449597872422e+18,763.0,6424.0,1361.0,1
1.6461449598401055e+18,1355.0,5516.0,1754.0,1
1.6461449598923896e+18,1182.0,5457.0,1310.0,1
1.64614495993783e+18,534.0,7306.0,1667.0,1
1.6461449599921528e+18,313.0,6640.0,2206.0,1
1.646144960038373e+18,261.0,8690.0,2244.0,1
1.6461449600867702e+18,473.0,9054.0,2044.0,1
1.6461449601355768e+18,99.0,7015.0,4845.0,1
1.6461449601897554e+18,646.0,9202.0,3434.0,1
1.6461449602386163e+18,794.0,5347.0,4480.0,1
1.6461449602872356e+18,388.0,6947.0,4737.0,1
1.646144960334622e+18,181.0,6800.0,5344.0,1
1.6461449603930693e+18,-170.0,6260.0,5499.0,1
1.646144960443648e+18,-289.0,5123.0,5242.0,1
1.6461449604901253e+18,350.0,6284.0,1988.0,1
1.6461449605438556e+18,316.0,9483.0,1709.0,1
1.6461449605875758e+18,292.0,8402.0,1436.0,1
1.6461449606445238e+18,179.0,9745.0,-2025.0,1
1.6461449606910615e+18,-1999.0,7053.0,37.0,1
1.6461449607395748e+18,-1344.0,8628.0,-305.0,1
1.646144960788213e+18,-1042.0,7557.0,37.0,1
1.6461449608444252e+18,-871.0,8282.0,-159.0,1
1.6461449608915436e+18,-1436.0,9071.0,22.0,1
1.6461449609452321e+18,-1293.0,10572.0,-989.0,1
1.6461449609903084e+18,-1827.0,6685.0,-452.0,1
1.6461449610455132e+18,-3850.0,5997.0,1869.0,1
1.6461449610900833e+18,-2449.0,6953.0,-1103.0,1
1.6461449611427692e+18,-2040.0,7988.0,-1781.0,1
1.6461449611922716e+18,-1306.0,6312.0,-3331.0,1
1.6461449612415685e+18,224.0,7190.0,-5945.0,1
1.6461449612887583e+18,336.0,6969.0,-6217.0,1
1.646144961343242e+18,-1282.0,7344.0,-4717.0,1
1.6461449613883515e+18,-3153.0,10339.0,-909.0,1
1.6461449614426386e+18,-3635.0,8806.0,-1316.0,1
1.6461449614913948e+18,-2506.0,8943.0,-3752.0,1
1.6461449615430372e+18,-767.0,6946.0,-4773.0,1
1.6461449615846518e+18,-255.0,7068.0,-5559.0,1
1.6461449616423557e+18,-601.0,6212.0,-5282.0,1
1.6461449616887542e+18,-857.0,6316.0,-4821.0,1
1.6461449617430136e+18,-936.0,6501.0,-4271.0,1
1.6461449617870295e+18,-910.0,6491.0,-4765.0,1
1.646144961843151e+18,-1214.0,6644.0,-4858.0,1
1.64614496188855e+18,-1175.0,6854.0,-5198.0,1
1.646144961942277e+18,-1151.0,6826.0,-5585.0,1
1.646144961988094e+18,-1160.0,6795.0,-5560.0,1
1.6461449620425928e+18,-1395.0,6710.0,-5614.0,1
1.6461449620939784e+18,-1520.0,6540.0,-5404.0,1
1.646144962142866e+18,-1515.0,6338.0,-5454.0,1
