timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, HANDOVER_LEFT
1.6461450684774735e+18,1876.0,8393.0,-165.0,1
1.6461450685249516e+18,1904.0,8193.0,-257.0,1
1.646145068576322e+18,1838.0,8532.0,-230.0,1
1.64614506862556e+18,1944.0,8342.0,-169.0,1
1.6461450686783386e+18,1941.0,8317.0,-242.0,1
1.6461450687253233e+18,1890.0,8485.0,-198.0,1
1.64614506877308e+18,1810.0,8240.0,-341.0,1
1.646145068824848e+18,1792.0,8405.0,-305.0,1
1.6461450688784579e+18,1776.0,8347.0,-418.0,1
1.6461450689271767e+18,1843.0,8378.0,-390.0,1
1.6461450689757391e+18,1821.0,8330.0,-399.0,1
1.6461450690286633e+18,1814.0,8445.0,-340.0,1
1.6461450690803067e+18,1816.0,8337.0,-311.0,1
1.6461450691204152e+18,1808.0,8390.0,-133.0,1
1.646145069181219e+18,1667.0,8275.0,-181.0,1
1.6461450692247089e+18,1689.0,8442.0,-156.0,1
1.6461450692801943e+18,1794.0,8335.0,-222.0,1
1.6461450693250248e+18,1877.0,8393.0,-371.0,1
1.6461450693742756e+18,1869.0,8442.0,-422.0,1
1.6461450694240517e+18,1921.0,8331.0,-370.0,1
1.6461450694796577e+18,1825.0,8293.0,-360.0,1
1.6461450695254252e+18,1839.0,8228.0,-304.0,1
1.6461450695802266e+18,1984.0,8471.0,-204.0,1
1.6461450696264822e+18,2002.0,8391.0,-262.0,1
1.6461450696691843e+18,1947.0,8363.0,-404.0,1
1.6461450697243917e+18,1899.0,8277.0,-365.0,1
1.646145069780722e+18,1939.0,8376.0,-338.0,1
1.646145069830094e+18,1951.0,8473.0,-316.0,1
1.646145069877779e+18,1886.0,8490.0,-348.0,1
1.646145069929921e+18,1851.0,8429.0,-315.0,1
1.646145069975249e+18,1814.0,8266.0,-319.0,1
1.646145070030255e+18,1713.0,8247.0,-325.0,1
1.646145070076014e+18,1769.0,8276.0,-254.0,1
1.6461450701311772e+18,1814.0,8439.0,-233.0,1
1.646145070182737e+18,1804.0,8343.0,-320.0,1
1.6461450702301425e+18,1785.0,8360.0,-331.0,1
1.6461450702759386e+18,1748.0,8470.0,-318.0,1
1.6461450703309466e+18,1786.0,8333.0,-261.0,1
1.646145070379733e+18,1803.0,8428.0,-297.0,1
1.6461450704286093e+18,1771.0,8389.0,-289.0,1
1.6461450704794557e+18,1790.0,8404.0,-286.0,1
1.646145070531685e+18,1814.0,8386.0,-311.0,1
1.646145070577331e+18,1757.0,8342.0,-308.0,1
1.6461450706294318e+18,1755.0,8343.0,-292.0,1
1.6461450706775508e+18,1781.0,8354.0,-312.0,1
1.646145070728567e+18,1845.0,8359.0,-274.0,1
1.6461450707784343e+18,1850.0,8463.0,-294.0,1
1.6461450708297162e+18,1816.0,8394.0,-314.0,1
1.646145070879877e+18,1777.0,8386.0,-285.0,1
1.646145070925478e+18,1686.0,8367.0,-307.0,1
1.6461450709803602e+18,1727.0,8398.0,-307.0,1
1.6461450710282004e+18,1755.0,8374.0,-289.0,1
1.6461450710758694e+18,1794.0,8394.0,-302.0,1
1.646145071129758e+18,1829.0,8397.0,-340.0,1
1.6461450711758098e+18,1789.0,8409.0,-372.0,1
1.646145071231904e+18,1801.0,8417.0,-328.0,1
1.6461450712789693e+18,1799.0,8387.0,-344.0,1
1.6461450713318013e+18,1797.0,8356.0,-298.0,1
1.64614507137743e+18,1815.0,8389.0,-301.0,1
1.6461450714305085e+18,1837.0,8359.0,-310.0,1
1.646145071481262e+18,1791.0,8385.0,-322.0,1
1.6461450715271386e+18,1778.0,8350.0,-321.0,1
1.6461450715835676e+18,1795.0,8410.0,-285.0,1
1.646145071628356e+18,1818.0,8348.0,-300.0,1
1.6461450716826573e+18,1864.0,8493.0,-310.0,1
1.6461450717281546e+18,1779.0,8298.0,-342.0,1
1.6461450717833956e+18,1728.0,8416.0,-333.0,1
1.6461450718269573e+18,1766.0,8233.0,-352.0,1
1.6461450718856558e+18,1762.0,8445.0,-358.0,1
1.6461450719291597e+18,1739.0,8221.0,-308.0,1
1.6461450719830953e+18,1825.0,8430.0,-294.0,1
1.6461450720280067e+18,1921.0,8670.0,-340.0,1
1.6461453061738025e+18,309.0,8016.0,276.0,1
1.646145306225329e+18,400.0,8357.0,291.0,1
1.6461453062740518e+18,689.0,8222.0,162.0,1
1.6461453063281395e+18,719.0,8207.0,182.0,1
