timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.6461450870489928e+18,466.0,6979.0,5274.0,1
1.6461450870981893e+18,436.0,5783.0,5664.0,1
1.6461450871524626e+18,923.0,4680.0,5208.0,1
1.6461450871963139e+18,745.0,3369.0,6797.0,1
1.6461450872516124e+18,1007.0,5616.0,7692.0,1
1.6461450872973658e+18,1188.0,5998.0,6726.0,1
1.6461450873523512e+18,309.0,5326.0,6857.0,1
1.6461450873969759e+18,41.0,4917.0,7994.0,1
1.6461450874472259e+18,-272.0,6305.0,5636.0,1
1.6461450874940608e+18,-662.0,6277.0,6443.0,1
1.6461450875517896e+18,-867.0,2751.0,7686.0,1
1.6461450876025444e+18,-359.0,2435.0,7672.0,1
1.6461450876494497e+18,1345.0,1851.0,8641.0,1
1.646145087701357e+18,2775.0,-612.0,7368.0,1
1.6461450877498496e+18,3342.0,347.0,6925.0,1
1.6461450877965814e+18,2227.0,-2431.0,6806.0,1
1.646145087851579e+18,1053.0,-2393.0,8059.0,1
1.6461450879027546e+18,-325.0,-4014.0,8039.0,1
1.6461450879461146e+18,-564.0,-4920.0,5793.0,1
1.6461450880024673e+18,-887.0,-2217.0,6098.0,1
1.6461450880499433e+18,-946.0,-4461.0,6109.0,1
1.6461450881017144e+18,-1311.0,-1479.0,7907.0,1
1.6461450881481303e+18,-1789.0,-3808.0,7483.0,1
1.6461450881956524e+18,-1252.0,-3439.0,7031.0,1
1.6461450882473661e+18,-1326.0,-3730.0,7126.0,1
1.64614508830026e+18,-1345.0,-5022.0,6585.0,1
1.6461450883506918e+18,-3028.0,-4136.0,6953.0,1
1.6461450883989166e+18,-3701.0,-2802.0,7791.0,1
1.646145088450501e+18,-3623.0,-1628.0,8149.0,1
1.6461450885018537e+18,-3252.0,-1256.0,7599.0,1
1.6461450885487644e+18,-2308.0,1063.0,7588.0,1
1.6461450885998756e+18,-987.0,-364.0,6488.0,1
1.6461450886455342e+18,-607.0,715.0,6656.0,1
1.6461450887042954e+18,-252.0,1175.0,7412.0,1
1.646145088745915e+18,-459.0,943.0,8683.0,1
1.6461450888002322e+18,102.0,1400.0,7921.0,1
1.6461450888462313e+18,-404.0,81.0,8863.0,1
1.6461450889120384e+18,-1172.0,105.0,8709.0,1
1.6461450889494456e+18,-1632.0,193.0,7109.0,1
1.6461450890019602e+18,-2616.0,2680.0,8413.0,1
1.6461450890515172e+18,-2974.0,1712.0,8820.0,1
1.6461450890879882e+18,-2137.0,-1888.0,8586.0,1
1.6461450891525117e+18,-1130.0,-3143.0,9749.0,1
1.6461450892014659e+18,1079.0,-2219.0,6762.0,1
1.646145089239131e+18,2074.0,23.0,4835.0,1
1.646145089298539e+18,1798.0,-3264.0,5713.0,1
1.64614508936613e+18,1094.0,-3217.0,5702.0,1
1.646145089402453e+18,-775.0,-2468.0,9271.0,1
1.6461450894481595e+18,-1314.0,-3255.0,7433.0,1
1.6461450895023926e+18,-2619.0,-1520.0,7910.0,1
1.6461450895604147e+18,-2537.0,1360.0,7935.0,1
1.646145089597909e+18,-3115.0,-3101.0,7401.0,1
1.646145089654356e+18,-4003.0,2713.0,7396.0,1
1.6461450896992353e+18,-3524.0,226.0,5502.0,1
1.6461450897555602e+18,-4421.0,6821.0,4631.0,1
1.646145089802135e+18,-4204.0,5791.0,5192.0,1
1.6461450898553795e+18,-3991.0,4460.0,7333.0,1
1.6461450899022945e+18,-3073.0,4999.0,6482.0,1
1.646145089955854e+18,-1422.0,4545.0,6590.0,1
1.6461450900004772e+18,-627.0,6983.0,6188.0,1
1.6461450900553183e+18,564.0,3082.0,6951.0,1
1.646145090102994e+18,324.0,1706.0,8745.0,1
1.6461450901547602e+18,105.0,124.0,9050.0,1
1.6461450902023043e+18,23.0,-1366.0,7799.0,1
1.6461450902502892e+18,-78.0,1729.0,6708.0,1
1.6461450902996278e+18,-966.0,-565.0,7487.0,1
1.6461450903563635e+18,-685.0,-1103.0,6152.0,1
1.6461450904010726e+18,-1674.0,-1438.0,9258.0,1
1.6461450904551194e+18,-2094.0,-1451.0,9375.0,1
1.6461450905108908e+18,-2231.0,318.0,8290.0,1
1.6461450905489134e+18,-1999.0,-1461.0,8745.0,1
1.6461450906171282e+18,-1854.0,-176.0,8587.0,1
1.6461450906559729e+18,195.0,-1814.0,7966.0,1
1.6461450906999268e+18,412.0,-1942.0,7414.0,1
1.6461450907572529e+18,123.0,-3370.0,7219.0,1
1.6461450908012035e+18,-32.0,-2582.0,6532.0,1
1.6461450908503201e+18,-1415.0,-3930.0,7279.0,1
1.6461450909065994e+18,-2111.0,-2968.0,6965.0,1
1.6461450909553196e+18,-1648.0,-3314.0,6002.0,1
1.646145090988431e+18,-2005.0,-4011.0,7314.0,1
1.6461450910643988e+18,-2122.0,-3523.0,7545.0,1
1.6461450911057925e+18,-1365.0,-3887.0,6999.0,1
1.6461450911432666e+18,-1280.0,-4152.0,7013.0,1
1.6461450912136594e+18,-1292.0,-4237.0,7024.0,1
1.6461450912540273e+18,-1984.0,-3430.0,7344.0,1
1.6461450913069652e+18,-4090.0,-825.0,7714.0,1
1.6461450913557197e+18,-3032.0,-3555.0,6262.0,1
1.6461450914081316e+18,-3448.0,1861.0,5370.0,1
1.646145091454059e+18,-3785.0,-638.0,7928.0,1
1.6461450915070044e+18,-4361.0,872.0,8476.0,1
1.6461450915562194e+18,-3323.0,3139.0,8595.0,1
1.646145091606487e+18,-2248.0,2102.0,8657.0,1
1.646145091655246e+18,2.0,3714.0,6524.0,1
1.6461450917065958e+18,261.0,312.0,6599.0,1
1.6461450917547402e+18,-1737.0,920.0,9698.0,1
1.6461450918040225e+18,-1204.0,-915.0,8302.0,1
1.6461450918552527e+18,-808.0,1571.0,7040.0,1
1.6461450918986396e+18,-1407.0,-444.0,8553.0,1
1.646145091950268e+18,-1413.0,1347.0,7886.0,1
1.6461450920061755e+18,-2366.0,1858.0,7304.0,1
1.6461450920551677e+18,-2561.0,2354.0,9397.0,1
1.6461450921062285e+18,-2042.0,3585.0,8553.0,1
1.6461450921549279e+18,-2072.0,2834.0,8546.0,1
1.646145092206632e+18,-1189.0,325.0,6629.0,1
1.646145092253558e+18,-1328.0,-2668.0,7349.0,1
1.6461450923048312e+18,-1148.0,972.0,6724.0,1
1.6461450923705667e+18,-1212.0,1415.0,6906.0,1
1.646145092406021e+18,-1219.0,1031.0,7595.0,1
1.6461450924578545e+18,-3519.0,-5487.0,7096.0,1
1.646145092506063e+18,-4100.0,-3362.0,5851.0,1
1.6461450925561285e+18,-4974.0,-1306.0,5304.0,1
1.6461450925997614e+18,-4953.0,1791.0,8318.0,1
1.6461450926595018e+18,-3673.0,1393.0,6429.0,1
1.6461450927061637e+18,-2667.0,2210.0,6702.0,1
1.6461450927560602e+18,-2067.0,3466.0,8552.0,1
1.64614509280581e+18,-197.0,2369.0,9604.0,1
1.6461450928549972e+18,1077.0,-221.0,10291.0,1
1.6461450929054244e+18,891.0,-2905.0,8480.0,1
1.6461450929564905e+18,-637.0,-2374.0,8792.0,1
1.646145093004674e+18,-1435.0,-1867.0,8600.0,1
1.6461450930578255e+18,-1675.0,-1555.0,7467.0,1
1.6461450931088095e+18,-2145.0,-3106.0,6635.0,1
1.6461450931582285e+18,-4638.0,-739.0,8225.0,1
1.6461450932069734e+18,-4295.0,-1391.0,5113.0,1
1.64614509325768e+18,-4759.0,1619.0,5063.0,1
1.6461450933059837e+18,-4563.0,2786.0,6485.0,1
1.6461450933564027e+18,-2990.0,2471.0,7277.0,1
1.6461450934058307e+18,-2800.0,3021.0,7285.0,1
1.646145093461125e+18,-3337.0,5780.0,7690.0,1
1.6461450935061312e+18,-3112.0,4402.0,7255.0,1
1.6461450935594365e+18,-1915.0,3588.0,7625.0,1
1.646145093612069e+18,-892.0,2797.0,7788.0,1
1.6461450936596628e+18,589.0,-915.0,8635.0,1
1.6461450937084628e+18,731.0,-2311.0,7839.0,1
1.64614509375741e+18,582.0,-212.0,7701.0,1
1.6461450938058317e+18,433.0,-562.0,7198.0,1
1.6461450938635487e+18,-355.0,806.0,8137.0,1
1.6461450939055803e+18,-1091.0,885.0,8161.0,1
1.6461450939618437e+18,-2032.0,-2745.0,7688.0,1
