timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6455451127162588e+18,-5400.0,-6178.0,1815.0,1
1.6455451127655027e+18,-5460.0,-6233.0,1823.0,1
1.645545112817314e+18,-5490.0,-6325.0,1780.0,1
1.6455451128661276e+18,-5674.0,-6147.0,1991.0,1
1.6455451129163082e+18,-5381.0,-6291.0,1887.0,1
1.6455451129652856e+18,-5461.0,-5985.0,1756.0,1
1.6455451130166157e+18,-4855.0,-6643.0,1311.0,1
1.645545113065827e+18,-5140.0,-6271.0,1883.0,1
1.6455451131179026e+18,-5704.0,-7465.0,2322.0,1
1.6455451131669624e+18,-5606.0,-6009.0,3196.0,1
1.6455451132170138e+18,-5418.0,-5263.0,3135.0,1
1.6455451132656812e+18,-4301.0,-5149.0,3271.0,1
1.6455451133133916e+18,-4344.0,-1406.0,4296.0,1
1.6455451133577646e+18,-4201.0,-5614.0,3594.0,1
1.6455451134180065e+18,-4213.0,-9034.0,2185.0,1
1.6455451134674944e+18,-4488.0,-6835.0,2747.0,1
1.645545113521476e+18,-4915.0,-6070.0,4109.0,1
1.645545113570203e+18,-4998.0,-3239.0,4489.0,1
1.64554511362222e+18,-5160.0,-5596.0,3706.0,1
1.6455451136681556e+18,-5703.0,-6366.0,3202.0,1
1.645545113723349e+18,-6897.0,-9884.0,3528.0,1
1.6455451137669422e+18,-8241.0,-8597.0,4413.0,1
1.645545113816235e+18,-9432.0,-5827.0,5073.0,1
1.645545113869567e+18,-8359.0,-4663.0,6021.0,1
1.6455451139206477e+18,-7490.0,-2795.0,5087.0,1
1.6455451139700234e+18,-3731.0,-711.0,2796.0,1
1.6455451140240197e+18,1106.0,-668.0,-111.0,1
1.645545114067507e+18,3969.0,-5524.0,293.0,1
1.6455451140901064e+18,4367.0,-5702.0,1639.0,1
1.645545114173986e+18,4310.0,-5908.0,4206.0,1
1.6455451142024102e+18,2697.0,-4732.0,8050.0,1
1.6455451142024102e+18,2697.0,-4732.0,8050.0,1
1.6455451142024102e+18,2697.0,-4732.0,8050.0,1
1.6455451142024102e+18,2697.0,-4732.0,8050.0,1
1.6455451145500055e+18,2871.0,-5159.0,7788.0,1
1.6455451145500055e+18,2871.0,-5159.0,7788.0,1
1.6455451145500055e+18,2871.0,-5159.0,7788.0,1
1.6455451145500055e+18,2871.0,-5159.0,7788.0,1
1.6455451145500055e+18,2871.0,-5159.0,7788.0,1
1.6455451146946396e+18,3110.0,-5588.0,7478.0,1
1.6455451146946396e+18,3110.0,-5588.0,7478.0,1
1.6455451147680888e+18,3372.0,-5889.0,7114.0,1
1.6455451148184835e+18,3601.0,-5944.0,6742.0,1
1.6455451148761687e+18,3752.0,-5730.0,6375.0,1
1.6455451148761687e+18,3752.0,-5730.0,6375.0,1
1.645545115010133e+18,3807.0,-5298.0,6024.0,1
1.645545115010133e+18,3807.0,-5298.0,6024.0,1
1.6455451150861445e+18,3781.0,-4770.0,5703.0,1
1.6455451150861445e+18,3781.0,-4770.0,5703.0,1
1.6455451151594872e+18,3681.0,-4288.0,5414.0,1
1.645545115208088e+18,3520.0,-3929.0,5174.0,1
1.645545115208088e+18,3520.0,-3929.0,5174.0,1
1.64554511536857e+18,3339.0,-3736.0,4940.0,1
1.64554511536857e+18,3339.0,-3736.0,4940.0,1
1.6455451154256504e+18,3122.0,-3716.0,4736.0,1
1.645545115485151e+18,2899.0,-3899.0,4503.0,1
1.6455451155256458e+18,2671.0,-4276.0,4244.0,1
1.6455451155256458e+18,2671.0,-4276.0,4244.0,1
