timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6450217487284137e+18,-3897.0,5919.0,5376.0,1
1.6450217487755223e+18,-3701.0,6274.0,5110.0,1
1.6450217488286886e+18,-3310.0,6079.0,5030.0,1
1.6450217488838093e+18,-2699.0,6268.0,4706.0,1
1.645021748927709e+18,-2214.0,6436.0,4519.0,1
1.6450217489834253e+18,-1558.0,6882.0,4480.0,1
1.6450217490305068e+18,-946.0,7272.0,4728.0,1
1.6450217490827377e+18,-326.0,7862.0,4891.0,1
1.6450217491306678e+18,331.0,7669.0,4814.0,1
1.645021749173866e+18,894.0,7273.0,4905.0,1
1.6450217492286344e+18,1309.0,6595.0,4764.0,1
1.6450217499318612e+18,3044.0,1301.0,7517.0,1
1.645021749980853e+18,2867.0,790.0,7838.0,1
1.6450217500275535e+18,3164.0,1033.0,7370.0,1
1.6450217500810616e+18,3284.0,2030.0,7346.0,1
1.645021750130101e+18,3239.0,2922.0,6859.0,1
1.6450217501833797e+18,2863.0,5147.0,6572.0,1
1.6450217502321085e+18,2962.0,4741.0,6085.0,1
1.6450217502821524e+18,3143.0,6208.0,5207.0,1
1.6450217503280796e+18,2810.0,4539.0,6287.0,1
1.6450217503834785e+18,2678.0,5679.0,6905.0,1
1.645021750428519e+18,2702.0,4748.0,6736.0,1
1.6450217504822141e+18,2803.0,5204.0,6549.0,1
1.6450217505332232e+18,2902.0,4424.0,6065.0,1
1.6450217505810033e+18,2872.0,3818.0,5993.0,1
1.6450217506343754e+18,2275.0,3165.0,6073.0,1
1.6450217506805727e+18,2158.0,3761.0,4643.0,1
1.645021750724554e+18,2601.0,4824.0,2833.0,1
1.6450217507808673e+18,2489.0,4941.0,983.0,1
1.6450217508310031e+18,273.0,8301.0,-204.0,1
1.6450217508863188e+18,-1314.0,8464.0,3668.0,1
1.645021750937227e+18,-2205.0,5507.0,5852.0,1
1.6450217509805878e+18,-3983.0,2995.0,8008.0,1
1.6450217510360369e+18,-5906.0,3264.0,7258.0,1
1.645021751079496e+18,-7047.0,2956.0,7579.0,1
1.645021751135725e+18,-7156.0,2374.0,8207.0,1
1.6450217511801818e+18,-6101.0,2744.0,7136.0,1
1.645021751234309e+18,-5471.0,2537.0,6243.0,1
1.6450217512811041e+18,-5028.0,2567.0,5684.0,1
1.645021751334791e+18,-5159.0,2248.0,6016.0,1
