timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, SCREW_RIGHT
1.6450219333645033e+18,2975.0,7998.0,2720.0,1
1.6450219334089894e+18,2967.0,7657.0,2690.0,1
1.6450219334622802e+18,2874.0,7575.0,2542.0,1
1.6450219335073513e+18,3055.0,7893.0,2532.0,1
1.6450219335620544e+18,3101.0,7884.0,2588.0,1
1.645021933606907e+18,3086.0,7668.0,2663.0,1
1.645021933658962e+18,3040.0,7762.0,2703.0,1
1.645021933708154e+18,3052.0,7320.0,2985.0,1
1.6450219337627794e+18,2945.0,7434.0,3102.0,1
1.645021933812012e+18,3039.0,7341.0,3165.0,1
1.6450219338627374e+18,3012.0,7354.0,3314.0,1
1.645021933912566e+18,3108.0,7322.0,3324.0,1
1.6450219339594476e+18,3152.0,7487.0,3542.0,1
1.6450219340182659e+18,2923.0,6684.0,3592.0,1
1.645021934061568e+18,3203.0,7064.0,4055.0,1
1.6450219341129715e+18,3123.0,7012.0,4056.0,1
1.6450219341585155e+18,3298.0,6706.0,3774.0,1
1.6450219342137638e+18,3075.0,6286.0,4486.0,1
1.645021934258288e+18,3203.0,6020.0,4577.0,1
1.645021934312976e+18,3337.0,6889.0,4470.0,1
1.6450219343593618e+18,3271.0,6326.0,4249.0,1
1.6450219344133071e+18,3168.0,5963.0,4403.0,1
1.6450219344627346e+18,2984.0,7107.0,3870.0,1
1.6450219345136033e+18,3105.0,7342.0,3845.0,1
1.645021934562768e+18,3263.0,6406.0,3436.0,1
1.645021934611955e+18,3068.0,7127.0,2894.0,1
1.6450219346567503e+18,3016.0,7570.0,2766.0,1
1.6450219347132076e+18,2824.0,8030.0,2255.0,1
1.6450219347603167e+18,2897.0,8022.0,1925.0,1
1.6450219348118618e+18,2844.0,7945.0,1747.0,1
1.6450219348646643e+18,2676.0,7687.0,2220.0,1
1.645021934913231e+18,2537.0,7433.0,2730.0,1
1.6450219349617528e+18,2644.0,7613.0,2647.0,1
1.6450219350121592e+18,2733.0,7688.0,2162.0,1
1.6450219350642235e+18,2965.0,8093.0,1815.0,1
1.6450219351080955e+18,3088.0,8331.0,1476.0,1
1.645021935159437e+18,3296.0,7989.0,1366.0,1
1.645021935213469e+18,3555.0,8077.0,1150.0,1
1.645021935257854e+18,3472.0,8031.0,1501.0,1
1.6450219353116695e+18,3174.0,8543.0,2077.0,1
1.645021935362567e+18,2994.0,7359.0,2815.0,1
1.6450219354145147e+18,3136.0,7702.0,2975.0,1
1.6450219354586135e+18,3148.0,7387.0,3531.0,1
1.6450219355130975e+18,2676.0,7041.0,3332.0,1
1.6450219355614646e+18,2004.0,7229.0,3790.0,1
1.6450219356132221e+18,2149.0,6249.0,3881.0,1
1.6450219356673288e+18,2938.0,5941.0,4995.0,1
1.645021935712798e+18,3717.0,7241.0,4552.0,1
1.645021935763811e+18,3925.0,6564.0,4541.0,1
1.6450219358126574e+18,3205.0,6415.0,5515.0,1
1.6450219358643366e+18,2542.0,6476.0,5251.0,1
1.6450219359134267e+18,2800.0,4595.0,6086.0,1
1.645021935964306e+18,2849.0,6614.0,5283.0,1
1.6450219360149335e+18,2815.0,5487.0,4929.0,1
1.6450219360621919e+18,2952.0,5327.0,5262.0,1
1.6450219361139976e+18,3118.0,5100.0,5047.0,1
1.6450219361634516e+18,2586.0,6078.0,4545.0,1
1.6450219362141862e+18,2549.0,6988.0,2988.0,1
1.645021936263709e+18,2593.0,9199.0,1097.0,1
1.6450219363136924e+18,2212.0,9821.0,358.0,1
1.645021936362373e+18,1771.0,11322.0,-411.0,1
1.6450219364131878e+18,2482.0,6850.0,978.0,1
1.6450219364625308e+18,3053.0,4259.0,4481.0,1
1.6450219365139617e+18,3529.0,5025.0,5358.0,1
1.6450219365634179e+18,3494.0,5237.0,6141.0,1
1.6450219366139423e+18,3057.0,4394.0,6547.0,1
1.6450219366630446e+18,2846.0,4141.0,6287.0,1
1.6450219367109064e+18,2803.0,4401.0,6454.0,1
1.6450219367624466e+18,3044.0,5188.0,5253.0,1
1.6450219368140726e+18,2890.0,6630.0,4589.0,1
1.6450219368629834e+18,2691.0,7603.0,4039.0,1
1.6450219369142052e+18,2558.0,8680.0,2646.0,1
1.645021936963238e+18,2276.0,7625.0,2157.0,1
1.6450219370151306e+18,2089.0,7919.0,1156.0,1
1.64502193706521e+18,1705.0,8877.0,1402.0,1
1.6450219371196984e+18,1943.0,7889.0,2038.0,1
1.6450219371641329e+18,2245.0,7488.0,3153.0,1
1.6450219372145224e+18,3125.0,6909.0,3988.0,1
1.645021937264071e+18,3471.0,6444.0,5052.0,1
1.6450219373176673e+18,3799.0,6223.0,5012.0,1
1.645021937363835e+18,3249.0,4610.0,5785.0,1
1.6450219374152763e+18,2846.0,5144.0,5526.0,1
1.6450219374662152e+18,2599.0,6216.0,4858.0,1
1.6450219375164298e+18,2386.0,6649.0,4274.0,1
1.645021937563904e+18,2200.0,7554.0,2407.0,1
1.6450219376148739e+18,2042.0,8696.0,100.0,1
1.6450219376631145e+18,1343.0,10715.0,-825.0,1
1.645021937718066e+18,1354.0,9848.0,-26.0,1
1.6450219377644956e+18,2130.0,5649.0,2318.0,1
1.6450219378166257e+18,2964.0,6075.0,4468.0,1
1.6450219378643254e+18,3275.0,5169.0,5866.0,1
1.6450219379167365e+18,3555.0,4908.0,6319.0,1
1.645021937964689e+18,3087.0,4876.0,6320.0,1
1.6450219380146783e+18,2159.0,4342.0,6348.0,1
1.6450219380638784e+18,2258.0,4040.0,6174.0,1
1.6450219381171738e+18,2226.0,6900.0,4428.0,1
1.6450219381645458e+18,2422.0,7596.0,3347.0,1
1.6450219382167101e+18,2180.0,8412.0,2439.0,1
1.6450219382661082e+18,1780.0,8213.0,1876.0,1
1.645021938318977e+18,1159.0,8782.0,1048.0,1
1.6450219383652454e+18,851.0,7669.0,2109.0,1
1.6450219384159255e+18,-142.0,6613.0,2940.0,1
1.645021938466809e+18,-153.0,6621.0,3077.0,1
1.6450219385164813e+18,-170.0,7707.0,2921.0,1
1.6450219486800983e+18,3408.0,5371.0,3906.0,1
1.6450219487304348e+18,3140.0,5437.0,5483.0,1
1.6450219487822843e+18,3049.0,5376.0,5457.0,1
1.6450219488251523e+18,3202.0,5982.0,5051.0,1
1.645021948879575e+18,3448.0,5764.0,5181.0,1
1.6450219489260152e+18,3236.0,4833.0,5904.0,1
1.6450219489816832e+18,3076.0,6250.0,5655.0,1
1.6450219490302572e+18,2518.0,5623.0,5736.0,1
1.6450219490819116e+18,2378.0,4048.0,6115.0,1
1.645021949126554e+18,2993.0,4364.0,5723.0,1
1.6450219491801426e+18,4299.0,7375.0,5015.0,1
1.645021949228779e+18,4610.0,6720.0,4655.0,1
1.6450219492815552e+18,3620.0,5967.0,6370.0,1
1.6450219493262177e+18,3367.0,5669.0,5745.0,1
1.6450219493807322e+18,3202.0,4700.0,6400.0,1
1.645021949430267e+18,2734.0,4861.0,6196.0,1
1.645021949478755e+18,2365.0,4297.0,6548.0,1
1.6450219495290335e+18,2020.0,3841.0,5440.0,1
1.6450219495814687e+18,3243.0,4553.0,5209.0,1
1.6450219496305062e+18,4333.0,6254.0,5157.0,1
1.6450219496785364e+18,4406.0,4800.0,6844.0,1
1.645021949727069e+18,4069.0,7040.0,5942.0,1
1.6450219497811092e+18,2894.0,5292.0,6373.0,1
1.645021949827092e+18,2282.0,5687.0,6540.0,1
1.64502194987835e+18,1993.0,3732.0,5696.0,1
1.6450219499291587e+18,1858.0,3660.0,5923.0,1
1.645021949983181e+18,3717.0,5120.0,4983.0,1
1.6450219500320515e+18,4537.0,6299.0,4767.0,1
1.6450219500812577e+18,4202.0,7394.0,6905.0,1
1.6450219501333944e+18,3305.0,5826.0,5997.0,1
1.6450219501825917e+18,3240.0,5034.0,6382.0,1
1.6450219502363197e+18,2279.0,4737.0,6921.0,1
1.6450219502815498e+18,1859.0,4525.0,5758.0,1
1.6450219503343306e+18,2065.0,3290.0,5564.0,1
1.6450219503792788e+18,3755.0,6380.0,4456.0,1
1.6450219504321367e+18,4656.0,7252.0,4583.0,1
1.6450219504817728e+18,3980.0,7480.0,6974.0,1
1.645021950534333e+18,3673.0,4946.0,5887.0,1
1.6450219505795067e+18,2523.0,4678.0,6426.0,1
1.645021950635419e+18,3065.0,4608.0,6151.0,1
1.6450219506811315e+18,2667.0,3597.0,6323.0,1
1.6450219507316408e+18,3001.0,5411.0,6071.0,1
1.6450219507809134e+18,3513.0,5888.0,3343.0,1
1.6450219508344297e+18,2919.0,7483.0,2099.0,1
1.6450219508815268e+18,1742.0,9389.0,2293.0,1
1.6450219509333875e+18,1582.0,9894.0,1657.0,1
1.64502195097855e+18,2231.0,5155.0,2168.0,1
1.6450219510316027e+18,3604.0,5067.0,2692.0,1
1.6450219510792527e+18,4168.0,7664.0,3639.0,1
1.6450219511293484e+18,4722.0,8143.0,3297.0,1
1.6450219562894892e+18,-2732.0,4212.0,7310.0,1
1.6450219563367887e+18,-2013.0,4988.0,7099.0,1
1.6450219563868623e+18,-1317.0,5678.0,5619.0,1
1.6450219564446543e+18,-1587.0,5232.0,6028.0,1
1.6450219564891935e+18,-1466.0,4871.0,6041.0,1
1.6450219565426578e+18,-3063.0,6704.0,5594.0,1
