timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463911783074074e+18,-2285.0,3509.0,-6719.0,frame_11377.jpeg
1.646391178358289e+18,-2455.0,3419.0,-6778.0,frame_11378.jpeg
1.6463911784040666e+18,-2725.0,3293.0,-7040.0,frame_11379.jpeg
1.6463906657132224e+18,-8087.0,-6056.0,-1231.0,frame_1138.jpeg
1.6463911784593336e+18,-2994.0,3585.0,-7654.0,frame_11380.jpeg
1.6463911785055094e+18,-2977.0,3805.0,-7681.0,frame_11381.jpeg
1.646391178558414e+18,-2709.0,3403.0,-7086.0,frame_11382.jpeg
1.6463911786040259e+18,-2783.0,3138.0,-6627.0,frame_11383.jpeg
1.6463911786592975e+18,-3042.0,2967.0,-6586.0,frame_11384.jpeg
1.6463911787045076e+18,-3288.0,2969.0,-6611.0,frame_11385.jpeg
1.646391178758157e+18,-3517.0,2879.0,-6792.0,frame_11386.jpeg
1.6463911788136922e+18,-3541.0,2898.0,-6812.0,frame_11387.jpeg
1.6463911788567718e+18,-3563.0,2929.0,-6831.0,frame_11388.jpeg
1.646391178906376e+18,-3696.0,3376.0,-7304.0,frame_11389.jpeg
1.6463906657622874e+18,-5369.0,-6105.0,-2402.0,frame_1139.jpeg
1.6463911789549742e+18,-3695.0,2849.0,-6663.0,frame_11390.jpeg
1.6463911790052068e+18,-3856.0,2873.0,-6682.0,frame_11391.jpeg
1.6463911790604554e+18,-4015.0,2601.0,-6463.0,frame_11392.jpeg
1.6463911791058936e+18,-4059.0,2321.0,-6398.0,frame_11393.jpeg
1.6463911791594813e+18,-4466.0,2157.0,-6413.0,frame_11394.jpeg
1.6463911792069645e+18,-4579.0,1923.0,-6361.0,frame_11395.jpeg
1.6463911792618214e+18,-4721.0,1720.0,-6378.0,frame_11396.jpeg
1.6463906658143276e+18,-5484.0,-4104.0,-3890.0,frame_1140.jpeg
1.6463906658618698e+18,-2364.0,-3806.0,-4282.0,frame_1141.jpeg
1.6463906659144712e+18,-2018.0,-2105.0,-5175.0,frame_1142.jpeg
1.6463906659630684e+18,-993.0,-1216.0,-6563.0,frame_1143.jpeg
1.6463906660120023e+18,267.0,214.0,-7164.0,frame_1144.jpeg
1.6463906660638607e+18,1155.0,899.0,-8036.0,frame_1145.jpeg
1.6463906661169636e+18,1531.0,1188.0,-8366.0,frame_1146.jpeg
1.6463906661630615e+18,2084.0,440.0,-7498.0,frame_1147.jpeg
