timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.646390663810794e+18,3350.0,-6768.0,1866.0,frame_1100.jpeg
1.6463906638548252e+18,3803.0,-6892.0,3169.0,frame_1101.jpeg
1.6463906639109448e+18,4079.0,-7235.0,3604.0,frame_1102.jpeg
1.646390663963184e+18,4544.0,-6604.0,4119.0,frame_1103.jpeg
1.6463906640102894e+18,5061.0,-6422.0,5821.0,frame_1104.jpeg
1.6463906640663798e+18,5954.0,-5454.0,6318.0,frame_1105.jpeg
1.646390664112626e+18,6478.0,-4176.0,6194.0,frame_1106.jpeg
1.6463906641606185e+18,6234.0,-2437.0,4791.0,frame_1107.jpeg
1.646390664210544e+18,4884.0,-2470.0,5788.0,frame_1108.jpeg
1.6463906642650918e+18,4144.0,-2074.0,5837.0,frame_1109.jpeg
1.6463906643111232e+18,3989.0,-732.0,5029.0,frame_1110.jpeg
1.646390664364391e+18,3684.0,-597.0,5615.0,frame_1111.jpeg
1.6463906644104445e+18,3884.0,-936.0,6010.0,frame_1112.jpeg
1.6463906644658578e+18,4322.0,92.0,6365.0,frame_1113.jpeg
1.6463906645105718e+18,3668.0,-704.0,7527.0,frame_1114.jpeg
1.6463906645544678e+18,3602.0,-660.0,7634.0,frame_1115.jpeg
1.6463906645544678e+18,3602.0,-660.0,7634.0,frame_1116.jpeg
1.646390664681888e+18,3579.0,-583.0,7683.0,frame_1117.jpeg
1.6463906647399813e+18,3599.0,-475.0,7707.0,frame_1118.jpeg
1.6463906647779177e+18,3654.0,-317.0,7710.0,frame_1119.jpeg
1.6463906647779177e+18,3654.0,-317.0,7710.0,frame_1120.jpeg
1.6463906648502945e+18,3728.0,-63.0,7692.0,frame_1121.jpeg
1.646390664889165e+18,3791.0,274.0,7664.0,frame_1122.jpeg
1.646390664977643e+18,3835.0,620.0,7634.0,frame_1123.jpeg
1.6463906650166141e+18,3886.0,970.0,7537.0,frame_1124.jpeg
1.6463906650627092e+18,4009.0,-1823.0,7436.0,frame_1125.jpeg
1.64639066511026e+18,4028.0,-2290.0,7341.0,frame_1126.jpeg
1.6463906651636316e+18,4125.0,-1894.0,7390.0,frame_1127.jpeg
1.6463906652099843e+18,4169.0,-2450.0,6632.0,frame_1128.jpeg
1.646390665263548e+18,3461.0,-2294.0,6460.0,frame_1129.jpeg
1.6463906653105892e+18,3288.0,-2386.0,7057.0,frame_1130.jpeg
1.6463906653636485e+18,3665.0,-2084.0,6995.0,frame_1131.jpeg
1.6463906654142461e+18,3858.0,-2115.0,7252.0,frame_1132.jpeg
1.6463906654634586e+18,3800.0,-2583.0,7478.0,frame_1133.jpeg
1.6463911762562875e+18,1729.0,-8261.0,2455.0,frame_11336.jpeg
1.6463911763013742e+18,2100.0,-7687.0,2493.0,frame_11337.jpeg
1.6463911763507156e+18,2267.0,-7264.0,2592.0,frame_11338.jpeg
1.6463911764027274e+18,2335.0,-7037.0,2733.0,frame_11339.jpeg
1.6463906655110093e+18,3858.0,-3464.0,7278.0,frame_1134.jpeg
1.6463911764618883e+18,2297.0,-6598.0,2869.0,frame_11340.jpeg
1.6463911765020826e+18,2389.0,-6580.0,3205.0,frame_11341.jpeg
1.6463911765505446e+18,2453.0,-6297.0,3346.0,frame_11342.jpeg
1.6463911766082867e+18,2377.0,-6371.0,3441.0,frame_11343.jpeg
1.646391176656685e+18,2164.0,-5865.0,3260.0,frame_11344.jpeg
1.646391176708919e+18,1963.0,-6323.0,3625.0,frame_11345.jpeg
1.646391176752887e+18,1053.0,-6016.0,3878.0,frame_11346.jpeg
1.6463911768040947e+18,1400.0,-6193.0,3988.0,frame_11347.jpeg
1.646391176852468e+18,2071.0,-6403.0,3912.0,frame_11348.jpeg
1.6463911769063314e+18,2697.0,-6319.0,4257.0,frame_11349.jpeg
1.6463906655636915e+18,2836.0,-2692.0,7866.0,frame_1135.jpeg
1.646391176952975e+18,2931.0,-6194.0,4233.0,frame_11350.jpeg
1.646391177005012e+18,2928.0,-6455.0,4495.0,frame_11351.jpeg
1.646391177056214e+18,2777.0,-6678.0,4476.0,frame_11352.jpeg
1.6463911771032998e+18,2789.0,-6554.0,4527.0,frame_11353.jpeg
1.6463911771552883e+18,2823.0,-6371.0,4442.0,frame_11354.jpeg
1.6463911772021647e+18,2851.0,-6393.0,4478.0,frame_11355.jpeg
1.6463911772529354e+18,2997.0,-6232.0,4504.0,frame_11356.jpeg
1.6463911773095532e+18,3014.0,-6226.0,4450.0,frame_11357.jpeg
