timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463938747172147e+18,1481.0,7890.0,-1324.0,frame_100.jpeg
1.6463938747649556e+18,1424.0,7879.0,-1413.0,frame_101.jpeg
1.6463938748177444e+18,1414.0,7884.0,-1430.0,frame_102.jpeg
1.646393874860899e+18,1433.0,7876.0,-1398.0,frame_103.jpeg
1.6463938749187284e+18,1397.0,7851.0,-1327.0,frame_104.jpeg
1.6463938749659174e+18,1420.0,7836.0,-1305.0,frame_105.jpeg
1.6463938750163346e+18,1472.0,7851.0,-1339.0,frame_106.jpeg
1.6463938750674468e+18,1452.0,7883.0,-1380.0,frame_107.jpeg
1.6463938751157542e+18,1448.0,7907.0,-1393.0,frame_108.jpeg
1.6463938751622438e+18,1449.0,7907.0,-1427.0,frame_109.jpeg
1.6463938752191916e+18,1423.0,7870.0,-1433.0,frame_110.jpeg
1.6463938752599644e+18,1433.0,7861.0,-1405.0,frame_111.jpeg
1.6463938753178898e+18,1442.0,7873.0,-1359.0,frame_112.jpeg
1.646393926184738e+18,2778.0,-1751.0,-1751.0,frame_1128.jpeg
1.646393926228826e+18,1385.0,-1460.0,-3428.0,frame_1129.jpeg
1.64639387536738e+18,1423.0,7865.0,-1338.0,frame_113.jpeg
1.6463939262813484e+18,2438.0,-1606.0,-4601.0,frame_1130.jpeg
1.6463939263294292e+18,1134.0,-2856.0,-5528.0,frame_1131.jpeg
1.64639392638062e+18,1414.0,-2547.0,-6580.0,frame_1132.jpeg
1.646393926428578e+18,348.0,-2878.0,-7306.0,frame_1133.jpeg
1.6463939264802657e+18,443.0,-2362.0,-7693.0,frame_1134.jpeg
1.646393926529518e+18,303.0,-2297.0,-7864.0,frame_1135.jpeg
1.6463939265819924e+18,64.0,-2411.0,-7642.0,frame_1136.jpeg
1.6463939266299896e+18,-23.0,-2411.0,-7368.0,frame_1137.jpeg
1.6463939266844554e+18,-17.0,-2345.0,-7436.0,frame_1138.jpeg
1.6463939267280563e+18,644.0,-2323.0,-7581.0,frame_1139.jpeg
1.6463938754199073e+18,1430.0,7863.0,-1411.0,frame_114.jpeg
1.6463939267809052e+18,612.0,-2174.0,-7633.0,frame_1140.jpeg
1.6463939268299876e+18,581.0,-2004.0,-7811.0,frame_1141.jpeg
1.6463939268816886e+18,332.0,-1824.0,-7999.0,frame_1142.jpeg
1.646393926929083e+18,198.0,-2203.0,-7648.0,frame_1143.jpeg
1.6463939269817843e+18,429.0,-2314.0,-7703.0,frame_1144.jpeg
1.6463939270277663e+18,11.0,-2046.0,-7742.0,frame_1145.jpeg
