timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY1_BIMANUAL
1.6461471238534948e+18,-7816.0,5389.0,1650.0,1
1.6461471239021842e+18,-7175.0,7144.0,2395.0,1
1.6461471239527665e+18,-8207.0,6798.0,1984.0,1
1.6461471240021432e+18,-9489.0,6063.0,930.0,1
1.6461471240526807e+18,-9684.0,5095.0,219.0,1
1.6461471240979356e+18,-8305.0,3241.0,-1373.0,1
1.6461471241540206e+18,-6273.0,2010.0,-2132.0,1
1.6461471241997376e+18,-3662.0,292.0,-2758.0,1
1.6461471242528673e+18,-4375.0,1687.0,-4786.0,1
1.6461471242988572e+18,-2604.0,3563.0,-6115.0,1
1.6461471243531267e+18,-1559.0,4612.0,-6391.0,1
1.646147124400247e+18,-1259.0,5237.0,-10340.0,1
1.6461471244506685e+18,-1296.0,4670.0,-8291.0,1
1.646147124753624e+18,-4688.0,203.0,-6548.0,1
1.6461471248013637e+18,-4816.0,-361.0,-6194.0,1
1.64614712485344e+18,-4985.0,-453.0,-6649.0,1
1.646147124901421e+18,-5716.0,-418.0,-6675.0,1
1.6461471249528596e+18,-5963.0,-423.0,-6565.0,1
1.646147125006962e+18,-5829.0,-495.0,-6318.0,1
1.6461471250541583e+18,-5628.0,-569.0,-6038.0,1
1.646147125103658e+18,-5320.0,-573.0,-5928.0,1
1.6461471251535327e+18,-5469.0,-732.0,-5910.0,1
1.6461471252157082e+18,-5517.0,-739.0,-5879.0,1
1.6461471252157082e+18,-5517.0,-739.0,-5879.0,1
1.6461471253560282e+18,-5548.0,-749.0,-5862.0,1
1.6461471253560282e+18,-5548.0,-749.0,-5862.0,1
1.6461471254016143e+18,-5614.0,-838.0,-5902.0,1
1.6461471254512579e+18,-5059.0,-1169.0,-6065.0,1
1.6461471255040243e+18,-4530.0,-1411.0,-6311.0,1
1.6461471255524582e+18,-4713.0,-1166.0,-6887.0,1
1.6461471256026962e+18,-4239.0,-1395.0,-6718.0,1
1.646147125651858e+18,-3511.0,-1048.0,-6831.0,1
1.6461471257057843e+18,-4254.0,-1315.0,-6873.0,1
1.6461471257550113e+18,-4431.0,-1255.0,-6660.0,1
1.6461471258076045e+18,-4752.0,-1266.0,-6385.0,1
1.6461471258512522e+18,-4065.0,-1394.0,-6315.0,1
1.6461471258984845e+18,-3107.0,-987.0,-6253.0,1
1.6461471259502956e+18,-3824.0,-935.0,-6642.0,1
1.6461471260040394e+18,-4656.0,-1491.0,-6732.0,1
1.6461471260495386e+18,-4738.0,-1368.0,-7639.0,1
1.6461471261033413e+18,-3996.0,-973.0,-7500.0,1
1.6461471261523827e+18,-3619.0,-1014.0,-6857.0,1
1.6461471262052703e+18,-3739.0,-1208.0,-6484.0,1
1.6461471262530273e+18,-3427.0,7.0,-6631.0,1
1.6461471263060662e+18,-1803.0,440.0,-6733.0,1
1.646147126356447e+18,-4325.0,2183.0,-6016.0,1
1.6461471264034196e+18,-7205.0,2583.0,-4381.0,1
1.6461471264506342e+18,-8889.0,3394.0,-2802.0,1
1.646147126506372e+18,-9258.0,3212.0,-1226.0,1
1.6461471265560443e+18,-9627.0,2975.0,313.0,1
1.6461471266044037e+18,-8854.0,3182.0,1384.0,1
1.6461471266571282e+18,-8479.0,3105.0,1426.0,1
1.646147126701239e+18,-8031.0,3288.0,2547.0,1
1.646147126757211e+18,-8375.0,3719.0,3563.0,1
1.6461471268044206e+18,-7526.0,3273.0,3631.0,1
1.646147126855986e+18,-6789.0,3376.0,4235.0,1
1.6461471269065236e+18,-5994.0,3399.0,4806.0,1
1.6461471269570575e+18,-5308.0,3795.0,5129.0,1
1.6461471270014328e+18,-4684.0,3721.0,5113.0,1
1.6461471270574707e+18,-4674.0,3463.0,4957.0,1
1.64614712710605e+18,-4847.0,3248.0,4838.0,1
1.6461471271573537e+18,-5153.0,2833.0,5014.0,1
1.6461471272054344e+18,-5086.0,2678.0,5295.0,1
1.6461471272562168e+18,-5557.0,2244.0,5294.0,1
1.6461471273033477e+18,-5229.0,2733.0,5862.0,1
1.6461471273570422e+18,-5157.0,2770.0,6012.0,1
1.646147127405305e+18,-5433.0,2136.0,6037.0,1
1.646147127455661e+18,-5377.0,2188.0,5984.0,1
1.6461471275062502e+18,-5256.0,2554.0,6143.0,1
1.6461471275565932e+18,-5545.0,1859.0,5753.0,1
1.64614712760518e+18,-5699.0,2194.0,5894.0,1
1.6461471276547003e+18,-5383.0,1984.0,6062.0,1
1.6461471277067428e+18,-5324.0,2049.0,5872.0,1
1.6461471277764147e+18,-5526.0,1711.0,5601.0,1
1.6461471278025661e+18,-6048.0,1505.0,5828.0,1
1.6461471278599672e+18,-5971.0,2128.0,6057.0,1
1.646147127902247e+18,-6157.0,1860.0,5721.0,1
1.646147127959226e+18,-5889.0,1807.0,5582.0,1
1.646147128004951e+18,-5939.0,1658.0,5526.0,1
1.6461471280583058e+18,-5571.0,1578.0,5448.0,1
1.6461471281057114e+18,-5987.0,2501.0,5622.0,1
1.6461471281571937e+18,-5830.0,2529.0,5791.0,1
1.6461471282061435e+18,-5796.0,2114.0,5608.0,1
1.6461471282564308e+18,-5375.0,2145.0,5612.0,1
1.6461471283080627e+18,-5765.0,2279.0,5391.0,1
1.6461471283558694e+18,-5481.0,2533.0,5740.0,1
1.6461471284073462e+18,-5754.0,2653.0,5821.0,1
1.6461471284568876e+18,-5899.0,2822.0,5722.0,1
1.6461471285059653e+18,-5161.0,2996.0,6125.0,1
