timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_BIMANUAL
1.6449319384270195e+18,101.0,-1274.0,-6597.0,1
1.6449319384774246e+18,412.0,-351.0,-7764.0,1
1.6449319385272916e+18,40.0,-877.0,-6845.0,1
1.6449319385798433e+18,-904.0,-2679.0,-5126.0,1
1.644931938628373e+18,-2355.0,-3616.0,-4505.0,1
1.6449319386738158e+18,-3858.0,-4541.0,-4175.0,1
1.6449319387290383e+18,-6003.0,-5120.0,-2606.0,1
1.6449319387778463e+18,-7059.0,-5443.0,-1756.0,1
1.644931938828182e+18,-7359.0,-5263.0,-1714.0,1
1.6449319388767716e+18,-7367.0,-4673.0,-1764.0,1
1.6449319389278612e+18,-7600.0,-4557.0,-1444.0,1
1.644931938975907e+18,-8087.0,-4415.0,-1070.0,1
1.6449319390303846e+18,-8400.0,-4326.0,-930.0,1
1.6449319390776315e+18,-7942.0,-4547.0,-233.0,1
1.644931939129361e+18,-6967.0,-4841.0,1311.0,1
1.6449319391771318e+18,-7663.0,-3767.0,1270.0,1
1.6449319392292352e+18,-7602.0,-2880.0,1847.0,1
1.6449319392773338e+18,-8478.0,-1840.0,2478.0,1
1.6449319393269112e+18,-7746.0,-1511.0,2264.0,1
1.6449319393766874e+18,-7864.0,-781.0,3179.0,1
1.644931939430875e+18,-7579.0,-564.0,3819.0,1
1.6449319394780083e+18,-7646.0,62.0,4280.0,1
1.644931939535022e+18,-7388.0,-114.0,4280.0,1
1.6449319395767575e+18,-7081.0,-189.0,4498.0,1
1.6449319396276442e+18,-6600.0,-711.0,4810.0,1
1.6449319396750203e+18,-6384.0,-750.0,5445.0,1
1.6449319397258952e+18,-6149.0,-742.0,5838.0,1
1.6449319397771484e+18,-6749.0,-341.0,5818.0,1
1.6449319398282153e+18,-7486.0,-115.0,5752.0,1
1.644931939877043e+18,-8341.0,-367.0,5553.0,1
1.6449319399283712e+18,-9941.0,-1068.0,5050.0,1
1.644931939964647e+18,-9788.0,-1751.0,4450.0,1
1.6449319400284165e+18,-7461.0,-4323.0,2857.0,1
1.6449319400773837e+18,-7159.0,-4352.0,1235.0,1
1.644931940132044e+18,-4620.0,-3755.0,-1028.0,1
1.6449319401776038e+18,-3921.0,-4295.0,-2319.0,1
1.644931940228094e+18,-4132.0,-4143.0,-3186.0,1
1.644931940276013e+18,-3309.0,-3737.0,-4598.0,1
1.6449319403276933e+18,-3125.0,-3293.0,-5369.0,1
1.6449319403824563e+18,-875.0,-3476.0,-5735.0,1
1.6449319404294257e+18,-1992.0,-4591.0,-6001.0,1
1.6449319404843889e+18,-2233.0,-3996.0,-7281.0,1
1.6449319405295985e+18,-2378.0,-3462.0,-7906.0,1
1.644931940583602e+18,-1634.0,-2817.0,-8032.0,1
1.644931940634139e+18,-1364.0,-2632.0,-8502.0,1
1.6449319406836145e+18,-1203.0,-3803.0,-8327.0,1
1.6449319407277934e+18,-923.0,-4595.0,-7772.0,1
1.6449319407827438e+18,-2575.0,-3281.0,-7602.0,1
1.644931940822151e+18,-3453.0,-2313.0,-7386.0,1
1.6449319408691922e+18,-3886.0,-1415.0,-7253.0,1
1.6449319409289615e+18,-3609.0,-96.0,-7661.0,1
1.6449319409838292e+18,-2052.0,987.0,-7513.0,1
1.644931941027113e+18,-1713.0,1673.0,-7956.0,1
1.6449319410837522e+18,-2309.0,1916.0,-7812.0,1
1.644931941131908e+18,-2329.0,1615.0,-7392.0,1
1.6449319411791283e+18,-2594.0,1221.0,-7139.0,1
1.6449319412271834e+18,-2743.0,903.0,-7425.0,1
1.644931941283557e+18,-2562.0,244.0,-7587.0,1
1.6449319413317586e+18,-2738.0,262.0,-7922.0,1
1.6449319413808845e+18,-3143.0,962.0,-8058.0,1
1.6449319414267295e+18,-3537.0,487.0,-6017.0,1
1.644931941483582e+18,-3311.0,592.0,-5160.0,1
1.6449319415274916e+18,-2069.0,-2110.0,-4401.0,1
1.6449319415813312e+18,357.0,-5019.0,-4960.0,1
1.6449319416283592e+18,1853.0,-6625.0,-6449.0,1
1.6449319416791386e+18,1690.0,-4711.0,-9717.0,1
1.644931941727209e+18,564.0,-2175.0,-12312.0,1
1.644931941784912e+18,663.0,-3267.0,-12984.0,1
1.6449319418285317e+18,2890.0,-4813.0,-10215.0,1
1.6449319418792197e+18,2759.0,-5643.0,-6053.0,1
1.6449319419326103e+18,80.0,-4105.0,-4130.0,1
1.6449319419834143e+18,-1081.0,-1773.0,-5375.0,1
1.6449319420339533e+18,-798.0,265.0,-7239.0,1
1.6449319420843953e+18,339.0,1640.0,-7956.0,1
1.6449319421331238e+18,2803.0,1236.0,-8385.0,1
1.6449319421835753e+18,3398.0,191.0,-7681.0,1
1.6449319422339297e+18,3340.0,-1406.0,-7498.0,1
1.6449319422842404e+18,2654.0,-1091.0,-8403.0,1
1.644931942332639e+18,2556.0,797.0,-8660.0,1
1.644931942383109e+18,2111.0,1577.0,-7599.0,1
1.6449319424336243e+18,1912.0,1839.0,-6457.0,1
1.6449319424816586e+18,2810.0,1590.0,-6502.0,1
1.6449319425330368e+18,3588.0,1413.0,-6991.0,1
1.644931942580438e+18,3515.0,1437.0,-7063.0,1
1.644931942647314e+18,3429.0,1419.0,-7158.0,1
1.6449319426816622e+18,2272.0,1153.0,-7394.0,1
1.6449319427338644e+18,1941.0,-1442.0,-6793.0,1
1.6449319427839826e+18,4162.0,-1366.0,-6886.0,1
1.6449319428336566e+18,4842.0,1.0,-9214.0,1
1.6449319428817096e+18,4164.0,960.0,-9320.0,1
1.6449319429330035e+18,3055.0,-89.0,-7323.0,1
1.644931942982912e+18,3300.0,264.0,-7399.0,1
1.64493194303691e+18,2329.0,1363.0,-7733.0,1
1.6449319430830705e+18,2615.0,2271.0,-7080.0,1
1.644931943135241e+18,1655.0,1988.0,-6899.0,1
1.6449319431798687e+18,2383.0,1828.0,-6823.0,1
1.6449319432334362e+18,770.0,1915.0,-6855.0,1
1.6449319432808102e+18,2269.0,1581.0,-7643.0,1
1.6449319433319037e+18,3201.0,2182.0,-8927.0,1
1.6449319433781558e+18,3367.0,1728.0,-7874.0,1
1.6449319434304343e+18,3186.0,1793.0,-7092.0,1
1.644931943481323e+18,3512.0,2294.0,-7347.0,1
1.6449319435353848e+18,3460.0,3409.0,-8340.0,1
1.644931943585234e+18,2596.0,3294.0,-8161.0,1
1.644931943629748e+18,2067.0,2215.0,-7302.0,1
1.6449319436839255e+18,450.0,990.0,-5579.0,1
1.644931943733898e+18,32.0,-1341.0,-2970.0,1
1.6449319437879186e+18,2257.0,-3318.0,-3304.0,1
1.644931943834103e+18,3288.0,-3542.0,-5357.0,1
1.6449319438852457e+18,3760.0,-3262.0,-7442.0,1
1.6449319439366595e+18,3904.0,-3485.0,-8852.0,1
1.644931943988883e+18,6081.0,-2345.0,-10695.0,1
1.644931944031355e+18,4707.0,-1814.0,-9914.0,1
1.6449319440861176e+18,3959.0,-1973.0,-10222.0,1
1.644931944133926e+18,6461.0,-4105.0,-8843.0,1
1.6449319441835146e+18,4757.0,-5800.0,-5314.0,1
1.644931944246947e+18,1933.0,-4764.0,-4023.0,1
1.6449319442860078e+18,-2972.0,-737.0,-4435.0,1
1.6449319443293033e+18,-3188.0,-183.0,-7101.0,1
1.644931944388724e+18,-2134.0,-1028.0,-7622.0,1
1.6449319444317373e+18,-1425.0,-2025.0,-7829.0,1
1.6449319444787218e+18,-1022.0,-2440.0,-8060.0,1
1.644931944537766e+18,-980.0,-2108.0,-7932.0,1
1.6449319445886047e+18,-1026.0,-1099.0,-8800.0,1
1.6449319446298076e+18,-1108.0,-1031.0,-8685.0,1
1.6449319446865009e+18,-884.0,-1885.0,-7898.0,1
1.6449319447322102e+18,-1219.0,-1658.0,-8061.0,1
1.6449319447865073e+18,-145.0,-1695.0,-8716.0,1
1.644931944832264e+18,-308.0,-1769.0,-8267.0,1
1.6449319448855854e+18,-178.0,-2273.0,-7689.0,1
1.644931944935806e+18,-501.0,-3173.0,-7510.0,1
1.6449319449857656e+18,-745.0,-1619.0,-8070.0,1
1.6449319450350144e+18,-938.0,-1220.0,-7968.0,1
1.644931945091891e+18,-948.0,-1120.0,-7883.0,1
1.6449319451358298e+18,-1031.0,-1018.0,-7809.0,1
1.6449319451860403e+18,-1402.0,128.0,-8293.0,1
1.6449319452372541e+18,-1794.0,1001.0,-8066.0,1
1.6449319452865615e+18,-1591.0,1181.0,-7997.0,1
1.6449319453418458e+18,-1037.0,1546.0,-7951.0,1
1.6449319453870062e+18,-1499.0,1815.0,-7716.0,1
1.6449319454370227e+18,-686.0,1095.0,-7687.0,1
1.6449319454877542e+18,73.0,509.0,-7960.0,1
1.64493194553966e+18,146.0,151.0,-8689.0,1
1.6449319455867136e+18,-363.0,-201.0,-8716.0,1
