timestamp,a_right_backPose,b_right_backPose,c_right_backPose, HANDOVER_RIGHT
1.6449324273412662e+18,-3372.0,7560.0,5196.0,1
1.644932427389217e+18,-5324.0,8496.0,3545.0,1
1.64493242744073e+18,-6612.0,8415.0,2283.0,1
1.6449324274934236e+18,-9348.0,6065.0,2354.0,1
1.6449324275372618e+18,-8444.0,3593.0,1532.0,1
1.6449324275942787e+18,-8587.0,1153.0,-170.0,1
1.644932427639332e+18,-4345.0,-120.0,-3790.0,1
1.6449324276901588e+18,-4012.0,-3301.0,-4026.0,1
1.644932427741116e+18,-5285.0,-5334.0,-3001.0,1
1.6449324277907057e+18,-6165.0,-1299.0,-2295.0,1
1.6449324278412657e+18,-5530.0,6050.0,-5067.0,1
1.6449324278874125e+18,-6677.0,7651.0,-4388.0,1
1.6449324279388116e+18,-5585.0,6218.0,-4571.0,1
1.6449324279917558e+18,-6875.0,4303.0,-3077.0,1
1.644932428039471e+18,-9024.0,1831.0,-662.0,1
1.644932428092446e+18,-5222.0,-950.0,-3477.0,1
1.6449324281394647e+18,-8229.0,1956.0,-1752.0,1
1.6449324281956242e+18,-7859.0,2391.0,-1036.0,1
1.644932428241887e+18,-8028.0,1231.0,-1540.0,1
1.6449324282894702e+18,-7477.0,342.0,-3013.0,1
1.644932428339065e+18,-6031.0,2466.0,-5487.0,1
1.644932428391754e+18,-5963.0,2083.0,-6492.0,1
1.6449324284395917e+18,-6953.0,1346.0,-4336.0,1
1.6449324284885821e+18,-7251.0,1969.0,-3665.0,1
1.6449324285418504e+18,-6955.0,557.0,-3520.0,1
1.644932428592152e+18,-7292.0,216.0,-2970.0,1
1.644932428642024e+18,-7471.0,942.0,-3086.0,1
1.644932428690891e+18,-7670.0,1613.0,-2898.0,1
1.6449324287441073e+18,-7372.0,2140.0,-2418.0,1
1.6449324287919936e+18,-7764.0,2070.0,-2078.0,1
1.6449324288409034e+18,-7778.0,1679.0,-2011.0,1
1.6449324288906688e+18,-8044.0,1607.0,-1868.0,1
1.644932428944073e+18,-8274.0,1599.0,-1378.0,1
1.6449324289919872e+18,-8206.0,1711.0,-1530.0,1
1.6449324290441784e+18,-7826.0,1917.0,-1165.0,1
1.6449324290907185e+18,-8828.0,2368.0,-464.0,1
1.644932429146554e+18,-6250.0,1034.0,-1760.0,1
1.6449324291922972e+18,-7228.0,1165.0,-1610.0,1
1.6449324292445256e+18,-9582.0,2728.0,186.0,1
1.6449324292922588e+18,-7269.0,1547.0,-1955.0,1
1.6449324293459507e+18,-7862.0,1651.0,-1730.0,1
1.644932429390901e+18,-8034.0,1915.0,-1680.0,1
1.6449324294424428e+18,-7371.0,1481.0,-2091.0,1
1.6449324294923213e+18,-7886.0,1745.0,-1703.0,1
1.6449324295416745e+18,-8114.0,1795.0,-1320.0,1
1.6449324295915773e+18,-8034.0,1705.0,-1526.0,1
1.6449324296424742e+18,-8210.0,1849.0,-1178.0,1
1.6449324296916756e+18,-8106.0,1736.0,-1185.0,1
1.644932429742602e+18,-8088.0,2068.0,-1282.0,1
1.6449324297921295e+18,-8081.0,1930.0,-1091.0,1
1.644932429846003e+18,-8015.0,1975.0,-1280.0,1
1.6449324298915697e+18,-8082.0,2076.0,-1176.0,1
1.6449324299431158e+18,-7842.0,1942.0,-1369.0,1
1.6449324299926756e+18,-7887.0,1947.0,-1061.0,1
1.6449324300426962e+18,-7579.0,1972.0,-760.0,1
1.6449324300914616e+18,-7388.0,2161.0,-1144.0,1
1.6449324301431534e+18,-7812.0,2589.0,-870.0,1
1.6449324301921073e+18,-8342.0,3074.0,-336.0,1
1.6449324302435812e+18,-8464.0,3510.0,-744.0,1
1.644932430291086e+18,-7664.0,3955.0,-974.0,1
1.6449324303398144e+18,-7862.0,4716.0,-1334.0,1
1.6449324303989635e+18,-7271.0,4635.0,-2062.0,1
1.6449324304435837e+18,-7385.0,4996.0,-2233.0,1
1.644932430497903e+18,-7282.0,4900.0,-2056.0,1
1.6449324305444306e+18,-7464.0,4389.0,-1696.0,1
1.6449324305961137e+18,-7294.0,3805.0,-1374.0,1
1.64493243063956e+18,-7447.0,3276.0,-958.0,1
1.6449324306991168e+18,-6551.0,2437.0,-887.0,1
1.644932430741107e+18,-6589.0,941.0,-420.0,1
1.6449324307960591e+18,-5876.0,-539.0,-427.0,1
1.6449324308388815e+18,-6220.0,-1258.0,-332.0,1
1.6449324308958415e+18,-6082.0,-2426.0,-394.0,1
1.6449324309218524e+18,-6239.0,-2811.0,42.0,1
1.6449324310094715e+18,-6479.0,-2914.0,380.0,1
1.6449324310432125e+18,-7311.0,-4053.0,1966.0,1
1.644932431095645e+18,-8125.0,-3826.0,2586.0,1
1.6449324311384689e+18,-8492.0,-3714.0,2836.0,1
1.6449324311972662e+18,-8950.0,-3250.0,2880.0,1
1.644932431242343e+18,-9360.0,-2904.0,3341.0,1
1.6449324312959432e+18,-9363.0,-2256.0,3708.0,1
