timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6449324473143048e+18,-6194.0,-2215.0,-4826.0,1
1.6449324473646769e+18,-6284.0,-2377.0,-5258.0,1
1.6449324474137e+18,-6205.0,-2160.0,-4985.0,1
1.6449324474640061e+18,-6228.0,-2327.0,-5035.0,1
1.644932447516521e+18,-6181.0,-2271.0,-4940.0,1
1.6449324475646157e+18,-6255.0,-2279.0,-4923.0,1
1.6449324476165222e+18,-6320.0,-2357.0,-5028.0,1
1.644932447664816e+18,-6240.0,-2290.0,-4933.0,1
1.6449324477182676e+18,-6286.0,-2389.0,-4965.0,1
1.6449324477652795e+18,-6259.0,-2417.0,-4954.0,1
1.6449324478142735e+18,-6301.0,-2425.0,-4892.0,1
1.6449324478610993e+18,-6348.0,-2421.0,-4833.0,1
1.6449324479150705e+18,-6321.0,-2479.0,-4829.0,1
1.6449324479678738e+18,-6306.0,-2429.0,-4890.0,1
1.644932448016746e+18,-6216.0,-2421.0,-4930.0,1
1.644932448069201e+18,-6345.0,-2613.0,-4783.0,1
1.644932448113701e+18,-6303.0,-2569.0,-4878.0,1
1.6449324481712517e+18,-6274.0,-2467.0,-4846.0,1
1.6449324482197215e+18,-6221.0,-2351.0,-5033.0,1
1.644932448269921e+18,-6335.0,-2741.0,-4722.0,1
1.644932448315091e+18,-6431.0,-2685.0,-4541.0,1
1.6449324483658348e+18,-6336.0,-2677.0,-4752.0,1
1.644932448417896e+18,-6228.0,-2529.0,-4867.0,1
1.6449324484763267e+18,-6156.0,-2620.0,-5003.0,1
1.644932448513821e+18,-6292.0,-2763.0,-4844.0,1
1.6449324485613896e+18,-6217.0,-2696.0,-4746.0,1
1.6449324486151263e+18,-6166.0,-2633.0,-4897.0,1
1.6449324486712904e+18,-6302.0,-2760.0,-4754.0,1
1.6449324487133926e+18,-6248.0,-2683.0,-4759.0,1
1.644932448764653e+18,-6231.0,-2757.0,-4847.0,1
1.6449324488142682e+18,-6226.0,-2676.0,-4777.0,1
1.6449324488678177e+18,-6166.0,-2725.0,-4910.0,1
1.6449324489133245e+18,-6316.0,-2833.0,-4748.0,1
1.6449324489687872e+18,-6205.0,-2754.0,-4752.0,1
1.644932449014347e+18,-6265.0,-2664.0,-4761.0,1
1.6449324490686984e+18,-6155.0,-2761.0,-4842.0,1
1.6449324491131098e+18,-6178.0,-2763.0,-4777.0,1
1.6449324491680558e+18,-6213.0,-2774.0,-4848.0,1
1.644932449217677e+18,-6246.0,-2858.0,-4761.0,1
1.6449324492683553e+18,-6182.0,-2752.0,-4749.0,1
1.6449324493194122e+18,-6243.0,-2732.0,-4775.0,1
1.644932449369385e+18,-6228.0,-2812.0,-4771.0,1
1.6449324494190587e+18,-6250.0,-2779.0,-4668.0,1
1.6449324494685486e+18,-6183.0,-2840.0,-4889.0,1
1.644932449515428e+18,-6238.0,-2786.0,-4764.0,1
1.644932449558934e+18,-6234.0,-2838.0,-4761.0,1
1.6449324496173235e+18,-6272.0,-2856.0,-4782.0,1
1.64493244966839e+18,-6209.0,-2700.0,-4731.0,1
1.6449324497203502e+18,-6200.0,-2774.0,-4890.0,1
1.6449324497676332e+18,-6297.0,-2764.0,-4684.0,1
1.6449324498190505e+18,-6159.0,-2732.0,-4810.0,1
1.644932449872468e+18,-6361.0,-2694.0,-4718.0,1
1.6449324499204342e+18,-6278.0,-2838.0,-4642.0,1
1.6449324499688038e+18,-6255.0,-2804.0,-4769.0,1
1.6449324500204252e+18,-6194.0,-2699.0,-4896.0,1
1.6449324500684984e+18,-6138.0,-2781.0,-4859.0,1
1.6449324501190612e+18,-6256.0,-2854.0,-4652.0,1
1.6449324501697285e+18,-6124.0,-2904.0,-4711.0,1
1.6449324502204424e+18,-6398.0,-2784.0,-4631.0,1
1.6449324502646828e+18,-6441.0,-3129.0,-4436.0,1
1.6449324503197146e+18,-6076.0,-2588.0,-6549.0,1
1.6449324503684544e+18,-6385.0,-2751.0,-4741.0,1
1.6449324504202924e+18,-5575.0,-3031.0,-4009.0,1
1.644932450468625e+18,-6774.0,-3378.0,-5039.0,1
1.6449324505136225e+18,-5786.0,-2872.0,-5604.0,1
1.6449324505648924e+18,-5353.0,-2518.0,-5537.0,1
1.6449324506177318e+18,-6291.0,-2898.0,-5349.0,1
1.6449324506646515e+18,-5749.0,-3058.0,-4853.0,1
1.6449324507189181e+18,-6451.0,-3236.0,-5705.0,1
1.644932450768062e+18,-5973.0,-3415.0,-6091.0,1
1.6449324508212298e+18,-5233.0,-2356.0,-6067.0,1
1.6449324773037686e+18,-1193.0,35.0,-8151.0,1
1.6449324773531745e+18,-1010.0,64.0,-8249.0,1
1.644932477403887e+18,-1306.0,73.0,-8141.0,1
1.6449324774511542e+18,-1123.0,-32.0,-8198.0,1
1.644932477506319e+18,-1192.0,-3.0,-8213.0,1
1.644932477550331e+18,-1277.0,54.0,-8130.0,1
1.6449324776022612e+18,-1244.0,-93.0,-8219.0,1
1.644932477648756e+18,-1100.0,-20.0,-8156.0,1
1.6449324777006564e+18,-1048.0,212.0,-8244.0,1
1.6449324777487396e+18,-1053.0,89.0,-8119.0,1
1.644932477801628e+18,-1504.0,-240.0,-8129.0,1
1.6449324778516692e+18,-1297.0,-68.0,-8248.0,1
1.6449324779007552e+18,-901.0,130.0,-8148.0,1
1.644932477949166e+18,-1124.0,-16.0,-8233.0,1
1.6449324780027003e+18,-1194.0,-144.0,-8188.0,1
1.6449324780518385e+18,-1160.0,-6.0,-8176.0,1
1.6449324781021962e+18,-1140.0,-90.0,-8232.0,1
1.644932478154452e+18,-1175.0,-112.0,-8183.0,1
1.6449324782041434e+18,-1176.0,-53.0,-8202.0,1
1.644932478252041e+18,-1104.0,-89.0,-8163.0,1
1.64493247830799e+18,-1136.0,-21.0,-8214.0,1
1.644932478355346e+18,-1103.0,12.0,-8210.0,1
1.6449324784038067e+18,-1233.0,-79.0,-8134.0,1
1.6449324784517484e+18,-1175.0,-97.0,-8184.0,1
1.644932478502489e+18,-1306.0,-168.0,-8180.0,1
1.6449324785501412e+18,-1351.0,-256.0,-8205.0,1
