timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.6455434852190966e+18,2215.0,-1233.0,5889.0,1
1.6455434852692065e+18,-833.0,-3553.0,7417.0,1
1.6455434853194442e+18,-1171.0,-5319.0,6584.0,1
1.645543485366488e+18,-1238.0,-5878.0,7059.0,1
1.645543485423344e+18,675.0,-4085.0,6887.0,1
1.6455434854629394e+18,874.0,-5053.0,6670.0,1
1.6455434855229184e+18,660.0,-4667.0,7222.0,1
1.6455434855690867e+18,369.0,-4155.0,7374.0,1
1.6455434856256118e+18,438.0,-4868.0,7472.0,1
1.6455434856685404e+18,249.0,-4165.0,7553.0,1
1.6455434857175795e+18,467.0,-4283.0,7329.0,1
1.645543485768461e+18,124.0,-5568.0,7122.0,1
1.6455434858207898e+18,-1156.0,-4952.0,7009.0,1
1.645543485873141e+18,-1349.0,-4299.0,7192.0,1
1.6455434859252068e+18,-2091.0,-1988.0,7365.0,1
1.64554348597051e+18,-1776.0,342.0,8440.0,1
1.6455434860191255e+18,-137.0,1836.0,9198.0,1
1.6455434860673667e+18,1888.0,750.0,9184.0,1
1.6455434861239974e+18,5342.0,-2390.0,7357.0,1
1.6455434861757256e+18,5692.0,-1915.0,7733.0,1
1.6455434862239283e+18,4754.0,-1346.0,6699.0,1
1.6455434862735613e+18,4417.0,307.0,6933.0,1
1.6455434863334633e+18,3895.0,-128.0,7320.0,1
1.6455434863722542e+18,-1201.0,-4259.0,6916.0,1
1.6455434864225318e+18,-4435.0,-7769.0,7623.0,1
1.645543486474003e+18,-5794.0,-1658.0,8318.0,1
1.6455434865224888e+18,-4045.0,-3553.0,8900.0,1
1.6455434865722688e+18,-456.0,1628.0,8612.0,1
1.645543486625935e+18,738.0,3254.0,8573.0,1
1.6455434866717358e+18,2185.0,3112.0,9319.0,1
1.6455434867218563e+18,3662.0,-467.0,8174.0,1
1.645543486773709e+18,5937.0,-1661.0,8066.0,1
1.6455434868233618e+18,3938.0,-2498.0,7837.0,1
1.6455434868807322e+18,2553.0,-3895.0,7773.0,1
1.6455434869229821e+18,-460.0,-4418.0,6603.0,1
1.6455434869699958e+18,-2668.0,-6792.0,6699.0,1
1.6455434870242598e+18,-4137.0,-3932.0,7783.0,1
1.6455434870715712e+18,-4634.0,-2234.0,8778.0,1
1.6455434871215363e+18,-3486.0,-1915.0,9177.0,1
1.6455434871595113e+18,-798.0,-204.0,9602.0,1
1.6455434872057e+18,-560.0,182.0,9692.0,1
1.6455434872780206e+18,4893.0,1726.0,9576.0,1
1.6455434873262702e+18,5560.0,-1772.0,6945.0,1
1.6455434873889738e+18,5288.0,-2307.0,6894.0,1
1.6455434874262339e+18,4288.0,-3635.0,6784.0,1
1.6455434874717844e+18,-1066.0,-4564.0,6021.0,1
1.6455434875223066e+18,-4268.0,-5598.0,7472.0,1
1.6455434875788165e+18,-5448.0,-2978.0,9089.0,1
1.6455434876212882e+18,-4688.0,-661.0,9870.0,1
1.6455434876727951e+18,-1068.0,1653.0,9384.0,1
1.6455434877196416e+18,962.0,958.0,9271.0,1
1.6455434877731464e+18,4182.0,119.0,8931.0,1
1.6455434878275832e+18,6678.0,-2830.0,8586.0,1
1.6455434878736302e+18,4971.0,-4706.0,7116.0,1
1.6455434879261379e+18,683.0,-4028.0,9482.0,1
1.645543487976278e+18,-1275.0,-1508.0,8229.0,1
1.6455434880262508e+18,-1198.0,2635.0,6409.0,1
1.6455434880739553e+18,1348.0,1515.0,6623.0,1
1.6455434881263588e+18,4188.0,-91.0,6223.0,1
1.6455434881707466e+18,1413.0,-1490.0,7421.0,1
1.645543488230041e+18,-429.0,-2550.0,9922.0,1
1.645543488276961e+18,833.0,-1224.0,9642.0,1
1.6455434883316488e+18,403.0,-1162.0,7560.0,1
1.645543488371525e+18,376.0,-3849.0,7809.0,1
1.6455434884261972e+18,467.0,-4312.0,7663.0,1
1.645543488476316e+18,317.0,-3990.0,6988.0,1
1.645543488526477e+18,-12.0,-5288.0,8486.0,1
1.6455434885749755e+18,-277.0,-6126.0,9544.0,1
1.645543488626416e+18,-292.0,-1575.0,6682.0,1
1.6455434886742733e+18,-1402.0,93.0,6392.0,1
1.6455434887265897e+18,-2107.0,-1696.0,7850.0,1
1.645543488775035e+18,-2133.0,-172.0,8171.0,1
1.6455434888278264e+18,-2031.0,1649.0,8165.0,1
1.645543488870343e+18,-2159.0,4577.0,7820.0,1
1.645543488926325e+18,-3089.0,695.0,7025.0,1
1.645543488974251e+18,-3446.0,1979.0,8687.0,1
1.6455434890262339e+18,-2095.0,3743.0,7682.0,1
1.6455434890733292e+18,206.0,-1086.0,6163.0,1
1.6455434891307336e+18,1450.0,-2074.0,7379.0,1
1.6455434891742328e+18,-343.0,-2267.0,9430.0,1
1.6455434892267837e+18,-1668.0,-2314.0,8331.0,1
1.6455434892752694e+18,-3278.0,-62.0,10930.0,1
1.6455434893258422e+18,-2503.0,1781.0,10044.0,1
1.645543489375632e+18,-2250.0,3308.0,9154.0,1
1.6455434894220188e+18,-2738.0,2205.0,9357.0,1
