timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6455438040676298e+18,-5120.0,-4535.0,5021.0,1
1.645543804119296e+18,-5184.0,-4227.0,5011.0,1
1.6455438041674496e+18,-5102.0,-4411.0,5123.0,1
1.6455438042175409e+18,-5293.0,-4251.0,5041.0,1
1.6455438042704205e+18,-5070.0,-4498.0,5072.0,1
1.6455438043213804e+18,-5125.0,-4193.0,5124.0,1
1.645543804370519e+18,-5178.0,-4809.0,5244.0,1
1.6455438044218609e+18,-5020.0,-4205.0,5145.0,1
1.645543804465164e+18,-4983.0,-4651.0,4915.0,1
1.6455438045212436e+18,-5111.0,-4238.0,5258.0,1
1.645543804566519e+18,-5032.0,-4032.0,5212.0,1
1.6455438046173824e+18,-5251.0,-4241.0,5296.0,1
1.6455438046685025e+18,-5083.0,-4225.0,5297.0,1
1.6455438047164826e+18,-5019.0,-4450.0,5114.0,1
1.6455438047725734e+18,-4818.0,-4775.0,4879.0,1
1.645543804822603e+18,-4924.0,-4633.0,5162.0,1
1.6455438048717012e+18,-5164.0,-4793.0,5602.0,1
1.645543804926315e+18,-5507.0,-3993.0,6106.0,1
1.645543804969827e+18,-6443.0,-4511.0,8212.0,1
1.6455438050173926e+18,-5496.0,-3754.0,7826.0,1
1.6455438050723973e+18,-4999.0,-2170.0,5463.0,1
1.6455438051276157e+18,-3331.0,-7351.0,3969.0,1
1.6455438051728264e+18,-1293.0,-8456.0,3441.0,1
1.6455438052194486e+18,-2065.0,-5925.0,2772.0,1
1.6455438052726625e+18,-2029.0,-5928.0,291.0,1
1.6455438053211812e+18,-2791.0,-5606.0,353.0,1
1.64554380537252e+18,-4231.0,-5876.0,1918.0,1
1.6455438054226637e+18,-4003.0,-6501.0,2452.0,1
1.645543805472152e+18,-3779.0,-6901.0,3597.0,1
1.645543805521756e+18,-3709.0,-6577.0,4332.0,1
1.6455438055762365e+18,-3703.0,-4861.0,5399.0,1
1.6455438056204165e+18,-3349.0,-4752.0,5462.0,1
1.6455438056733837e+18,-3652.0,-6413.0,5510.0,1
1.645543805722123e+18,-4109.0,-4346.0,5299.0,1
1.645543805772182e+18,-4754.0,-4666.0,5670.0,1
1.6455438058212864e+18,-5184.0,-5930.0,6879.0,1
1.6455438058739812e+18,-4475.0,-5749.0,5638.0,1
1.6455438059222659e+18,-4185.0,-4579.0,5806.0,1
1.6455438059741737e+18,-4342.0,-4797.0,6013.0,1
1.64554380602074e+18,-4073.0,-4349.0,6387.0,1
1.6455438060730573e+18,-3943.0,-4735.0,5884.0,1
1.6455438061220436e+18,-4107.0,-4556.0,5986.0,1
1.6455438061710856e+18,-4300.0,-4274.0,6184.0,1
1.6455438062212206e+18,-3830.0,-4769.0,5813.0,1
1.6455438062727642e+18,-4096.0,-4997.0,5810.0,1
1.6455438063213686e+18,-3897.0,-4345.0,5691.0,1
1.6455438063728105e+18,-3964.0,-4835.0,5932.0,1
1.6455438064258609e+18,-4394.0,-4367.0,6159.0,1
1.6455438064704497e+18,-4242.0,-4376.0,6113.0,1
1.645543806522775e+18,-4233.0,-4291.0,5766.0,1
1.645543806570071e+18,-4205.0,-4683.0,5881.0,1
1.645543806627276e+18,-4046.0,-4627.0,5738.0,1
1.6455438066676452e+18,-4108.0,-4596.0,5690.0,1
1.6455438067245742e+18,-4214.0,-4557.0,5902.0,1
1.6455438067681106e+18,-4091.0,-4754.0,5829.0,1
1.6455438068226908e+18,-4051.0,-4437.0,5707.0,1
1.6455438068725834e+18,-4423.0,-4415.0,6008.0,1
1.6455438069253274e+18,-4285.0,-4386.0,5840.0,1
1.6455438069766843e+18,-4074.0,-4474.0,5592.0,1
1.6455438070276283e+18,-4342.0,-4535.0,5954.0,1
1.6455438070729285e+18,-4067.0,-4491.0,5852.0,1
1.6455438071248192e+18,-4165.0,-4295.0,5923.0,1
1.6455438071730614e+18,-4297.0,-4518.0,6061.0,1
