timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY2_RIGHT
1.6455431728793774e+18,-4593.0,-3305.0,6415.0,1
1.6455431729338916e+18,-4476.0,-3423.0,6207.0,1
1.645543172978213e+18,-4390.0,-3467.0,6301.0,1
1.6455431730288333e+18,-4349.0,-3648.0,6526.0,1
1.64554317307735e+18,-4254.0,-3690.0,6488.0,1
1.6455431731346166e+18,-4479.0,-3845.0,6515.0,1
1.645543173181523e+18,-4339.0,-3809.0,6164.0,1
1.6455431732344095e+18,-4112.0,-3603.0,6168.0,1
1.645543173279799e+18,-4040.0,-3844.0,6569.0,1
1.6455431733334536e+18,-3880.0,-3876.0,6567.0,1
1.6455431733779802e+18,-3975.0,-3946.0,6562.0,1
1.6455431734352276e+18,-4231.0,-3874.0,6399.0,1
1.645543173476853e+18,-4309.0,-3825.0,6251.0,1
1.645543173531427e+18,-4281.0,-3793.0,6332.0,1
1.645543173582048e+18,-4259.0,-3817.0,6280.0,1
1.6455431736350198e+18,-4309.0,-3751.0,6323.0,1
1.645543173681733e+18,-4286.0,-3850.0,6412.0,1
1.6455431737295306e+18,-4270.0,-3664.0,6769.0,1
1.6455431737812408e+18,-4163.0,-4170.0,6898.0,1
1.645543173836106e+18,-4037.0,-4354.0,6266.0,1
1.645543173882677e+18,-3827.0,-3840.0,6081.0,1
1.645543173931193e+18,-3850.0,-4051.0,6791.0,1
1.6455431739860713e+18,-3414.0,-5541.0,5926.0,1
1.6455431740165806e+18,-3274.0,-6290.0,5621.0,1
1.6455431740165806e+18,-3274.0,-6290.0,5621.0,1
1.6455431741489564e+18,-3272.0,-6259.0,5557.0,1
1.645543174184067e+18,-3255.0,-4113.0,4968.0,1
1.6455431742358904e+18,-4843.0,-4714.0,5612.0,1
1.645543174282673e+18,-4116.0,-6526.0,5448.0,1
1.6455431743288159e+18,-4203.0,-5417.0,5875.0,1
1.6455431743870016e+18,-3791.0,-5204.0,5643.0,1
1.6455431744308472e+18,-3971.0,-3667.0,5912.0,1
1.645543174485454e+18,-4400.0,-2397.0,6938.0,1
1.6455431745317501e+18,-4227.0,-3547.0,6884.0,1
1.6455431745860137e+18,-4062.0,-4612.0,5581.0,1
1.645543174630131e+18,-4246.0,-5562.0,6237.0,1
1.645543174681363e+18,-3836.0,-5220.0,5745.0,1
1.645543174730222e+18,-3872.0,-5364.0,5952.0,1
1.6455431747857024e+18,-3722.0,-5909.0,4781.0,1
1.6455431748309793e+18,-3673.0,-5356.0,4057.0,1
1.6455431748821292e+18,-3871.0,-5946.0,4440.0,1
1.6455431749331625e+18,-3994.0,-3511.0,4809.0,1
1.6455431749819264e+18,-4458.0,-3832.0,5566.0,1
1.6455431750310495e+18,-5024.0,-4176.0,5989.0,1
1.6455431750816325e+18,-5236.0,-4278.0,6482.0,1
1.6455431751311414e+18,-4465.0,-5290.0,6018.0,1
1.645543175182629e+18,-4281.0,-4361.0,5393.0,1
1.6455431752312077e+18,-4514.0,-3876.0,5531.0,1
