timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY1_BIMANUAL
1.6450217424196442e+18,-4657.0,-3045.0,-5258.0,1
1.6450217424698127e+18,-4438.0,-3277.0,-5789.0,1
1.6450217425234002e+18,-3694.0,-4197.0,-5430.0,1
1.6450217425701204e+18,-3696.0,-4343.0,-5521.0,1
1.6450217426200573e+18,-4285.0,-4140.0,-5882.0,1
1.645021742670649e+18,-6577.0,-4503.0,-4858.0,1
1.6450217427244544e+18,-7291.0,-4822.0,-3248.0,1
1.6450217427710515e+18,-7816.0,-4548.0,-808.0,1
1.6450217428180838e+18,-7504.0,-3973.0,680.0,1
1.6450217428700234e+18,-7523.0,-2770.0,852.0,1
1.645021742919733e+18,-7092.0,-3436.0,-120.0,1
1.6450217429653176e+18,-7277.0,-3113.0,-611.0,1
1.645021743019821e+18,-7271.0,-3389.0,-1127.0,1
1.6450217430709965e+18,-6897.0,-3682.0,-1660.0,1
1.6450217431201103e+18,-6651.0,-3773.0,-1794.0,1
1.6450217431686026e+18,-6471.0,-3757.0,-1678.0,1
1.6450217432234662e+18,-6258.0,-3718.0,-1882.0,1
1.6450217432747628e+18,-6599.0,-3609.0,-2261.0,1
1.6450217433195604e+18,-7696.0,-4081.0,-2270.0,1
1.6450217433788964e+18,-7169.0,-4027.0,-2619.0,1
1.6450217434219922e+18,-7202.0,-3964.0,-2309.0,1
1.645021743473432e+18,-7264.0,-4698.0,-2591.0,1
1.6450217435187261e+18,-6656.0,-3625.0,-3476.0,1
1.6450217435735823e+18,-5664.0,-3202.0,-2928.0,1
1.6450217436202504e+18,-7062.0,-2486.0,-2742.0,1
1.6450217436704274e+18,-7610.0,-2754.0,-3497.0,1
1.6450217437220567e+18,-6824.0,-2252.0,-3080.0,1
1.6450217437758584e+18,-7256.0,-1672.0,-3294.0,1
1.6450217438169285e+18,-6943.0,-2003.0,-2993.0,1
1.645021743872198e+18,-7454.0,-1856.0,-3364.0,1
1.6450217439199654e+18,-6883.0,-1588.0,-3515.0,1
1.6450217439768932e+18,-7095.0,-1467.0,-3747.0,1
1.645021744018382e+18,-7482.0,-1265.0,-3562.0,1
1.645021744069697e+18,-7273.0,-1045.0,-3689.0,1
1.6450217441224164e+18,-7160.0,-932.0,-4225.0,1
1.6450217441763602e+18,-4952.0,-1162.0,-3628.0,1
1.6450217442304707e+18,-4020.0,-1820.0,-1654.0,1
1.6450217442746455e+18,-3690.0,-1206.0,-344.0,1
1.645021744322906e+18,-4507.0,-973.0,2261.0,1
1.6450217443743813e+18,-9807.0,547.0,529.0,1
1.645021744421822e+18,-7496.0,816.0,-4908.0,1
1.6450217444745068e+18,-6373.0,1941.0,-8097.0,1
1.6450217445231762e+18,-5277.0,4755.0,-9318.0,1
1.6450217445716544e+18,-4337.0,5582.0,-10336.0,1
1.6450217446224824e+18,-5020.0,3007.0,-10323.0,1
1.6450217446745247e+18,-3946.0,1818.0,-8590.0,1
1.645021744722465e+18,-2661.0,185.0,-8555.0,1
1.645021744771734e+18,-5336.0,418.0,-11118.0,1
1.6450217448234918e+18,-7081.0,171.0,-11491.0,1
1.6450217448664159e+18,-10601.0,2194.0,-8860.0,1
1.6450217449274053e+18,-8595.0,670.0,-5652.0,1
1.6450217449727122e+18,-7524.0,-359.0,-2510.0,1
1.645021745027376e+18,-4571.0,-1763.0,-116.0,1
1.6450217450724001e+18,-3506.0,-2321.0,409.0,1
1.6450217451231178e+18,-3053.0,-3164.0,13.0,1
1.645021745176387e+18,-5171.0,-3620.0,-477.0,1
1.645021745223406e+18,-5566.0,-3681.0,-884.0,1
1.645021745272614e+18,-6149.0,-4102.0,-655.0,1
1.6450217453290007e+18,-7469.0,-3936.0,-734.0,1
1.6450217453716483e+18,-7572.0,-4594.0,-1001.0,1
1.645021745423356e+18,-6901.0,-4626.0,-1353.0,1
1.6450217454727685e+18,-7202.0,-4763.0,-1483.0,1
1.6450217455394053e+18,-6619.0,-4915.0,-1995.0,1
1.6450217455698222e+18,-5885.0,-4936.0,-2668.0,1
1.6450217456250368e+18,-5743.0,-4573.0,-3000.0,1
1.6450217456714683e+18,-4874.0,-4779.0,-3281.0,1
1.6450217457241423e+18,-4733.0,-5122.0,-3902.0,1
1.6450217457779453e+18,-5194.0,-5116.0,-4493.0,1
1.6450217458228918e+18,-5172.0,-5025.0,-4286.0,1
1.6450217458717248e+18,-4210.0,-4799.0,-4318.0,1
1.6450217459294157e+18,-4073.0,-4756.0,-4630.0,1
1.645021745972343e+18,-5228.0,-4842.0,-4776.0,1
1.6450217460219855e+18,-5073.0,-4878.0,-4641.0,1
1.6450217460730358e+18,-4287.0,-4911.0,-4554.0,1
1.6450217461219917e+18,-4966.0,-4748.0,-4548.0,1
1.645021746172026e+18,-5614.0,-4711.0,-4085.0,1
1.6450217462223148e+18,-5866.0,-4022.0,-4583.0,1
1.6450217462716948e+18,-5530.0,-4221.0,-4392.0,1
1.6450217463260045e+18,-5523.0,-3980.0,-4941.0,1
1.6450217463769288e+18,-5261.0,-4396.0,-4657.0,1
1.6450217464258819e+18,-5167.0,-3810.0,-4680.0,1
1.6450217464742144e+18,-5431.0,-3607.0,-4048.0,1
1.6450217465270628e+18,-6027.0,-3533.0,-4136.0,1
1.6450217465767675e+18,-6218.0,-3548.0,-4048.0,1
1.645021746626376e+18,-6743.0,-3480.0,-3601.0,1
1.6450217466772995e+18,-6667.0,-3473.0,-3580.0,1
1.645021746726973e+18,-6958.0,-3095.0,-4068.0,1
1.6450217467781176e+18,-7022.0,-3549.0,-4095.0,1
1.6450217468259018e+18,-6629.0,-3382.0,-3963.0,1
1.6450217468781084e+18,-6689.0,-3304.0,-3965.0,1
1.6450217469264957e+18,-6845.0,-3277.0,-3529.0,1
1.6450217469783974e+18,-6339.0,-2771.0,-4087.0,1
1.6450217470230748e+18,-6166.0,-2978.0,-4694.0,1
1.6450217470767803e+18,-5938.0,-2965.0,-4309.0,1
1.6450217471263017e+18,-6406.0,-2720.0,-4737.0,1
1.6450217471777759e+18,-5978.0,-2780.0,-4734.0,1
1.6450217472274583e+18,-6158.0,-2691.0,-4757.0,1
1.6450217472792515e+18,-6137.0,-2565.0,-5079.0,1
1.64502174732602e+18,-5757.0,-2574.0,-4960.0,1
