timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6450220030505042e+18,-6868.0,1775.0,2247.0,1
1.6450220030970964e+18,-7262.0,1854.0,2761.0,1
1.64502200314492e+18,-7594.0,2000.0,3427.0,1
1.6450220031944046e+18,-7604.0,2279.0,3651.0,1
1.6450220032484718e+18,-7508.0,1991.0,3399.0,1
1.6450220032984689e+18,-8118.0,1115.0,3537.0,1
1.6450220033465603e+18,-8031.0,398.0,3810.0,1
1.6450220033941824e+18,-9413.0,379.0,2735.0,1
1.6450220034497935e+18,-8793.0,-29.0,1379.0,1
1.6450220034986657e+18,-8327.0,-937.0,-1179.0,1
1.6450220035485998e+18,-6519.0,-2252.0,-3197.0,1
1.645022003593515e+18,-5111.0,-3693.0,-3757.0,1
1.6450220036498342e+18,-4760.0,-3855.0,-4011.0,1
1.6450220036941576e+18,-4810.0,-3810.0,-4614.0,1
1.6450220037492e+18,-5022.0,-4013.0,-5059.0,1
1.6450220037947471e+18,-5187.0,-4103.0,-5277.0,1
1.645022003848597e+18,-4618.0,-4503.0,-5363.0,1
1.6450220039014042e+18,-4376.0,-4771.0,-5148.0,1
1.6450220039465969e+18,-4074.0,-4723.0,-5282.0,1
1.645022004001628e+18,-4031.0,-5099.0,-5416.0,1
1.645022004049553e+18,-4519.0,-5206.0,-5501.0,1
1.6450220041021048e+18,-4184.0,-5577.0,-5460.0,1
1.6450220041499968e+18,-3747.0,-6036.0,-5217.0,1
1.64502200419983e+18,-4082.0,-6237.0,-4936.0,1
1.645022004249612e+18,-4353.0,-6067.0,-4250.0,1
1.6450220043021545e+18,-4406.0,-5282.0,-3876.0,1
1.6450220043473702e+18,-4599.0,-3997.0,-3385.0,1
1.6450220044002404e+18,-5608.0,-2654.0,-2975.0,1
1.645022004452776e+18,-6153.0,-1736.0,-2430.0,1
1.6450220045025733e+18,-6532.0,-1078.0,-1642.0,1
1.6450220045478188e+18,-7731.0,-814.0,-1379.0,1
1.645022004600926e+18,-7803.0,-368.0,-737.0,1
1.6450220046465398e+18,-8581.0,96.0,-283.0,1
1.6450220047027272e+18,-7416.0,660.0,-744.0,1
1.6450220047519892e+18,-7831.0,1600.0,-597.0,1
1.6450220048033352e+18,-8647.0,1593.0,-309.0,1
1.6450220048491136e+18,-8525.0,1335.0,-406.0,1
1.6450220049038595e+18,-9690.0,1100.0,192.0,1
1.6450220049442012e+18,-8419.0,-162.0,-641.0,1
1.6450220050008916e+18,-10277.0,143.0,-862.0,1
1.645022005047139e+18,-9122.0,-313.0,-1659.0,1
1.6450220051011848e+18,-9229.0,-744.0,-1726.0,1
1.6450220051446776e+18,-9546.0,-667.0,-1190.0,1
1.645022005204602e+18,-8429.0,-247.0,-679.0,1
