timestamp,a_right_backPose,b_right_backPose,c_right_backPose, PICKUP_LEFT
1.645021748728084e+18,-7603.0,1894.0,-4816.0,1
1.6450217487800855e+18,-7812.0,1874.0,-4479.0,1
1.6450217488282842e+18,-7455.0,1458.0,-4119.0,1
1.6450217488834962e+18,-7559.0,1129.0,-3424.0,1
1.645021748927467e+18,-7544.0,815.0,-2990.0,1
1.6450217489830894e+18,-7971.0,349.0,-2637.0,1
1.6450217490276534e+18,-8408.0,-242.0,-2444.0,1
1.6450217490823084e+18,-9086.0,-731.0,-2200.0,1
1.6450217491302812e+18,-8806.0,-1056.0,-2052.0,1
1.6450217491876613e+18,-8371.0,-1671.0,-1887.0,1
1.6450217492282504e+18,-7636.0,-1725.0,-2043.0,1
1.6450217499315523e+18,-3197.0,-3121.0,-6476.0,1
1.6450217499804623e+18,-3583.0,-2665.0,-7234.0,1
1.6450217500272835e+18,-3274.0,-2930.0,-6687.0,1
1.645021750085639e+18,-3941.0,-3421.0,-5919.0,1
1.645021750129676e+18,-5072.0,-2916.0,-5603.0,1
1.6450217501830052e+18,-7004.0,-2830.0,-3866.0,1
1.6450217502318267e+18,-6723.0,-2583.0,-4192.0,1
1.6450217502859958e+18,-7408.0,-2520.0,-3182.0,1
1.6450217503277276e+18,-5682.0,-3403.0,-3997.0,1
1.6450217503830822e+18,-7428.0,-3399.0,-3947.0,1
1.6450217504279089e+18,-6693.0,-3629.0,-3578.0,1
1.645021750481832e+18,-6949.0,-3689.0,-3359.0,1
1.6450217505327898e+18,-6090.0,-3530.0,-3259.0,1
1.6450217505806802e+18,-5456.0,-3428.0,-3451.0,1
1.6450217506340265e+18,-5244.0,-3092.0,-3809.0,1
1.6450217506802586e+18,-4895.0,-2556.0,-2655.0,1
1.6450217507243333e+18,-4869.0,-2216.0,-1738.0,1
1.6450217507819476e+18,-3844.0,-1320.0,456.0,1
1.645021750830627e+18,-6528.0,567.0,5276.0,1
1.6450217508860792e+18,-9083.0,1062.0,223.0,1
1.6450217509332252e+18,-6577.0,2171.0,-5645.0,1
1.6450217509802604e+18,-4219.0,3025.0,-8497.0,1
1.6450217510357443e+18,-5492.0,6271.0,-8647.0,1
1.645021751079184e+18,-4814.0,6399.0,-8398.0,1
1.6450217511354038e+18,-4212.0,5337.0,-9248.0,1
1.6450217511798254e+18,-4248.0,4048.0,-7584.0,1
1.6450217512340462e+18,-3948.0,3654.0,-6717.0,1
1.645021751280684e+18,-3491.0,3785.0,-6613.0,1
1.645021751334511e+18,-3816.0,3727.0,-6463.0,1
1.6450217513814303e+18,-3969.0,4398.0,-7867.0,1
1.6450217514354304e+18,-7315.0,5209.0,-8043.0,1
1.6450217514806548e+18,-9219.0,4946.0,-6478.0,1
1.6450217515345974e+18,-9911.0,3379.0,-4149.0,1
1.6450217515818422e+18,-8732.0,1665.0,-3163.0,1
1.6450217516352653e+18,-6887.0,-514.0,-2116.0,1
1.6450217516806664e+18,-6474.0,-1173.0,-1241.0,1
1.645021751734664e+18,-5768.0,-1764.0,-1028.0,1
1.6450217517820198e+18,-5697.0,-1893.0,-1316.0,1
1.645021751835965e+18,-5401.0,-2445.0,-1895.0,1
1.6450217518829507e+18,-5130.0,-2427.0,-2416.0,1
1.6450217519327076e+18,-5652.0,-2673.0,-2446.0,1
1.6450217519806958e+18,-7136.0,-2497.0,-2284.0,1
1.645021752034524e+18,-6990.0,-2383.0,-2577.0,1
1.6450217520867036e+18,-7038.0,-2414.0,-3057.0,1
1.6450217521311565e+18,-7532.0,-2586.0,-3581.0,1
1.6450217521874516e+18,-7897.0,-2599.0,-4055.0,1
1.6450217522364362e+18,-6964.0,-2345.0,-4162.0,1
1.6450217522854897e+18,-5955.0,-1882.0,-3891.0,1
1.6450217523346463e+18,-7548.0,-1352.0,-4305.0,1
1.6450217523862382e+18,-8157.0,-1552.0,-4811.0,1
1.6450217524344676e+18,-6966.0,-1612.0,-5233.0,1
1.645021752485639e+18,-5222.0,-1627.0,-5533.0,1
1.645021752534822e+18,-3841.0,-1791.0,-5956.0,1
1.645021752587639e+18,-3345.0,-1786.0,-6503.0,1
1.6450217526362775e+18,-2464.0,-2161.0,-6613.0,1
1.6450217526859837e+18,-3436.0,-1255.0,-6883.0,1
1.6450217527366856e+18,-4209.0,-216.0,-7658.0,1
1.645021752780931e+18,-4606.0,-844.0,-6910.0,1
1.6450217528343534e+18,-4751.0,-1466.0,-6810.0,1
1.6450217528853553e+18,-4079.0,-1880.0,-6625.0,1
1.6450217529350006e+18,-3921.0,-1993.0,-6276.0,1
1.6450217529854052e+18,-4679.0,-2341.0,-6381.0,1
1.6450217530346527e+18,-4844.0,-2707.0,-6361.0,1
1.6450217530882286e+18,-4620.0,-2719.0,-6348.0,1
