timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_RIGHT
1.6461488640108193e+18,-5759.0,-4641.0,4550.0,1
1.6461488640579927e+18,-5911.0,-4378.0,4691.0,1
1.6461488641105203e+18,-5920.0,-4369.0,4762.0,1
1.64614886416037e+18,-5484.0,-4705.0,4304.0,1
1.6461488642103357e+18,-5078.0,-5451.0,3092.0,1
1.6461488642639153e+18,-5207.0,-6098.0,3029.0,1
1.6461488643089236e+18,-4732.0,-7217.0,2280.0,1
1.6461488643587958e+18,-5621.0,-6372.0,3973.0,1
1.646148864410352e+18,-5655.0,-9458.0,3625.0,1
1.64614886443908e+18,-5722.0,-8834.0,3731.0,1
1.646148864504343e+18,-5728.0,-8588.0,3837.0,1
1.6461488645592023e+18,-2746.0,-7189.0,3430.0,1
1.6461488648603318e+18,770.0,-4990.0,4958.0,1
1.6461488649291704e+18,645.0,-4225.0,5383.0,1
1.6461488649291704e+18,645.0,-4225.0,5383.0,1
1.646148865005393e+18,644.0,-4033.0,5546.0,1
1.646148865067286e+18,673.0,-3913.0,5658.0,1
1.64614886515323e+18,712.0,-3919.0,5708.0,1
1.64614886515323e+18,712.0,-3919.0,5708.0,1
1.6461488652721638e+18,772.0,-4052.0,5704.0,1
1.6461488652721638e+18,772.0,-4052.0,5704.0,1
1.6461488653243607e+18,842.0,-4311.0,5652.0,1
1.646148865387613e+18,916.0,-4671.0,5558.0,1
1.6461488654157274e+18,1384.0,-5740.0,5065.0,1
1.6461488654625654e+18,1911.0,-6548.0,4623.0,1
1.6461488655155576e+18,2309.0,-7752.0,3911.0,1
1.6461488655605102e+18,2127.0,-5991.0,3622.0,1
1.646148865615746e+18,2134.0,-5866.0,1525.0,1
1.6461488656646026e+18,1635.0,-11017.0,79.0,1
1.6461488657152745e+18,2159.0,-10011.0,-766.0,1
1.6461488657661417e+18,1827.0,-8427.0,-640.0,1
1.6461488658152243e+18,1600.0,-8674.0,-1174.0,1
1.6461488658649283e+18,1740.0,-6040.0,-2463.0,1
1.6461488659164288e+18,649.0,-7197.0,-226.0,1
1.646148865962251e+18,907.0,-7870.0,156.0,1
1.64614886601171e+18,1692.0,-8168.0,-929.0,1
1.64614886606388e+18,2283.0,-8307.0,-1070.0,1
1.646148866118249e+18,2173.0,-9451.0,-348.0,1
1.6461488661633823e+18,1815.0,-7633.0,1201.0,1
1.6461488662114086e+18,2011.0,-7987.0,1695.0,1
1.6461488662609347e+18,2048.0,-8086.0,1669.0,1
1.646148866322773e+18,2090.0,-8171.0,1673.0,1
1.6461488663676365e+18,2125.0,-8109.0,1705.0,1
1.6461488664151688e+18,1976.0,-6427.0,2538.0,1
1.6461488664672586e+18,2066.0,-6692.0,3359.0,1
1.6461488665181727e+18,1164.0,-4564.0,5508.0,1
1.6461488665664353e+18,885.0,-6522.0,5788.0,1
1.6461488666129354e+18,1011.0,-6302.0,5883.0,1
1.64614886667014e+18,971.0,-5428.0,6004.0,1
1.6461488667128008e+18,1265.0,-5362.0,5833.0,1
1.6461488667673482e+18,1293.0,-5150.0,6237.0,1
1.6461488668170092e+18,1466.0,-6132.0,5687.0,1
1.6461488668667917e+18,1338.0,-6206.0,6031.0,1
1.646148866914269e+18,1364.0,-6498.0,5538.0,1
1.6461488669667466e+18,1025.0,-6043.0,5700.0,1
1.646148867012142e+18,1073.0,-5937.0,5080.0,1
1.6461488670640653e+18,670.0,-6105.0,5311.0,1
1.6461488671183145e+18,417.0,-5358.0,4959.0,1
1.6461488671668736e+18,-70.0,-5618.0,5213.0,1
1.6461488672186476e+18,496.0,-5979.0,4728.0,1
1.6461488672676442e+18,828.0,-6430.0,4524.0,1
1.646148867318264e+18,1045.0,-6999.0,4078.0,1
1.646148867367481e+18,1166.0,-7215.0,3157.0,1
1.646148867415801e+18,823.0,-9703.0,2233.0,1
1.6461488674662154e+18,454.0,-9277.0,1958.0,1
1.646148867516173e+18,-877.0,-8111.0,3670.0,1
1.6461488675674222e+18,-827.0,-6991.0,2663.0,1
1.6461488676155617e+18,-1097.0,-6840.0,2235.0,1
1.646148867665371e+18,-1484.0,-6810.0,2310.0,1
1.6461488677150774e+18,-1208.0,-5963.0,3272.0,1
1.6461488677680026e+18,-455.0,-5624.0,3455.0,1
1.646148867817337e+18,-1214.0,-6423.0,4610.0,1
1.6461488678698043e+18,-2129.0,-6279.0,5899.0,1
1.6461488679147162e+18,-3065.0,-5878.0,5396.0,1
1.6461488679681244e+18,-6279.0,-3624.0,6162.0,1
1.6461488680178586e+18,-8593.0,-2909.0,6518.0,1
1.6461488680619156e+18,-9703.0,-6767.0,6885.0,1
1.6461488680886618e+18,-9740.0,-6964.0,7114.0,1
1.6461488681579791e+18,-9696.0,-6666.0,7225.0,1
1.646148868203423e+18,-9559.0,-6074.0,7308.0,1
1.6461488682648366e+18,-8878.0,-4381.0,6851.0,1
