timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, HANDOVER_LEFT
1.6461490363781284e+18,3128.0,-5644.0,4052.0,1
1.646149036427897e+18,3107.0,-6235.0,4020.0,1
1.6461490364792376e+18,3174.0,-5788.0,4172.0,1
1.6461490365233454e+18,3041.0,-4981.0,4734.0,1
1.6461490365792704e+18,2484.0,-5762.0,4884.0,1
1.646149036624027e+18,2127.0,-6008.0,5158.0,1
1.6461490366789345e+18,1721.0,-6230.0,4779.0,1
1.6461490367246241e+18,1094.0,-7386.0,5166.0,1
1.646149036777497e+18,1366.0,-6815.0,5317.0,1
1.6461490368322588e+18,765.0,-7166.0,5109.0,1
1.6461490368780198e+18,1115.0,-7351.0,4938.0,1
1.6461490369327194e+18,934.0,-6943.0,4847.0,1
1.6461490369782566e+18,1272.0,-6413.0,4834.0,1
1.6461490370297633e+18,1115.0,-6020.0,5089.0,1
1.646149037076608e+18,51.0,-5673.0,5685.0,1
1.6461490371290417e+18,441.0,-7143.0,5130.0,1
1.6461490371783826e+18,653.0,-6598.0,4656.0,1
1.6461490372298184e+18,966.0,-6768.0,4463.0,1
1.6461490372778289e+18,1104.0,-6854.0,4230.0,1
1.646149037330314e+18,966.0,-7087.0,4267.0,1
1.6461490373778803e+18,754.0,-7269.0,4247.0,1
1.6461490374327677e+18,846.0,-7044.0,4195.0,1
1.6461490374757921e+18,783.0,-7174.0,4331.0,1
1.6461490375320404e+18,1122.0,-7552.0,4058.0,1
1.6461490375773983e+18,977.0,-6574.0,4372.0,1
1.6461490376342879e+18,941.0,-6722.0,4398.0,1
1.6461490376762496e+18,853.0,-7112.0,4504.0,1
1.646149037731597e+18,922.0,-7276.0,4281.0,1
1.6461490377757266e+18,831.0,-6965.0,4325.0,1
1.646149037831588e+18,820.0,-6779.0,4512.0,1
1.6461490378824392e+18,823.0,-6561.0,4650.0,1
1.6461490379315223e+18,990.0,-6812.0,4611.0,1
1.646149037980282e+18,848.0,-6519.0,4835.0,1
1.646149038032029e+18,900.0,-6682.0,4916.0,1
1.6461490380765573e+18,828.0,-6827.0,4887.0,1
1.64614903813157e+18,871.0,-6386.0,5059.0,1
1.6461490381799898e+18,912.0,-6371.0,5112.0,1
1.646149038226909e+18,1005.0,-6373.0,5186.0,1
1.6461490382807864e+18,1095.0,-6747.0,4773.0,1
1.6461490383317412e+18,931.0,-6361.0,5126.0,1
1.6461490383770547e+18,638.0,-6438.0,5173.0,1
1.64614903843085e+18,629.0,-6112.0,5167.0,1
1.646149038481895e+18,93.0,-6212.0,5207.0,1
1.6461490385316188e+18,-846.0,-6523.0,4784.0,1
1.6461490385797993e+18,-1455.0,-7867.0,4211.0,1
1.6461490386300974e+18,-911.0,-9434.0,3344.0,1
1.6461490386844183e+18,263.0,-8404.0,4022.0,1
1.6461490387298798e+18,1848.0,-7354.0,4235.0,1
1.64614903878049e+18,2941.0,-5458.0,4731.0,1
1.6461490388433034e+18,3157.0,-4719.0,5239.0,1
1.6461492180052598e+18,2240.0,-5087.0,2982.0,1
1.6461492180581716e+18,1168.0,-3641.0,2768.0,1
1.6461492181063357e+18,-368.0,-3033.0,2571.0,1
1.6461492181514115e+18,-1443.0,-4821.0,4221.0,1
1.6461492182062781e+18,-1225.0,-3615.0,5035.0,1
1.646149218256003e+18,-595.0,-3726.0,6166.0,1
1.646149218306148e+18,497.0,-3615.0,7170.0,1
1.6461492183546632e+18,1581.0,-3361.0,7218.0,1
1.6461492184062303e+18,1806.0,-4192.0,7378.0,1
1.6461492184522844e+18,1928.0,-4788.0,7415.0,1
1.6461492185101043e+18,1922.0,-4199.0,7826.0,1
1.646149218553685e+18,2016.0,-4206.0,7194.0,1
1.6461492186086843e+18,1933.0,-3462.0,6569.0,1
1.6461492186581e+18,1504.0,-4600.0,6658.0,1
1.6461492187058842e+18,1070.0,-3566.0,7397.0,1
1.6461492187610263e+18,913.0,-3749.0,6957.0,1
1.6461492188066742e+18,387.0,-4224.0,6877.0,1
1.6461492188555594e+18,-1099.0,-4512.0,7414.0,1
1.6461492189015163e+18,-626.0,-4156.0,8198.0,1
1.646149218959528e+18,2122.0,-4883.0,8645.0,1
1.6461492190049098e+18,5401.0,-4422.0,5905.0,1
1.646149219059825e+18,6112.0,-1464.0,3664.0,1
1.6461492191054461e+18,5947.0,-3639.0,3470.0,1
1.6461492191580703e+18,4396.0,-2719.0,3852.0,1
1.6461492192057859e+18,3335.0,-3597.0,4564.0,1
