timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.6450231354811766e+18,641.0,-2156.0,7728.0,1
1.6450231355328218e+18,655.0,-2602.0,7893.0,1
1.6450231355819722e+18,411.0,-2552.0,8087.0,1
1.6450231356311475e+18,314.0,-2504.0,8137.0,1
1.6450231356812242e+18,790.0,-2411.0,7232.0,1
1.6450231357325225e+18,532.0,-2794.0,7447.0,1
1.6450231357820849e+18,179.0,-2946.0,7225.0,1
1.6450231358321733e+18,-472.0,-2475.0,7040.0,1
1.645023135880015e+18,-378.0,-2185.0,7269.0,1
1.6450231359329382e+18,592.0,-3535.0,7261.0,1
1.6450231359857426e+18,1452.0,-4203.0,7804.0,1
1.6450231360331105e+18,1741.0,-4264.0,8044.0,1
1.6450231360800822e+18,2013.0,-4239.0,7632.0,1
1.6450231361332024e+18,2079.0,-3507.0,7828.0,1
1.6450231361865403e+18,2099.0,-2871.0,7915.0,1
1.6450231362332352e+18,2186.0,-3349.0,7178.0,1
1.6450231362828756e+18,2181.0,-3348.0,7167.0,1
1.6450231363295693e+18,2157.0,-3608.0,7151.0,1
1.645023136387413e+18,1628.0,-3487.0,7146.0,1
1.6450231364341437e+18,1274.0,-3800.0,7132.0,1
1.6450231364849935e+18,1052.0,-4489.0,6692.0,1
1.6450231365293517e+18,912.0,-5412.0,5658.0,1
1.645023136585662e+18,112.0,-5143.0,5979.0,1
1.6450231366335406e+18,-7.0,-5492.0,5992.0,1
1.6450231366860447e+18,152.0,-5729.0,5367.0,1
1.6450231367325169e+18,180.0,-6000.0,4999.0,1
1.6450231367866317e+18,-92.0,-6267.0,5137.0,1
1.6450231368324813e+18,-167.0,-5930.0,5049.0,1
1.6450231368872899e+18,-12.0,-5955.0,4623.0,1
1.6450231369305994e+18,39.0,-6339.0,4623.0,1
1.6450231369859272e+18,29.0,-6199.0,4962.0,1
1.6450231370320497e+18,55.0,-6112.0,5144.0,1
1.645023137089994e+18,-10.0,-6048.0,5101.0,1
1.6450231371375155e+18,120.0,-6121.0,5089.0,1
1.6450231371842076e+18,263.0,-6272.0,4955.0,1
1.6450231372338854e+18,122.0,-6110.0,5024.0,1
1.6450231372863055e+18,1.0,-6396.0,5488.0,1
1.645023137332615e+18,-1.0,-6705.0,5284.0,1
1.6450231373836237e+18,-67.0,-6569.0,4750.0,1
1.645023137432078e+18,24.0,-6779.0,4690.0,1
1.6450231374862559e+18,55.0,-6802.0,4450.0,1
1.6450231375364598e+18,453.0,-6570.0,3745.0,1
1.6450231375883185e+18,561.0,-6661.0,3703.0,1
1.6450231376365898e+18,379.0,-6407.0,3998.0,1
1.6450231376868367e+18,177.0,-6289.0,4469.0,1
1.6450231377441293e+18,216.0,-6362.0,4721.0,1
1.6450231377856015e+18,349.0,-6168.0,4596.0,1
1.6450231378347338e+18,285.0,-6093.0,4874.0,1
1.6450231378852503e+18,411.0,-6645.0,4687.0,1
1.6450231379392192e+18,411.0,-6798.0,4699.0,1
1.6450231379825324e+18,696.0,-7071.0,4563.0,1
1.64502313803661e+18,847.0,-6558.0,5088.0,1
1.6450231380831142e+18,825.0,-5786.0,5470.0,1
1.6450231381337876e+18,1081.0,-5484.0,5444.0,1
1.6450231381829207e+18,905.0,-5774.0,5685.0,1
1.6450231382372992e+18,599.0,-4723.0,6046.0,1
1.6450231382829501e+18,1222.0,-5443.0,5972.0,1
1.645023138337499e+18,1418.0,-4773.0,5802.0,1
1.645023138383401e+18,1203.0,-4088.0,6242.0,1
1.6450231384371494e+18,1114.0,-3651.0,5989.0,1
1.6450231384861678e+18,1166.0,-3260.0,6094.0,1
1.645023138534646e+18,1667.0,-2386.0,6404.0,1
1.6450231385868362e+18,2373.0,-1570.0,6954.0,1
1.6450231386370217e+18,2932.0,-1152.0,7781.0,1
1.645023138683235e+18,3236.0,-263.0,8205.0,1
1.6450231387371052e+18,3385.0,392.0,8694.0,1
1.6450233439418337e+18,3158.0,1184.0,6476.0,1
1.6450233439899684e+18,2549.0,462.0,7012.0,1
1.6450233440428347e+18,2602.0,-1665.0,6311.0,1
1.6450233440866714e+18,2426.0,-2475.0,6311.0,1
1.6450233441398351e+18,1844.0,-2667.0,7220.0,1
1.645023344192647e+18,1762.0,-2488.0,7783.0,1
1.6450233442452634e+18,1773.0,-2889.0,7721.0,1
1.6450233442927708e+18,1961.0,-3442.0,7441.0,1
1.645023344344669e+18,1938.0,-3885.0,7062.0,1
1.6450233443966932e+18,1584.0,-3410.0,7190.0,1
1.6450233444434796e+18,1396.0,-3102.0,7204.0,1
1.6450233444965768e+18,1586.0,-2288.0,7212.0,1
1.6450233445487107e+18,1618.0,-2422.0,7487.0,1
1.6450233445990812e+18,1555.0,-1953.0,7273.0,1
1.6450233446434173e+18,1781.0,-2362.0,7367.0,1
1.6450233446943032e+18,1341.0,-1996.0,7711.0,1
1.6450233447428357e+18,1415.0,-2229.0,7450.0,1
1.645023344795216e+18,2025.0,-2508.0,7564.0,1
1.6450233448422825e+18,2100.0,-3047.0,7539.0,1
1.6450233448977377e+18,1639.0,-2377.0,8007.0,1
1.6450233449420096e+18,1761.0,-2207.0,8063.0,1
1.6450233449974067e+18,1955.0,-2258.0,7807.0,1
1.6450233450431496e+18,1836.0,-2815.0,7858.0,1
