timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6450229801363535e+18,-2604.0,5688.0,4967.0,1
1.6450229801911882e+18,-2605.0,5536.0,5211.0,1
1.6450229802346427e+18,-2642.0,5419.0,5412.0,1
1.6450229802905948e+18,-2639.0,5312.0,5458.0,1
1.6450229803337055e+18,-2515.0,5286.0,5339.0,1
1.645022980391094e+18,-2420.0,5456.0,5457.0,1
1.6450229804348818e+18,-2424.0,5657.0,5413.0,1
1.6450229804912369e+18,-2405.0,5687.0,5458.0,1
1.6450229805393966e+18,-2293.0,5948.0,5399.0,1
1.6450229805912806e+18,-2338.0,6024.0,5752.0,1
1.6450229806396088e+18,-2207.0,6091.0,5685.0,1
1.645022980695113e+18,-2085.0,6092.0,5656.0,1
1.6450229807371835e+18,-1994.0,5824.0,5376.0,1
1.6450229807907405e+18,-2036.0,5601.0,5102.0,1
1.6450229808397146e+18,-2131.0,5260.0,4919.0,1
1.6450229808911782e+18,-2482.0,5637.0,4679.0,1
1.645022980939519e+18,-2899.0,6482.0,4282.0,1
1.645022980992009e+18,-2941.0,6749.0,4186.0,1
1.6450229810362913e+18,-2437.0,7319.0,4240.0,1
1.6450229810911014e+18,-1997.0,7467.0,4531.0,1
1.645022981139237e+18,-2390.0,7145.0,3915.0,1
1.6450229811913329e+18,-2679.0,7974.0,1313.0,1
1.6450229812378266e+18,-3411.0,7406.0,-551.0,1
1.6450229812892895e+18,-4066.0,7012.0,-1266.0,1
1.6450229813326313e+18,-4372.0,6724.0,-1376.0,1
1.6450229813897426e+18,-4663.0,5928.0,-785.0,1
1.645022981439495e+18,-4974.0,6003.0,-961.0,1
1.6450229814820006e+18,-4835.0,6179.0,-1180.0,1
1.645022981542829e+18,-4892.0,6358.0,-1530.0,1
1.6450229815875653e+18,-5023.0,7007.0,-1989.0,1
1.6450229816427313e+18,-5070.0,6806.0,-1643.0,1
1.6450229816876744e+18,-4972.0,6911.0,-2087.0,1
1.6450229817423708e+18,-4578.0,6790.0,-1810.0,1
1.6450229817904876e+18,-4230.0,6670.0,-1827.0,1
1.6450229818398193e+18,-4140.0,7032.0,-1891.0,1
1.645022981889605e+18,-4039.0,7142.0,-1849.0,1
1.6450229819430474e+18,-3991.0,7135.0,-1767.0,1
1.645022981988922e+18,-3951.0,6868.0,-1679.0,1
1.6450229820405317e+18,-3968.0,6948.0,-1863.0,1
1.6450229820903222e+18,-3919.0,7054.0,-1914.0,1
1.6450229821406625e+18,-3933.0,6842.0,-1802.0,1
1.6450229821899095e+18,-3956.0,6929.0,-1708.0,1
1.6450229822424627e+18,-3951.0,7097.0,-1883.0,1
1.645022982288691e+18,-3914.0,7054.0,-1897.0,1
1.6450229823425836e+18,-3867.0,6955.0,-1843.0,1
1.6450229823904712e+18,-3762.0,7015.0,-1948.0,1
1.6450229824427533e+18,-3715.0,7160.0,-1980.0,1
1.6450229824882867e+18,-3784.0,7069.0,-1936.0,1
1.6450229825380334e+18,-3978.0,6885.0,-1736.0,1
1.6450229825904765e+18,-3918.0,6622.0,-1871.0,1
1.6450229826422577e+18,-3846.0,6470.0,-1940.0,1
1.645022982688368e+18,-3895.0,6647.0,-2047.0,1
1.6450229827433277e+18,-3973.0,7273.0,-2209.0,1
1.6450229827874913e+18,-4053.0,7348.0,-2230.0,1
1.64502298284309e+18,-4088.0,7050.0,-2122.0,1
1.6450229828875686e+18,-4119.0,6614.0,-1964.0,1
1.645022982941359e+18,-4175.0,6584.0,-1985.0,1
1.6450229829934687e+18,-4052.0,6444.0,-1845.0,1
1.6450229830435116e+18,-3957.0,6735.0,-1731.0,1
1.6450229830931497e+18,-3894.0,6849.0,-1761.0,1
1.6450229831444928e+18,-3920.0,7297.0,-1804.0,1
1.6450229831931236e+18,-3894.0,7260.0,-1693.0,1
1.6450229832391332e+18,-3729.0,7470.0,-1847.0,1
1.645022983292922e+18,-3775.0,7603.0,-1860.0,1
1.645022983344868e+18,-3801.0,7194.0,-1800.0,1
1.6450229833929426e+18,-3779.0,7138.0,-1865.0,1
1.6450229834396393e+18,-3899.0,7013.0,-1824.0,1
1.6450229834938278e+18,-3987.0,7037.0,-1924.0,1
1.6450229835404498e+18,-3891.0,6917.0,-1945.0,1
1.6450229835920727e+18,-3753.0,7032.0,-1752.0,1
1.6450229836382828e+18,-3706.0,7129.0,-1736.0,1
1.645022983693435e+18,-3840.0,7142.0,-1789.0,1
1.6450229837428623e+18,-4189.0,6984.0,-1742.0,1
1.6450229837922138e+18,-4677.0,6607.0,-1563.0,1
1.6450229838429714e+18,-4748.0,6394.0,-1608.0,1
1.645022983893485e+18,-4713.0,6411.0,-1702.0,1
1.6450229839349996e+18,-4606.0,6485.0,-1238.0,1
1.6450229839943017e+18,-3964.0,7135.0,-1378.0,1
1.6450229840420948e+18,-3469.0,7186.0,-588.0,1
1.6450229840926316e+18,-3327.0,7629.0,-368.0,1
1.6450229841436127e+18,-3302.0,7929.0,-241.0,1
1.6450229841950267e+18,-3344.0,7740.0,299.0,1
1.645022984241848e+18,-3420.0,7927.0,470.0,1
1.6450229842939566e+18,-3529.0,7745.0,692.0,1
1.6450229843422223e+18,-3605.0,7604.0,430.0,1
1.6450229843938263e+18,-3806.0,7898.0,27.0,1
1.6450229844435144e+18,-4023.0,6721.0,353.0,1
1.6450229844919939e+18,-4326.0,6415.0,1050.0,1
